"","x","age","workclass","education","educational.num","marital.status","race","gender","hours.per.week","income"
"40264",40264,35,"Private","Bachelors",13,"Never-married","White","Female",50,">50K"
"17153",17153,24,"Private","Some-college",10,"Never-married","White","Male",50,"<=50K"
"28128",28128,25,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"35913",35913,34,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"26221",26221,43,"Federal-gov","Prof-school",15,"Married-civ-spouse","Asian-Pac-Islander","Male",50,">50K"
"36240",36240,19,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"30105",30105,30,"Private","7th-8th",4,"Never-married","White","Male",50,"<=50K"
"9330",9330,28,"Private","Assoc-acdm",12,"Never-married","White","Male",35,"<=50K"
"28856",28856,56,"Private","HS-grad",9,"Married-civ-spouse","White","Female",35,"<=50K"
"30114",30114,53,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"1342",1342,52,"State-gov","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"28267",28267,43,"Local-gov","Masters",14,"Married-civ-spouse","White","Female",40,">50K"
"8169",8169,29,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"4253",4253,21,"Private","11th",7,"Never-married","Black","Male",40,"<=50K"
"40256",40256,39,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"18647",18647,47,"Private","Some-college",10,"Separated","Black","Female",35,"<=50K"
"2488",2488,41,"Local-gov","Bachelors",13,"Never-married","Black","Female",40,"<=50K"
"40996",40996,18,"?","HS-grad",9,"Never-married","Black","Female",20,"<=50K"
"8105",8105,18,"?","11th",7,"Never-married","White","Female",15,"<=50K"
"36956",36956,35,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"15333",15333,35,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",65,">50K"
"14130",14130,32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"30738",30738,23,"Private","Some-college",10,"Never-married","White","Male",32,"<=50K"
"28652",28652,69,"Self-emp-inc","Bachelors",13,"Separated","White","Male",40,"<=50K"
"36114",36114,37,"Private","Assoc-acdm",12,"Divorced","Black","Male",40,"<=50K"
"11080",11080,54,"Local-gov","Bachelors",13,"Married-civ-spouse","White","Female",40,">50K"
"40768",40768,29,"Federal-gov","Some-college",10,"Never-married","Black","Female",40,"<=50K"
"32996",32996,42,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"40387",40387,39,"Private","Bachelors",13,"Married-civ-spouse","White","Male",70,">50K"
"45482",45482,32,"Private","HS-grad",9,"Never-married","White","Male",50,"<=50K"
"14926",14926,35,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"12311",12311,40,"Private","Bachelors",13,"Never-married","White","Male",30,"<=50K"
"22740",22740,47,"Private","10th",6,"Divorced","White","Female",30,"<=50K"
"9484",9484,34,"State-gov","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"29966",29966,42,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,"<=50K"
"18854",18854,34,"Private","9th",5,"Separated","White","Male",40,"<=50K"
"37633",37633,40,"Self-emp-not-inc","Assoc-voc",11,"Married-civ-spouse","White","Female",15,">50K"
"36274",36274,43,"Private","Bachelors",13,"Married-civ-spouse","White","Male",35,"<=50K"
"28529",28529,75,"Private","HS-grad",9,"Married-civ-spouse","White","Male",20,"<=50K"
"43973",43973,57,"Private","HS-grad",9,"Widowed","White","Male",50,"<=50K"
"18905",18905,24,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"15808",15808,53,"Local-gov","Bachelors",13,"Married-civ-spouse","Asian-Pac-Islander","Male",50,"<=50K"
"41462",41462,31,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,">50K"
"29687",29687,29,"Private","HS-grad",9,"Divorced","White","Female",34,"<=50K"
"34710",34710,24,"Self-emp-not-inc","Some-college",10,"Never-married","White","Male",60,"<=50K"
"551",551,18,"Private","11th",7,"Never-married","White","Male",25,"<=50K"
"28500",28500,21,"?","Some-college",10,"Never-married","White","Female",35,"<=50K"
"47247",47247,54,"Local-gov","HS-grad",9,"Widowed","Black","Female",40,"<=50K"
"44684",44684,53,"Federal-gov","Some-college",10,"Divorced","White","Male",40,"<=50K"
"8573",8573,35,"Private","Bachelors",13,"Married-civ-spouse","White","Male",55,">50K"
"3885",3885,31,"Local-gov","HS-grad",9,"Married-civ-spouse","Black","Male",40,">50K"
"19695",19695,34,"Private","Bachelors",13,"Married-civ-spouse","White","Male",60,">50K"
"9582",9582,53,"Local-gov","HS-grad",9,"Separated","White","Male",40,"<=50K"
"21905",21905,41,"?","5th-6th",3,"Married-civ-spouse","Other","Male",40,"<=50K"
"38288",38288,76,"?","9th",5,"Widowed","White","Male",25,"<=50K"
"40694",40694,60,"Private","10th",6,"Widowed","White","Female",40,"<=50K"
"20707",20707,29,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"47573",47573,25,"Private","Some-college",10,"Married-civ-spouse","White","Female",60,"<=50K"
"26787",26787,26,"Private","HS-grad",9,"Never-married","White","Female",50,"<=50K"
"48220",48220,49,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",60,">50K"
"12106",12106,43,"Private","HS-grad",9,"Divorced","White","Female",24,"<=50K"
"19532",19532,49,"State-gov","11th",7,"Married-civ-spouse","White","Male",40,"<=50K"
"23325",23325,41,"Private","Doctorate",16,"Divorced","White","Female",50,">50K"
"47177",47177,34,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"45237",45237,31,"Private","Some-college",10,"Separated","White","Male",40,"<=50K"
"4573",4573,32,"Private","Bachelors",13,"Never-married","Black","Female",40,"<=50K"
"35496",35496,41,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"37599",37599,47,"Private","HS-grad",9,"Divorced","White","Female",38,"<=50K"
"15562",15562,50,"Self-emp-not-inc","Prof-school",15,"Married-civ-spouse","White","Female",35,">50K"
"7917",7917,18,"Private","11th",7,"Married-civ-spouse","Other","Female",20,"<=50K"
"44825",44825,68,"?","Some-college",10,"Married-civ-spouse","White","Male",48,">50K"
"47946",47946,61,"?","Some-college",10,"Divorced","White","Female",40,"<=50K"
"22204",22204,33,"Private","HS-grad",9,"Married-civ-spouse","White","Male",60,"<=50K"
"44581",44581,24,"State-gov","Some-college",10,"Never-married","White","Female",40,"<=50K"
"19213",19213,43,"Self-emp-not-inc","HS-grad",9,"Never-married","White","Male",35,"<=50K"
"22085",22085,27,"?","Some-college",10,"Divorced","White","Male",40,"<=50K"
"43161",43161,41,"Private","HS-grad",9,"Married-civ-spouse","Asian-Pac-Islander","Male",40,"<=50K"
"2138",2138,44,"Private","HS-grad",9,"Divorced","Asian-Pac-Islander","Female",40,"<=50K"
"47502",47502,56,"?","Assoc-acdm",12,"Married-civ-spouse","White","Male",20,"<=50K"
"197",197,44,"Private","Some-college",10,"Never-married","White","Male",45,"<=50K"
"43478",43478,49,"Private","Assoc-acdm",12,"Separated","White","Female",40,"<=50K"
"5074",5074,27,"Private","Assoc-acdm",12,"Never-married","White","Female",40,"<=50K"
"6868",6868,55,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"27463",27463,47,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",25,"<=50K"
"30379",30379,59,"Private","5th-6th",3,"Divorced","White","Female",40,"<=50K"
"22383",22383,25,"Local-gov","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"15709",15709,33,"Private","Some-college",10,"Married-civ-spouse","White","Male",60,">50K"
"40403",40403,19,"Private","HS-grad",9,"Never-married","White","Male",20,"<=50K"
"36626",36626,76,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",30,"<=50K"
"12941",12941,42,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"15177",15177,36,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"35368",35368,24,"Private","Some-college",10,"Never-married","White","Male",39,"<=50K"
"8063",8063,44,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"19229",19229,18,"?","HS-grad",9,"Never-married","White","Male",10,"<=50K"
"42631",42631,25,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"46479",46479,32,"Private","Prof-school",15,"Never-married","White","Male",40,"<=50K"
"28847",28847,42,"Private","Masters",14,"Never-married","White","Male",45,">50K"
"27149",27149,34,"Private","Assoc-acdm",12,"Divorced","White","Male",50,"<=50K"
"35829",35829,23,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"42289",42289,42,"Private","Masters",14,"Married-civ-spouse","Asian-Pac-Islander","Male",40,"<=50K"
"16454",16454,51,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"32940",32940,22,"Private","Bachelors",13,"Never-married","White","Female",30,"<=50K"
"27567",27567,45,"Private","HS-grad",9,"Married-spouse-absent","White","Male",72,"<=50K"
"3936",3936,54,"State-gov","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"46638",46638,21,"State-gov","Some-college",10,"Never-married","White","Male",40,"<=50K"
"29390",29390,37,"Local-gov","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"24420",24420,52,"Self-emp-not-inc","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"34373",34373,29,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"47220",47220,43,"Federal-gov","HS-grad",9,"Married-civ-spouse","Amer-Indian-Eskimo","Male",40,"<=50K"
"5676",5676,27,"Private","11th",7,"Never-married","Asian-Pac-Islander","Female",50,"<=50K"
"35378",35378,25,"Private","Some-college",10,"Never-married","White","Male",30,"<=50K"
"21425",21425,57,"Private","10th",6,"Divorced","White","Female",70,"<=50K"
"36507",36507,17,"Private","11th",7,"Never-married","White","Male",20,"<=50K"
"45570",45570,19,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"15269",15269,37,"Private","Prof-school",15,"Never-married","Asian-Pac-Islander","Female",55,">50K"
"36078",36078,53,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"27184",27184,35,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"15731",15731,45,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"46478",46478,22,"Private","Some-college",10,"Never-married","White","Female",24,"<=50K"
"14923",14923,27,"Federal-gov","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"40262",40262,70,"?","HS-grad",9,"Widowed","White","Female",12,"<=50K"
"577",577,28,"Self-emp-not-inc","Assoc-voc",11,"Married-civ-spouse","White","Male",80,"<=50K"
"36554",36554,65,"Private","Some-college",10,"Widowed","White","Female",45,"<=50K"
"20129",20129,44,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,">50K"
"40656",40656,27,"Private","Masters",14,"Never-married","White","Male",45,"<=50K"
"43372",43372,34,"Local-gov","Masters",14,"Never-married","White","Male",35,"<=50K"
"38673",38673,38,"Private","7th-8th",4,"Married-civ-spouse","White","Male",84,"<=50K"
"10894",10894,47,"Local-gov","Masters",14,"Married-civ-spouse","White","Female",40,">50K"
"39767",39767,37,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"1171",1171,44,"Private","Prof-school",15,"Married-civ-spouse","White","Male",50,">50K"
"22117",22117,37,"Self-emp-not-inc","HS-grad",9,"Divorced","White","Male",55,"<=50K"
"22310",22310,21,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"33929",33929,41,"Private","Bachelors",13,"Never-married","Black","Male",40,"<=50K"
"8558",8558,71,"Private","HS-grad",9,"Widowed","White","Female",25,"<=50K"
"30983",30983,51,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"32960",32960,41,"Private","Some-college",10,"Separated","White","Male",35,"<=50K"
"34209",34209,34,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",51,"<=50K"
"41352",41352,59,"Private","HS-grad",9,"Separated","Amer-Indian-Eskimo","Female",40,"<=50K"
"46644",46644,37,"Local-gov","Assoc-voc",11,"Never-married","White","Female",40,"<=50K"
"5916",5916,25,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"38516",38516,37,"Private","11th",7,"Divorced","White","Female",40,"<=50K"
"35066",35066,21,"Private","10th",6,"Never-married","White","Female",35,"<=50K"
"7194",7194,31,"Private","HS-grad",9,"Married-civ-spouse","White","Female",35,"<=50K"
"870",870,24,"Private","Assoc-voc",11,"Never-married","White","Male",40,"<=50K"
"1003",1003,18,"?","Some-college",10,"Never-married","White","Male",40,"<=50K"
"41349",41349,18,"?","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"38305",38305,32,"Private","Some-college",10,"Divorced","White","Female",45,"<=50K"
"29087",29087,28,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",35,"<=50K"
"39164",39164,45,"Private","Bachelors",13,"Married-civ-spouse","White","Male",60,">50K"
"13772",13772,19,"?","Some-college",10,"Never-married","White","Female",25,"<=50K"
"2208",2208,25,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"2789",2789,25,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"32847",32847,35,"Private","Assoc-voc",11,"Never-married","White","Male",40,"<=50K"
"47663",47663,30,"Private","HS-grad",9,"Never-married","White","Male",50,"<=50K"
"431",431,64,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"15098",15098,58,"State-gov","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"35442",35442,36,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",92,"<=50K"
"38116",38116,55,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,">50K"
"9236",9236,41,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"321",321,22,"Private","Some-college",10,"Divorced","White","Male",40,"<=50K"
"19070",19070,27,"State-gov","Masters",14,"Never-married","White","Female",50,"<=50K"
"44639",44639,35,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"27500",27500,29,"State-gov","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"18999",18999,42,"Private","Bachelors",13,"Divorced","White","Male",45,"<=50K"
