Nicotine,TAR,CO,Brand
0.04,8,12,QUEST
0.05,4,7,QUEST
0.1,1,1,Carlton
0.1,1,1,Carlton
0.1,1,1,Carlton
0.1,1,2,Carlton
0.1,1,3,MERIT
0.2,1,2,Now
0.2,1,3,MERIT
0.2,1,3,MERIT
0.2,2,3,MERIT
0.2,3,1,ACCORD
0.2,5,5,Eclipse
0.3,2,4,MERIT
0.3,3,4,MERIT
0.3,3,4,Now
0.3,3,5,MERIT
0.3,3,5,MERIT
0.3,4,4,Barclay
0.3,4,4,Barclay
0.3,5,1,ACCORD
0.3,8,11,QUEST
0.4,4,5,Doral
0.4,4,5,Doral
0.4,4,5,TRIUMPH
0.4,4,6,Best
0.4,4,6,Bonus
0.4,4,6,Charter
0.4,4,6,Cimarron
0.4,4,6,Doral
0.4,4,6,Doral
0.4,4,6,First
0.4,4,6,Jacks
0.4,4,6,Legend
0.4,4,6,MARLBOR
0.4,4,6,MERIT
0.4,4,6,MERIT
0.4,4,6,MERIT
0.4,4,6,Monarch
0.4,4,6,Mustang
0.4,4,6,Signature
0.4,4,6,Sundance
0.4,4,6,Tri-Brand
0.4,4,6,Value
0.4,4,6,Worth
0.4,5,5,EAGLE
0.4,5,6,Camel
0.4,5,6,Camel
0.4,5,6,LIGGETT
0.4,5,6,MARLBOR
0.4,5,6,MERIT
0.4,5,7,Austin
0.4,5,7,Austin
0.4,5,7,BASIC
0.4,5,7,BASIC
0.4,5,7,BASIC
0.4,5,7,BASIC
0.4,5,7,Best
0.4,5,7,Bonus
0.4,5,7,Charter
0.4,5,7,Cimarron
0.4,5,7,First
0.4,5,7,Gold
0.4,5,7,Jacks
0.4,5,7,KINGSPOR
0.4,5,7,Legend
0.4,5,7,LIGGETT
0.4,5,7,Marker
0.4,5,7,Monarch
0.4,5,7,Mustang
0.4,5,7,Signature
0.4,5,7,Smoke
0.4,5,7,Sundance
0.4,5,7,Tri-Brand
0.4,5,7,Value
0.4,5,7,Vantage
0.4,5,7,Vantage
0.4,5,7,Worth
0.4,5,8,BASIC
0.4,5,8,CAMBRIDG
0.4,5,8,Highway
0.4,5,8,Legend
0.4,5,8,Mustang
0.4,5,8,Signature
0.4,5,9,BASIC
0.4,6,6,GPC
0.4,6,9,BASIC
0.4,6,9,CAMBRIDG
0.4,10,19,QUEST
0.5,4,4,OLD
0.5,4,6,Winston
0.5,5,3,Carlton
0.5,5,4,Capri
0.5,5,5,KINGSPOR
0.5,5,5,VIRGINIA
0.5,5,5,TRUE
0.5,5,5,TRUE
0.5,5,6,BENSON
0.5,5,6,KENT
0.5,5,6,KINGSPOR
0.5,5,6,MARLBOR
0.5,5,6,Pall
0.5,5,6,PARLIAME
0.5,5,6,QUALITY
0.5,5,6,Winston
0.5,5,6,Winston
0.5,5,6,Winston
0.5,5,6,YOURS
0.5,5,7,BENSON
0.5,5,7,BRONSON
0.5,5,7,BRONSON
0.5,5,7,BRONSON
0.5,5,7,CLASS
0.5,5,7,EAGLE
0.5,5,7,GRAND
0.5,5,7,GRAND
0.5,5,7,GRAND
0.5,5,7,GRAND
0.5,5,7,KINGSPOR
0.5,5,7,LIGGETT
0.5,5,7,LIGGETT
0.5,5,7,LIGGETT
0.5,5,7,LIGGETT
0.5,5,7,MERIDIAN
0.5,5,7,MERIT
0.5,5,7,MERIT
0.5,5,7,MERIT
0.5,5,7,MONTEGO
0.5,5,7,Pall
0.5,5,7,PARLIAME
0.5,5,7,PYRAMID
0.5,5,7,QUALITY
0.5,5,7,SILVER
0.5,5,7,SILVER
0.5,5,7,SINCEREL
0.5,5,7,TOURNEY
0.5,5,7,TOURNEY
0.5,5,7,USA
0.5,5,7,Vantage
0.5,5,7,YOURS
0.5,5,8,BASIC
0.5,5,8,CAMBRIDG
0.5,5,8,MARLBOR
0.5,6,5,EVE
0.5,6,5,SILVER
0.5,6,5,TOURNEY
0.5,6,5,VIRGINIA
0.5,6,6,Barclay
0.5,6,6,BRONSON
0.5,6,6,CLASS
0.5,6,6,VIRGINIA
0.5,6,6,VIRGINIA
0.5,6,7,GPC
0.5,6,7,GPC
0.5,6,7,GPC
0.5,6,7,MALIBU
0.5,6,7,MARLBOR
0.5,6,7,MARLBOR
0.5,6,7,MERIDIAN
0.5,6,7,MONTCLA
0.5,6,7,Vantage
0.5,6,7,Viceroy
0.5,6,7,VIRGINIA
0.5,6,7,Winston
0.5,6,8,BASIC
0.5,6,8,MARLBOR
0.5,6,8,MARLBOR
0.5,6,8,MARLBOR
0.5,6,8,MERIT
0.5,6,8,USA
0.5,6,9,BASIC
0.5,6,9,MONTCLA
0.5,7,9,Jacks
0.5,8,11,QUEST
0.6,6,5,EVE
0.6,6,5,TOURNEY
0.6,6,6,KENT
0.6,6,6,KENT
0.6,6,6,Misty
0.6,6,9,MALIBU
0.6,6,9,SONOMA
0.6,6,9,TUSCANY
0.6,6,9,USA
0.6,6,9,USA
0.6,7,6,TRUE
0.6,7,7,VIRGINIA
0.6,7,9,MERIT
0.6,7,9,MERIT
0.6,7,9,MERIT
0.6,7,10,MERIT
0.6,8,10,MERIT
0.6,9,11,GPC
0.6,10,19,QUEST
0.7,7,7,TRUE
0.7,8,8,Doral
0.7,8,9,KENT
0.7,8,9,Misty
0.7,8,10,MALIBU
0.7,9,8,LARK
0.7,9,9,PARLIAME
0.7,9,9,PARLIAME
0.7,9,9,PARLIAME
0.7,9,10,Camel
0.7,9,10,Camel
0.7,9,10,OLD
0.7,9,10,PARLIAME
0.7,9,10,Tareyton
0.7,9,10,VIRGINIA
0.7,9,10,VIRGINIA
0.7,9,11,CAMBRIDG
0.7,9,11,CHESTER
0.7,9,11,GPC
0.7,9,11,MAVERICK
0.7,9,11,MAVERICK
0.7,10,9,MARLBOR
0.7,10,10,Camel
0.7,10,10,MARLBOR
0.7,10,10,OLD
0.7,10,10,OLD
0.7,10,11,Viceroy
0.7,10,11,Viceroy
0.7,10,12,Austin
0.7,10,12,BASIC
0.7,10,12,BASIC
0.7,10,12,BASIC
0.7,10,12,BASIC
0.7,10,12,Best
0.7,10,12,Best
0.7,10,12,Bonus
0.7,10,12,CAMBRIDG
0.7,10,12,CAMBRIDG
0.7,10,12,Charter
0.7,10,12,CHESTER
0.7,10,12,Cimarron
0.7,10,12,EAGLE
0.7,10,12,First
0.7,10,12,Gold
0.7,10,12,Jacks
0.7,10,12,L&M
0.7,10,12,L&M
0.7,10,12,Legend
0.7,10,12,Marker
0.7,10,12,Monarch
0.7,10,12,Mustang
0.7,10,12,Signature
0.7,10,12,Smoke
0.7,10,12,Sundance
0.7,10,12,Tri-Brand
0.7,10,12,Value
0.7,10,12,Worth
0.7,10,13,BASIC
0.7,10,13,CAMBRIDG
0.7,10,13,LIGGETT
0.7,10,13,LIGGETT
0.7,10,13,TOURNEY
0.7,10,13,TOURNEY
0.7,11,13,DAVES
0.7,11,13,L&M
0.7,11,14,DAVES
0.7,11,14,L&M
0.7,11,14,L&M
0.7,12,14,BASIC
0.7,12,15,L&M
0.74,5.9,6.9,NATURAL
0.8,8,9,Vantage
0.8,8,10,KENT
0.8,9,6,Capri
0.8,9,8,More
0.8,9,9,LARK
0.8,9,9,Winston
0.8,9,10,Camel
0.8,9,10,Doral
0.8,9,10,Doral
0.8,9,10,Vantage
0.8,10,10,BENSON
0.8,10,10,Camel
0.8,10,10,Camel
0.8,10,10,Camel
0.8,10,10,Doral
0.8,10,10,LARK
0.8,10,10,Winston
0.8,10,11,Austin
0.8,10,11,Bonus
0.8,10,11,Charter
0.8,10,11,Cimarron
0.8,10,11,Doral
0.8,10,11,First
0.8,10,11,Gold
0.8,10,11,GPC
0.8,10,11,Highway
0.8,10,11,Jacks
0.8,10,11,LARK
0.8,10,11,Legend
0.8,10,11,Marker
0.8,10,11,MARLBOR
0.8,10,11,MARLBOR
0.8,10,11,MAVERICK
0.8,10,11,MAVERICK
0.8,10,11,MERIT
0.8,10,11,Monarch
0.8,10,11,Mustang
0.8,10,11,PARLIAME
0.8,10,11,Signature
0.8,10,11,SILVER
0.8,10,11,Smoke
0.8,10,11,Sundance
0.8,10,11,Tri-Brand
0.8,10,11,Value
0.8,10,11,Winston
0.8,10,11,Worth
0.8,10,12,Best
0.8,10,12,Best
0.8,10,12,CHESTER
0.8,10,12,First
0.8,10,12,Gold
0.8,10,12,GPC
0.8,10,12,Highway
0.8,10,12,Jacks
0.8,10,12,Legend
0.8,10,12,MARLBOR
0.8,10,12,MERIT
0.8,10,12,Mustang
0.8,10,12,Signature
0.8,10,12,Smoke
0.8,10,12,Sundance
0.8,10,13,BRONSON
