ACC_TRDVAL,ACC_TRDVOL,CMPPREVDD_PRC,FLUC_RT,FLUC_TP_CD,LIST_SHRS,MKTCAP,TDD_CLSPRC,TDD_HGPRC,TDD_LWPRC,TDD_OPNPRC,TRD_DD
"338,324,957","201,861",-8,-0.48,2,"50,023,428","83,589,148,188","1,671","1,697","1,640","1,665",2024/12/30
"681,788,816","401,192",-17,-1.00,2,"50,023,428","83,989,335,612","1,679","1,732","1,677","1,721",2024/12/27
"1,299,293,935","758,181",-90,-5.04,2,"50,023,428","84,839,733,888","1,696","1,775","1,696","1,760",2024/12/26
"2,450,217,548","1,357,369",57,3.30,1,"50,023,428","89,341,842,408","1,786","1,880","1,729","1,750",2024/12/24
"686,924,684","398,723",-1,-0.06,2,"50,023,428","86,490,507,012","1,729","1,769","1,696","1,752",2024/12/23
"1,007,732,019","585,107",24,1.41,1,"50,023,428","86,540,530,440","1,730","1,750","1,695","1,725",2024/12/20
"913,405,808","539,830",-3,-0.18,2,"50,023,428","85,339,968,168","1,706","1,740","1,661","1,690",2024/12/19
"1,606,877,167","925,507",18,1.06,1,"50,023,428","85,490,038,452","1,709","1,811","1,686","1,705",2024/12/18
"1,893,765,571","1,113,205",-58,-3.32,2,"50,023,428","84,589,616,748","1,691","1,750","1,680","1,750",2024/12/17
"2,293,464,358","1,303,593",-95,-5.15,2,"50,023,428","87,490,975,572","1,749","1,892","1,727","1,851",2024/12/16
"1,567,938,384","855,207",1,0.05,1,"50,023,428","92,243,201,232","1,844","1,883","1,787","1,838",2024/12/13
"2,263,707,619","1,205,720",-112,-5.73,2,"50,023,428","92,193,177,804","1,843","1,963","1,831","1,950",2024/12/12
"1,195,559,205","609,990",-26,-1.31,2,"50,023,428","97,795,801,740","1,955","1,999","1,885","1,982",2024/12/11
"1,351,688,965","690,889",81,4.26,1,"50,023,428","99,096,410,868","1,981","1,999","1,888","1,897",2024/12/10
"1,444,817,348","754,864",-125,-6.17,2,"50,023,428","95,044,513,200","1,900","2,025","1,850","2,025",2024/12/09
"3,428,832,991","1,680,019",-235,-10.40,2,"50,023,428","101,297,441,700","2,025","2,195","1,918","2,190",2024/12/06
"4,008,349,470","1,792,076",150,7.11,1,"47,973,428","108,419,947,280","2,260","2,320","2,120","2,145",2024/12/05
"2,387,493,160","1,125,319",-60,-2.76,2,"47,973,428","101,223,933,080","2,110","2,230","2,065","2,110",2024/12/04
