ACC_TRDVAL,ACC_TRDVOL,CMPPREVDD_PRC,FLUC_RT,FLUC_TP_CD,LIST_SHRS,MKTCAP,TDD_CLSPRC,TDD_HGPRC,TDD_LWPRC,TDD_OPNPRC,TRD_DD
"255,860",50,70,1.38,1,"783,699","4,020,375,870","5,130","5,290","4,950","5,290",2024/12/30
"202,530",40,-10,-0.20,2,"783,699","3,965,516,940","5,060","5,120","5,060","5,120",2024/12/27
"1,258,470",248,-120,-2.31,2,"783,699","3,973,353,930","5,070","5,230","5,010","5,230",2024/12/26
"653,330",126,-30,-0.57,2,"783,699","4,067,397,810","5,190","5,390","5,180","5,390",2024/12/24
"3,427,005",666,275,5.56,1,"783,699","4,090,908,780","5,220","5,220","4,985","4,985",2024/12/23
"5,155,460","1,049",-5,-0.10,2,"783,699","3,875,391,555","4,945","5,070","4,820","5,070",2024/12/20
"975,300",196,-70,-1.39,2,"783,699","3,879,310,050","4,950","5,040","4,950","5,040",2024/12/19
"810,230",162,0,0.00,3,"783,699","3,934,168,980","5,020","5,300","4,950","5,300",2024/12/18
"3,496,400",703,55,1.11,1,"783,699","3,934,168,980","5,020","5,020","4,930","4,965",2024/12/17
"3,680,355",745,20,0.40,1,"783,699","3,891,065,535","4,965","5,000","4,870","4,995",2024/12/16
"6,516,950","1,323",-15,-0.30,2,"783,699","3,875,391,555","4,945","5,070","4,840","5,070",2024/12/13
"5,165,785","1,051",-40,-0.80,2,"783,699","3,887,147,040","4,960","5,070","4,890","5,070",2024/12/12
"1,015,280",203,50,1.01,1,"783,699","3,918,495,000","5,000","5,440","4,950","5,440",2024/12/11
"3,392,425",700,150,3.13,1,"783,699","3,879,310,050","4,950","4,980","4,570","4,570",2024/12/10
"4,741,600",988,-200,-4.00,2,"783,699","3,761,755,200","4,800","4,890","4,710","4,710",2024/12/09
"15,065,550","2,919",-670,-11.82,2,"783,699","3,918,495,000","5,000","5,980","5,000","5,980",2024/12/06
"1,197,080",214,170,3.09,1,"783,699","4,443,573,330","5,670","5,840","5,500","5,500",2024/12/05
"2,240,760",389,130,2.42,1,"783,699","4,310,344,500","5,500","5,920","5,390","5,920",2024/12/04
"11,246,040","2,119",210,4.07,1,"783,699","4,208,463,630","5,370","5,750","5,210","5,750",2024/12/03
"16,935,530","3,175",-180,-3.37,2,"783,699","4,043,886,840","5,160","5,340","5,160","5,340",2024/12/02
"202,590",38,-10,-0.19,2,"783,699","4,184,952,660","5,340","5,350","5,220","5,350",2024/11/29
"215,590",41,250,4.90,1,"783,699","4,192,789,650","5,350","5,350","5,150","5,150",2024/11/28
"1,598,750",309,-310,-5.73,2,"783,699","3,996,864,900","5,100","5,410","5,100","5,410",2024/11/27
"53,260",10,10,0.19,1,"783,699","4,239,811,590","5,410","5,410","5,250","5,400",2024/11/26
"21,500",4,100,1.89,1,"783,699","4,231,974,600","5,400","5,400","5,300","5,400",2024/11/25
"745,970",140,-80,-1.49,2,"783,699","4,153,604,700","5,300","5,380","5,300","5,370",2024/11/22
"698,970",138,70,1.32,1,"783,699","4,216,300,620","5,380","5,380","5,050","5,050",2024/11/21
"115,800",22,0,0.00,3,"783,699","4,161,441,690","5,310","5,310","5,250","5,250",2024/11/20
"24,708,800","4,661",-170,-3.10,2,"783,699","4,161,441,690","5,310","5,390","5,290","5,300",2024/11/19
"405,560",75,-20,-0.36,2,"783,699","4,294,670,520","5,480","5,540","5,250","5,500",2024/11/18
"1,495,260",289,170,3.19,1,"783,699","4,310,344,500","5,500","5,510","5,000","5,250",2024/11/15
"378,450",71,0,0.00,3,"783,699","4,177,115,670","5,330","5,780","5,300","5,400",2024/11/14
"1,324,290",248,-150,-2.74,2,"783,699","4,177,115,670","5,330","5,480","5,320","5,480",2024/11/13
"215,460",39,-60,-1.08,2,"783,699","4,294,670,520","5,480","5,540","5,480","5,540",2024/11/12
"7,488,520","1,374",-150,-2.64,2,"783,699","4,341,692,460","5,540","5,690","5,400","5,690",2024/11/11
"1,917,530",337,0,0.00,3,"783,699","4,459,247,310","5,690","5,690","5,690","5,690",2024/11/08
"2,270,470",401,-10,-0.18,2,"783,699","4,459,247,310","5,690","5,720","5,640","5,720",2024/11/07
"1,444,620",255,30,0.53,1,"783,699","4,467,084,300","5,700","5,700","5,640","5,700",2024/11/06
"743,890",132,-70,-1.22,2,"783,699","4,443,573,330","5,670","5,700","5,630","5,630",2024/11/05
"1,390,060",245,90,1.59,1,"783,699","4,498,432,260","5,740","5,750","5,630","5,630",2024/11/04
"1,812,970",321,-140,-2.42,2,"783,699","4,427,899,350","5,650","5,780","5,640","5,650",2024/11/01
"208,380",36,10,0.17,1,"783,699","4,537,617,210","5,790","5,800","5,720","5,720",2024/10/31
"263,560",46,10,0.17,1,"783,699","4,529,780,220","5,780","5,850","5,720","5,850",2024/10/30
"242,520",42,-30,-0.52,2,"783,699","4,521,943,230","5,770","5,800","5,770","5,800",2024/10/29
"1,640,620",286,0,0.00,3,"783,699","4,545,454,200","5,800","5,800","5,710","5,710",2024/10/28
"40,600",7,0,0.00,3,"783,699","4,545,454,200","5,800","5,800","5,800","5,800",2024/10/25
"6,273,840","1,090",-90,-1.53,2,"783,699","4,545,454,200","5,800","5,880","5,750","5,810",2024/10/24
"340,990",58,0,0.00,3,"783,699","4,615,987,110","5,890","5,890","5,890","5,890",2024/10/23
"105,380",18,-10,-0.17,2,"783,699","4,615,987,110","5,890","5,890","5,810","5,810",2024/10/22
"88,060",15,20,0.34,1,"783,699","4,623,824,100","5,900","5,900","5,800","5,880",2024/10/21
"23,520",4,0,0.00,3,"783,699","4,608,150,120","5,880","5,880","5,880","5,880",2024/10/18
"116,330",20,0,0.00,3,"783,699","4,608,150,120","5,880","5,880","5,810","5,830",2024/10/17
"1,399,740",240,-50,-0.84,2,"783,699","4,608,150,120","5,880","5,900","5,820","5,830",2024/10/16
"2,602,070",443,-20,-0.34,2,"783,699","4,647,335,070","5,930","5,970","5,870","5,870",2024/10/15
"796,460",134,50,0.85,1,"783,699","4,663,009,050","5,950","6,000","5,910","6,000",2024/10/14
