ACC_TRDVAL,ACC_TRDVOL,CMPPREVDD_PRC,FLUC_RT,FLUC_TP_CD,LIST_SHRS,MKTCAP,TDD_CLSPRC,TDD_HGPRC,TDD_LWPRC,TDD_OPNPRC,TRD_DD
"88,871,050","29,386",20,0.66,1,"14,000,000","42,770,000,000","3,055","3,095","2,990","2,995",2024/12/30
"119,291,870","39,156",-115,-3.65,2,"14,000,000","42,490,000,000","3,035","3,115","3,005","3,115",2024/12/27
"360,949,925","116,037",20,0.64,1,"14,000,000","44,100,000,000","3,150","3,205","2,985","3,135",2024/12/26
"256,469,180","81,809",-20,-0.63,2,"14,000,000","43,820,000,000","3,130","3,290","3,090","3,220",2024/12/24
"339,783,965","107,832",65,2.11,1,"14,000,000","44,100,000,000","3,150","3,205","3,095","3,095",2024/12/23
"510,557,810","162,427",-150,-4.64,2,"14,000,000","43,190,000,000","3,085","3,270","3,055","3,205",2024/12/20
"302,361,370","94,849",0,0.00,3,"14,000,000","45,290,000,000","3,235","3,235","3,055","3,055",2024/12/19
"672,695,230","210,391",-30,-0.92,2,"14,000,000","45,290,000,000","3,235","3,315","3,110","3,195",2024/12/18
"472,042,440","146,654",-110,-3.26,2,"14,000,000","45,710,000,000","3,265","3,355","3,150","3,350",2024/12/17
"3,225,289,355","972,818",350,11.57,1,"14,000,000","47,250,000,000","3,375","3,470","3,065","3,105",2024/12/16
"579,950,265","196,297",140,4.85,1,"14,000,000","42,350,000,000","3,025","3,185","2,805","2,900",2024/12/13
"391,578,260","134,580",-155,-5.10,2,"14,000,000","40,390,000,000","2,885","3,035","2,860","2,985",2024/12/12
"585,698,920","198,076",220,7.80,1,"14,000,000","42,560,000,000","3,040","3,050","2,815","2,820",2024/12/11
"202,662,155","72,670",145,5.42,1,"14,000,000","39,480,000,000","2,820","2,825","2,675","2,675",2024/12/10
"320,596,370","122,006",-50,-1.83,2,"14,000,000","37,450,000,000","2,675","2,690","2,570","2,650",2024/12/09
"397,916,525","145,317",0,0.00,3,"14,000,000","38,150,000,000","2,725","2,830","2,670","2,830",2024/12/06
"330,220,445","118,830",-5,-0.18,2,"14,000,000","38,150,000,000","2,725","2,840","2,665","2,790",2024/12/05
"260,753,495","96,665",0,0.00,3,"14,000,000","38,220,000,000","2,730","2,765","2,630","2,700",2024/12/04
"112,442,920","41,352",10,0.37,1,"14,000,000","38,220,000,000","2,730","2,745","2,695","2,740",2024/12/03
"279,536,690","102,090",-90,-3.20,2,"14,000,000","38,080,000,000","2,720","2,855","2,650","2,815",2024/12/02
"348,689,460","124,810",-60,-2.09,2,"14,000,000","39,340,000,000","2,810","2,865","2,725","2,865",2024/11/29
"300,554,830","103,570",-70,-2.38,2,"14,000,000","40,180,000,000","2,870","2,985","2,850","2,940",2024/11/28
"330,443,495","110,846",-110,-3.61,2,"14,000,000","41,160,000,000","2,940","3,095","2,900","3,050",2024/11/27
"258,721,030","84,051",-110,-3.48,2,"14,000,000","42,700,000,000","3,050","3,200","3,030","3,160",2024/11/26
"514,215,405","161,797",65,2.10,1,"14,000,000","44,240,000,000","3,160","3,245","3,085","3,095",2024/11/25
"553,825,070","179,170",115,3.86,1,"14,000,000","43,330,000,000","3,095","3,150","2,980","2,980",2024/11/22
