ACC_TRDVAL,ACC_TRDVOL,CMPPREVDD_PRC,FLUC_RT,FLUC_TP_CD,LIST_SHRS,MKTCAP,TDD_CLSPRC,TDD_HGPRC,TDD_LWPRC,TDD_OPNPRC,TRD_DD
"7,387,831","18,257",-4,-0.98,2,"53,743,968","21,820,051,008",406,410,400,407,2024/12/30
"31,169,572","76,915",-8,-1.91,2,"53,743,968","22,035,026,880",410,418,403,414,2024/12/27
"11,249,705","27,376",-1,-0.24,2,"53,743,968","22,464,978,624",418,419,401,414,2024/12/26
"6,248,751","15,208",8,1.95,1,"53,743,968","22,518,722,592",419,420,400,413,2024/12/24
"9,035,581","21,656",-10,-2.38,2,"53,743,968","22,088,770,848",411,424,411,417,2024/12/23
"52,273,389","125,681",-7,-1.64,2,"53,743,968","22,626,210,528",421,428,414,424,2024/12/20
"41,061,690","99,263",8,1.90,1,"53,743,968","23,002,418,304",428,429,409,413,2024/12/19
"21,227,253","50,357",-11,-2.55,2,"53,743,968","22,572,466,560",420,427,419,427,2024/12/18
"26,836,383","62,587",8,1.89,1,"53,743,968","23,163,650,208",431,439,420,420,2024/12/17
"54,529,892","128,248",8,1.93,1,"53,743,968","22,733,698,464",423,440,411,411,2024/12/16
"16,467,358","39,536",-2,-0.48,2,"53,743,968","22,303,746,720",415,424,400,410,2024/12/13
"14,942,258","35,529",0,0.00,3,"53,743,968","22,411,234,656",417,427,410,417,2024/12/12
"35,049,937","85,399",22,5.57,1,"53,743,968","22,411,234,656",417,427,380,394,2024/12/11
"40,890,084","102,778",20,5.33,1,"53,743,968","21,228,867,360",395,409,361,373,2024/12/10
"36,230,055","92,639",-24,-6.02,2,"53,743,968","20,153,988,000",375,403,361,384,2024/12/09
"23,010,705","58,639",-5,-1.24,2,"53,743,968","21,443,843,232",399,401,380,399,2024/12/06
"12,956,859","32,480",-2,-0.49,2,"53,743,968","21,712,563,072",404,404,378,402,2024/12/05
"13,435,033","33,410",-4,-0.98,2,"53,743,968","21,820,051,008",406,413,378,392,2024/12/04
"51,162,778","126,858",0,0.00,3,"53,743,968","22,035,026,880",410,410,400,404,2024/12/03
"1,570,163","3,850",-3,-0.73,2,"53,743,968","22,035,026,880",410,413,405,409,2024/12/02
"8,126,503","19,747",-2,-0.48,2,"53,743,968","22,196,258,784",413,417,407,417,2024/11/29
"3,913,120","9,459",-2,-0.48,2,"53,743,968","22,303,746,720",415,418,409,418,2024/11/28
"14,474,697","35,045",-3,-0.71,2,"53,743,968","22,411,234,656",417,420,408,416,2024/11/27
"4,725,279","11,381",3,0.72,1,"53,743,968","22,572,466,560",420,422,414,420,2024/11/26
"19,575,093","46,713",-4,-0.95,2,"53,743,968","22,411,234,656",417,443,415,423,2024/11/25
