ACC_TRDVAL,ACC_TRDVOL,CMPPREVDD_PRC,FLUC_RT,FLUC_TP_CD,LIST_SHRS,MKTCAP,TDD_CLSPRC,TDD_HGPRC,TDD_LWPRC,TDD_OPNPRC,TRD_DD
"58,982,400","58,846",5,0.51,1,"42,197,899","41,860,315,808",992,"1,016",987,987,2024/12/30
"84,055,348","84,925",-1,-0.10,2,"42,197,899","41,649,326,313",987,"1,019",965,965,2024/12/27
"124,767,901","125,698",-13,-1.30,2,"42,197,899","41,691,524,212",988,"1,028",950,"1,005",2024/12/26
"59,383,190","59,043",-24,-2.34,2,"42,197,899","42,240,096,899","1,001","1,060",998,999,2024/12/24
"71,726,311","70,639",15,1.49,1,"42,197,899","43,252,846,475","1,025","1,035","1,004","1,011",2024/12/23
"82,374,292","82,031",5,0.50,1,"42,197,899","42,619,877,990","1,010","1,040",990,"1,005",2024/12/20
"52,937,803","52,570",-10,-0.99,2,"42,197,899","42,408,888,495","1,005","1,046","1,000","1,015",2024/12/19
"124,604,047","121,509",-34,-3.24,2,"42,197,899","42,830,867,485","1,015","1,059","1,007","1,053",2024/12/18
"47,667,937","45,706",9,0.87,1,"42,197,899","44,265,596,051","1,049","1,054","1,031","1,041",2024/12/17
"56,078,569","53,740",1,0.10,1,"42,197,899","43,885,814,960","1,040","1,062","1,038","1,062",2024/12/16
"122,413,577","117,494",12,1.17,1,"42,197,899","43,843,617,061","1,039","1,078","1,027","1,027",2024/12/13
"51,172,084","49,179",-23,-2.19,2,"42,197,899","43,337,242,273","1,027","1,059","1,026","1,050",2024/12/12
"230,267,224","216,512",-53,-4.81,2,"42,197,899","44,307,793,950","1,050","1,129","1,025","1,103",2024/12/11
"104,211,643","99,143",103,10.30,1,"42,197,899","46,544,282,597","1,103","1,103","1,000","1,000",2024/12/10
"156,500,379","154,359",-56,-5.30,2,"42,197,899","42,197,899,000","1,000","1,050","1,000","1,034",2024/12/09
"107,823,970","99,548",-66,-5.88,2,"42,197,899","44,560,981,344","1,056","1,145","1,029","1,140",2024/12/06
"90,669,203","81,247",-19,-1.67,2,"42,197,899","47,346,042,678","1,122","1,150","1,100","1,141",2024/12/05
"127,643,874","110,984",-46,-3.88,2,"42,197,899","48,147,802,759","1,141","1,185","1,110","1,150",2024/12/04
"67,798,453","57,369",17,1.45,1,"42,197,899","50,088,906,113","1,187","1,197","1,170","1,170",2024/12/03
"154,480,244","130,468",-33,-2.74,2,"42,197,899","49,371,541,830","1,170","1,238","1,170","1,203",2024/12/02
"50,306,426","41,554",-1,-0.08,2,"42,197,899","50,764,072,497","1,203","1,231","1,198","1,222",2024/11/29
"79,003,005","65,090",8,0.67,1,"42,197,899","50,806,270,396","1,204","1,236","1,196","1,198",2024/11/28
"114,196,236","95,111",-5,-0.42,2,"42,197,899","50,468,687,204","1,196","1,234","1,189","1,201",2024/11/27
"158,730,683","131,711",-24,-1.96,2,"42,197,899","50,679,676,699","1,201","1,230","1,200","1,213",2024/11/26
"102,654,627","84,003",-24,-1.92,2,"42,197,899","51,692,426,275","1,225","1,257","1,206","1,246",2024/11/25
"313,399,210","247,692",-70,-5.31,2,"42,197,899","52,705,175,851","1,249","1,314","1,249","1,271",2024/11/22
"951,196,034","708,558",39,3.05,1,"42,197,899","55,659,028,781","1,319","1,407","1,268","1,280",2024/11/21
"1,670,191,239","1,233,004",8,0.63,1,"42,197,899","54,013,310,720","1,280","1,498","1,231","1,295",2024/11/20
"6,390,933,374","4,644,943",105,9.00,1,"42,197,899","53,675,727,528","1,272","1,480","1,156","1,167",2024/11/19
"92,194,039","78,261",17,1.48,1,"42,197,899","49,244,948,133","1,167","1,260","1,138","1,149",2024/11/18
"67,776,419","60,123",23,2.04,1,"42,197,899","48,527,583,850","1,150","1,160","1,100","1,110",2024/11/15
"56,828,367","48,999",-57,-4.81,2,"42,197,899","47,557,032,173","1,127","1,190","1,127","1,169",2024/11/14
"48,322,054","41,849",34,2.96,1,"42,197,899","49,962,312,416","1,184","1,185","1,137","1,150",2024/11/13
"161,936,421","138,468",-42,-3.52,2,"42,197,899","48,527,583,850","1,150","1,212","1,150","1,182",2024/11/12
"114,220,862","94,780",-52,-4.18,2,"42,197,899","50,299,895,608","1,192","1,278","1,176","1,250",2024/11/11
"163,566,845","135,149",82,7.06,1,"42,197,899","52,494,186,356","1,244","1,247","1,156","1,156",2024/11/08
"134,077,769","115,255",-62,-5.07,2,"42,197,899","49,033,958,638","1,162","1,217","1,139","1,217",2024/11/07
"624,726,940","470,550",-122,-9.06,2,"42,197,899","51,650,228,376","1,224","1,407","1,210","1,342",2024/11/06
"204,173,782","151,667",-32,-2.32,2,"42,197,899","56,798,372,054","1,346","1,393","1,306","1,378",2024/11/05
"419,353,811","302,390",23,1.70,1,"42,197,899","58,148,704,822","1,378","1,413","1,354","1,370",2024/11/04
"556,369,233","397,001",-19,-1.38,2,"42,197,899","57,178,153,145","1,355","1,435","1,354","1,359",2024/11/01
"357,817,720","257,982",-26,-1.86,2,"42,197,899","57,979,913,226","1,374","1,490","1,361","1,400",2024/10/31
"413,652,029","301,235",22,1.60,1,"42,197,899","59,077,058,600","1,400","1,410","1,336","1,390",2024/10/30
"676,131,714","505,505",110,8.68,1,"42,197,899","58,148,704,822","1,378","1,392","1,221","1,278",2024/10/29
"407,312,408","326,177",-28,-2.16,2,"42,197,899","53,506,935,932","1,268","1,320","1,213","1,320",2024/10/28
