<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAGR.US,D,20211006,000000,9.68,9.78,9.677,9.765,90096,0
AAGR.US,D,20211007,000000,9.76,9.8,9.73,9.76,301581,0
AAGR.US,D,20211008,000000,9.733,9.79,9.733,9.75,23825,0
AAGR.US,D,20211011,000000,9.7501,9.7599,9.73,9.75,38857,0
AAGR.US,D,20211012,000000,9.74,9.77,9.74,9.77,3277,0
AAGR.US,D,20211013,000000,9.73,9.77,9.73,9.76,16650,0
AAGR.US,D,20211014,000000,9.79,9.79,9.73,9.75,250096,0
AAGR.US,D,20211015,000000,9.8,9.81,9.73,9.74,166623,0
AAGR.US,D,20211018,000000,9.73,9.765,9.73,9.74,3781,0
AAGR.US,D,20211019,000000,9.74,9.77,9.74,9.7575,282866,0
AAGR.US,D,20211020,000000,9.755,9.78,9.75,9.75,79028,0
AAGR.US,D,20211021,000000,9.75,9.7693,9.75,9.7535,3681,0
AAGR.US,D,20211022,000000,9.77,9.79,9.76,9.7786,49236,0
AAGR.US,D,20211025,000000,9.86,9.86,9.76,9.77,10014,0
AAGR.US,D,20211026,000000,9.76,9.8,9.76,9.76,11563,0
AAGR.US,D,20211027,000000,9.77,9.79,9.77,9.77,76756,0
AAGR.US,D,20211028,000000,9.77,9.78,9.77,9.77,10579,0
AAGR.US,D,20211029,000000,9.78,9.8,9.75,9.75,10013,0
AAGR.US,D,20211101,000000,9.74,9.79,9.74,9.78,46002,0
AAGR.US,D,20211102,000000,9.81,9.81,9.76,9.79,12147,0
AAGR.US,D,20211103,000000,9.7822,9.79,9.78,9.78,31196,0
AAGR.US,D,20211104,000000,9.78,9.925,9.77,9.77,10240,0
AAGR.US,D,20211105,000000,9.8,9.81,9.795,9.795,10961,0
AAGR.US,D,20211108,000000,9.78,9.7948,9.77,9.78,14583,0
AAGR.US,D,20211109,000000,9.77,9.81,9.77,9.78,36220,0
AAGR.US,D,20211110,000000,9.78,9.7817,9.78,9.7802,2266,0
AAGR.US,D,20211111,000000,9.81,9.85,9.7775,9.7775,10507,0
AAGR.US,D,20211112,000000,9.76,9.7801,9.76,9.7801,956,0
AAGR.US,D,20211115,000000,9.79,9.79,9.78,9.78,1742,0
AAGR.US,D,20211116,000000,9.8,9.8,9.7861,9.8,166831,0
AAGR.US,D,20211117,000000,9.8,9.84,9.78,9.79,22044,0
AAGR.US,D,20211118,000000,10.88,10.88,10.16,10.3,1209902,0
AAGR.US,D,20211119,000000,10.3,10.73,10.26,10.34,397858,0
AAGR.US,D,20211122,000000,10.26,10.51,10.25,10.3,192779,0
AAGR.US,D,20211123,000000,10.48,10.48,10.31,10.33,84837,0
AAGR.US,D,20211124,000000,10.27,10.4222,10.25,10.38,48813,0
AAGR.US,D,20211126,000000,10.48,10.48,10.27,10.37,19141,0
AAGR.US,D,20211129,000000,10.33,10.49,10.27,10.34,255649,0
AAGR.US,D,20211130,000000,10.39,10.41,10.23,10.23,48005,0
AAGR.US,D,20211201,000000,10.21,10.4,10.2,10.21,57641,0
AAGR.US,D,20211202,000000,10.2014,10.2537,10.08,10.17,27088,0
AAGR.US,D,20211203,000000,10.14,10.2,10.1,10.13,6012,0
AAGR.US,D,20211206,000000,10.1,10.1,10.01,10.06,13698,0
AAGR.US,D,20211207,000000,10.03,10.1745,10.03,10.06,6332,0
AAGR.US,D,20211208,000000,10.06,10.1,10.03,10.03,11502,0
AAGR.US,D,20211209,000000,9.99,10.1,9.99,10.09,15177,0
