<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19840907,000000,0.0998239,0.101049,0.0986188,0.0998239,98594718.564571,0
AAPL.US,D,19840910,000000,0.0998239,0.10013,0.0974239,0.0992315,76525586.295332,0
AAPL.US,D,19840911,000000,0.10013,0.102846,0.10013,0.101049,180451874.77626,0
AAPL.US,D,19840912,000000,0.101049,0.101641,0.0980066,0.0980066,157640102.52492,0
AAPL.US,D,19840913,000000,0.10346,0.103754,0.10346,0.10346,245518630.11974,0
AAPL.US,D,19840914,000000,0.103754,0.10736,0.103754,0.10495,292335803.43719,0
AAPL.US,D,19840917,000000,0.107676,0.109178,0.107676,0.107676,228250569.55885,0
AAPL.US,D,19840918,000000,0.107676,0.108565,0.103754,0.103754,115226112.83191,0
AAPL.US,D,19840919,000000,0.103754,0.10495,0.101641,0.101641,125862763.03932,0
AAPL.US,D,19840920,000000,0.101938,0.102846,0.101938,0.101938,78355891.528485,0
AAPL.US,D,19840921,000000,0.101938,0.10495,0.0998239,0.101049,118223408.41933,0
AAPL.US,D,19840924,000000,0.101049,0.101641,0.10013,0.10013,93554928.38315,0
AAPL.US,D,19840925,000000,0.0998239,0.0998239,0.0980066,0.0980066,197507733.82648,0
AAPL.US,D,19840926,000000,0.0980066,0.102529,0.0968212,0.0968212,131406575.97819,0
AAPL.US,D,19840927,000000,0.0968212,0.0974239,0.0968212,0.0968212,125438353.94308,0
AAPL.US,D,19840928,000000,0.0968212,0.0968212,0.092594,0.0944014,276394064.83889,0
AAPL.US,D,19841001,000000,0.0941151,0.0941151,0.0922879,0.0922879,115783123.95238,0
AAPL.US,D,19841002,000000,0.0928905,0.096209,0.0928905,0.0928905,140027248.55398,0
AAPL.US,D,19841003,000000,0.0944014,0.0959027,0.0944014,0.0944014,142600267.68059,0
AAPL.US,D,19841004,000000,0.0955867,0.096209,0.0955867,0.0955867,148594984.40346,0
AAPL.US,D,19841005,000000,0.0955867,0.0955867,0.0928905,0.0935026,115544422.69155,0
AAPL.US,D,19841008,000000,0.0935026,0.0941151,0.0935026,0.0935026,55623662.064464,0
AAPL.US,D,19841009,000000,0.0935026,0.0941151,0.092594,0.092594,148329712.51856,0
AAPL.US,D,19841010,000000,0.092594,0.092594,0.0898681,0.0898681,432044786.68085,0
AAPL.US,D,19841011,000000,0.0898681,0.0922879,0.0892754,0.0892754,216420287.49924,0
AAPL.US,D,19841012,000000,0.0892754,0.0898681,0.084732,0.0853445,314749750.37867,0
AAPL.US,D,19841015,000000,0.0901645,0.0910731,0.0901645,0.0901645,288065225.88692,0
AAPL.US,D,19841016,000000,0.0901645,0.0904804,0.0898681,0.0898681,139762070.83012,0
AAPL.US,D,19841017,000000,0.0935026,0.0941151,0.0935026,0.0935026,185491765.19363,0
AAPL.US,D,19841018,000000,0.096209,0.0968212,0.096209,0.096209,292680633.29668,0
AAPL.US,D,19841019,000000,0.096209,0.102846,0.0959027,0.096209,386182514.59274,0
AAPL.US,D,19841022,000000,0.096209,0.0977102,0.0955867,0.0955867,135889371.2389,0
AAPL.US,D,19841023,000000,0.0977102,0.0986188,0.0977102,0.0977102,220770467.57341,0
