<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABTS.US,D,20161202,000000,13.535,15.65,12.75,14.3,8535,0
ABTS.US,D,20161205,000000,16.55,16.758,16,16.4,7342,0
ABTS.US,D,20161206,000000,17,17.45,15.5,17.25,17781,0
ABTS.US,D,20161207,000000,19.25,19.25,17.25,17.6,20827,0
ABTS.US,D,20161208,000000,17.8,18.25,16,16.5,10568,0
ABTS.US,D,20161209,000000,17.75,17.75,16,16.434,16051,0
ABTS.US,D,20161212,000000,16,16.825,16,16.6,13575,0
ABTS.US,D,20161213,000000,17.65,17.65,16.25,16.3,6676,0
ABTS.US,D,20161214,000000,16.3,16.75,16.15,16.4,4349,0
ABTS.US,D,20161215,000000,16.505,16.588,15.5,15.802,4952,0
ABTS.US,D,20161216,000000,16.45,17.075,15.5,15.5,7581,0
ABTS.US,D,20161219,000000,16.7,16.746,16.324,16.544,4584,0
ABTS.US,D,20161220,000000,16.518,16.563,16.199,16.447,7927,0
ABTS.US,D,20161221,000000,16.75,17.65,16.27,16.45,2974,0
ABTS.US,D,20161222,000000,16.6,16.6,16,16.6,5316,0
ABTS.US,D,20161223,000000,16.5,16.5,16.25,16.45,2480,0
ABTS.US,D,20161227,000000,16.45,16.5,16.449,16.45,4960,0
ABTS.US,D,20161228,000000,16.25,16.25,15.95,15.95,6880,0
ABTS.US,D,20161229,000000,15.9,16,15.4,15.4,2964,0
ABTS.US,D,20161230,000000,15.236,16.075,15.15,15.9,5854,0
ABTS.US,D,20170103,000000,15.5,16.246,15,16,5106,0
ABTS.US,D,20170104,000000,16.186,16.25,16.1,16.2,2360,0
ABTS.US,D,20170105,000000,15.794,16.475,15.5,16.25,3723,0
ABTS.US,D,20170106,000000,15.912,16.294,15.9,16.15,1464,0
ABTS.US,D,20170109,000000,16.139,16.479,16,16,2280,0
ABTS.US,D,20170110,000000,15.3,16.05,15.2,16,979,0
ABTS.US,D,20170111,000000,16,16.1,15.9,15.95,1880,0
ABTS.US,D,20170112,000000,16.25,16.25,16,16.099,2865,0
ABTS.US,D,20170113,000000,16.1,16.24,16.099,16.193,2258,0
ABTS.US,D,20170117,000000,16.01,16.25,15.5,16,5203,0
ABTS.US,D,20170118,000000,15.985,16.35,15.985,16.1,6562,0
ABTS.US,D,20170119,000000,16.194,16.349,15.55,15.6,2448,0
ABTS.US,D,20170120,000000,15.949,16,15.3,15.65,1949,0
ABTS.US,D,20170123,000000,15.686,15.9,15.5,15.65,1034,0
ABTS.US,D,20170124,000000,16.3,16.45,15.504,16.15,1940,0
ABTS.US,D,20170125,000000,15.6,16.45,15.4,15.5,1395,0
ABTS.US,D,20170126,000000,15.991,16,15.25,15.3,3396,0
ABTS.US,D,20170127,000000,15.75,16.35,15.1,15.25,2622,0
ABTS.US,D,20170130,000000,16.3,16.3,15.8,16,2082,0
ABTS.US,D,20170131,000000,16.249,16.249,15.57,15.85,1606,0
ABTS.US,D,20170201,000000,16.204,16.204,15.694,15.85,1456,0
ABTS.US,D,20170202,000000,16.15,16.2,15.95,15.95,1876,0
ABTS.US,D,20170203,000000,16,16,15.95,15.95,2203,0
ABTS.US,D,20170206,000000,15.25,16.45,15.25,16.05,1272,0
ABTS.US,D,20170207,000000,15.5,16.194,15.5,16.1,2301,0
ABTS.US,D,20170208,000000,15.994,16,15.9,15.95,4836,0
ABTS.US,D,20170209,000000,16,16.5,16,16.25,1938,0
ABTS.US,D,20170210,000000,16.246,16.25,15.9,16.106,3880,0
ABTS.US,D,20170213,000000,16.235,16.246,15.65,15.7,1493,0
ABTS.US,D,20170214,000000,15.7,15.7,15.25,15.3,3310,0
ABTS.US,D,20170215,000000,15.45,15.6,15.4,15.5,2302,0
ABTS.US,D,20170216,000000,15.374,15.5,15.374,15.5,2240,0
ABTS.US,D,20170217,000000,15.25,15.8,15.25,15.6,3311,0
ABTS.US,D,20170221,000000,16.45,16.45,15.5,15.5,4496,0
ABTS.US,D,20170222,000000,16.1,16.1,15.296,15.3,1878,0
ABTS.US,D,20170223,000000,15.252,15.288,15.05,15.15,5804,0
ABTS.US,D,20170224,000000,16.1,16.1,15.05,15.2,1272,0
ABTS.US,D,20170227,000000,16.15,16.15,15.15,15.25,1654,0
ABTS.US,D,20170228,000000,15.2,15.85,15.2,15.2,884,0
ABTS.US,D,20170301,000000,15.9,16,14.85,14.85,4511,0
ABTS.US,D,20170302,000000,15.636,15.9,15.5,15.5,2326,0
ABTS.US,D,20170303,000000,15.5,15.95,15.305,15.85,1724,0
ABTS.US,D,20170306,000000,16,16,15.648,15.648,2320,0
ABTS.US,D,20170307,000000,15.95,15.95,15.3,15.3,2159,0
ABTS.US,D,20170308,000000,15.735,15.75,15.25,15.3,2612,0
ABTS.US,D,20170309,000000,15.5,15.75,15.3,15.306,3485,0
ABTS.US,D,20170310,000000,15.75,15.75,14.75,14.95,5862,0
