<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEVAW.US,D,20250130,000000,0.0657,0.0896,0.0575,0.058,13630,0
AEVAW.US,D,20250131,000000,0.0624,0.0945,0.0624,0.0751,28850,0
AEVAW.US,D,20250203,000000,0.0785,0.0842,0.052,0.0785,11010,0
AEVAW.US,D,20250204,000000,0.0745,0.077,0.0525,0.077,28811,0
AEVAW.US,D,20250205,000000,0.053,0.0685,0.053,0.0684,10698,0
AEVAW.US,D,20250206,000000,0.0758,0.08,0.0589,0.075,20480,0
AEVAW.US,D,20250207,000000,0.074,0.08,0.069,0.075,18694,0
AEVAW.US,D,20250210,000000,0.0729,0.08,0.07,0.075,8365,0
AEVAW.US,D,20250211,000000,0.075,0.089,0.0525,0.08,17466,0
AEVAW.US,D,20250212,000000,0.0724,0.0724,0.0525,0.066249,1428,0
AEVAW.US,D,20250213,000000,0.0525,0.08,0.0525,0.0592,43345,0
