<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFJKU.US,D,20241017,000000,10.51,12.06,10.51,11.12,29864,0
AFJKU.US,D,20241022,000000,11.68,12.69,10.99,11.33,1401,0
AFJKU.US,D,20241023,000000,10.9801,11.1,10.98,11.1,1117,0
AFJKU.US,D,20241028,000000,11.14,11.94,10.8,10.91,15366,0
AFJKU.US,D,20241029,000000,10.8,11,10.66,11,7712,0
AFJKU.US,D,20241030,000000,10.79,10.79,10.7,10.75,404,0
AFJKU.US,D,20241202,000000,10.74,10.74,10.74,10.74,110,0
AFJKU.US,D,20241210,000000,10.79,11.035,10.79,11.035,612,0
AFJKU.US,D,20241211,000000,10.95,10.95,10.95,10.95,306,0
AFJKU.US,D,20250127,000000,11.2,11.2,10.75,10.75,322,0
AFJKU.US,D,20250205,000000,11.3,11.3,11.2,11.2,454,0
AFJKU.US,D,20250210,000000,11.2,11.2,11.01,11.01,200,0
AFJKU.US,D,20250211,000000,11.3,11.3,11.3,11.3,100,0
