<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKTSQ.US,D,20170313,000000,7.2,9,7,8.35,94480,0
AKTSQ.US,D,20170314,000000,8.5,8.5,8.3766,8.3995,11457,0
AKTSQ.US,D,20170315,000000,8.25,8.3636,8.2,8.2403,16904,0
AKTSQ.US,D,20170316,000000,8.2991,8.2991,7.7733,7.7733,2774,0
AKTSQ.US,D,20170317,000000,7.65,8.5,7.6,8.5,9623,0
AKTSQ.US,D,20170320,000000,8.3499,8.3499,8.1497,8.25,26554,0
AKTSQ.US,D,20170321,000000,8.5,9.25,8.5,9.2324,198484,0
AKTSQ.US,D,20170322,000000,9.62,9.62,8.9001,9.2,52669,0
AKTSQ.US,D,20170323,000000,10,10,9.25,9.49,65523,0
AKTSQ.US,D,20170324,000000,9.5,11.5,9.5,10.05,186847,0
AKTSQ.US,D,20170327,000000,10.5,10.85,10.2,10.7,142364,0
AKTSQ.US,D,20170328,000000,10.6,12.5,10.6,12.48,192064,0
AKTSQ.US,D,20170329,000000,14,14,12.604,13,224689,0
AKTSQ.US,D,20170330,000000,13.24,13.24,12.6,12.85,113770,0
AKTSQ.US,D,20170331,000000,12.9947,13.05,12.5501,12.84,64609,0
AKTSQ.US,D,20170403,000000,12.9,12.9,10.69,11.3,158391,0
AKTSQ.US,D,20170404,000000,11.3,11.3,10.6,10.81,87235,0
AKTSQ.US,D,20170405,000000,10.5,10.5521,9.95,10.07,168223,0
AKTSQ.US,D,20170406,000000,10.01,10.78,9.6,10.67,107058,0
AKTSQ.US,D,20170407,000000,10.16,10.75,10.1,10.4,47493,0
AKTSQ.US,D,20170410,000000,10.21,10.3,10.06,10.19,26591,0
AKTSQ.US,D,20170411,000000,10.13,11.04,9.8716,10.9,133265,0
AKTSQ.US,D,20170412,000000,10.9,12.25,10.9,11.86,97861,0
AKTSQ.US,D,20170413,000000,13.01,13.01,11.4096,12.39,33691,0
AKTSQ.US,D,20170417,000000,11.43,11.99,11.4,11.53,47768,0
AKTSQ.US,D,20170418,000000,11.8,11.8,11.05,11.64,25604,0
AKTSQ.US,D,20170419,000000,11.4,11.4,10.25,10.27,82071,0
AKTSQ.US,D,20170420,000000,10.73,10.73,10.05,10.36,77094,0
AKTSQ.US,D,20170421,000000,10.61,10.83,10.12,10.19,44801,0
AKTSQ.US,D,20170424,000000,10.44,10.73,10.2189,10.45,35250,0
AKTSQ.US,D,20170425,000000,10.4,10.5,10.3,10.3,39045,0
AKTSQ.US,D,20170426,000000,10.5,10.7,10.3014,10.4,37526,0
AKTSQ.US,D,20170427,000000,10.3,10.605,10,10.2,46409,0
AKTSQ.US,D,20170428,000000,10.06,10.18,9.8,9.86,46955,0
AKTSQ.US,D,20170501,000000,9.98,9.98,9.45,9.73,45631,0
AKTSQ.US,D,20170502,000000,9.57,9.99,9.57,9.79,23875,0
AKTSQ.US,D,20170503,000000,10,10,9.5,9.62,36682,0
AKTSQ.US,D,20170504,000000,9.78,9.78,9.33,9.6,71657,0
AKTSQ.US,D,20170505,000000,9.45,9.8,9.45,9.675,16567,0
AKTSQ.US,D,20170508,000000,9.74,9.755,9.55,9.61,23569,0
AKTSQ.US,D,20170509,000000,9.68,9.82,9.4,9.6,58861,0
AKTSQ.US,D,20170510,000000,9.684,9.98,9.5,9.87,71781,0
