<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALDFW.US,D,20241220,000000,0.25,0.25,0.25,0.25,150000,0
ALDFW.US,D,20241223,000000,0.26,0.26,0.25,0.25,2647,0
ALDFW.US,D,20241224,000000,0.25,0.265,0.25,0.25,25000,0
ALDFW.US,D,20241227,000000,0.26,0.266,0.25,0.2659,45890,0
ALDFW.US,D,20241230,000000,0.266,0.31,0.2659,0.31,1066,0
ALDFW.US,D,20241231,000000,0.3,0.3,0.3,0.3,660,0
ALDFW.US,D,20250103,000000,0.3,0.3,0.2999,0.2999,1334,0
ALDFW.US,D,20250106,000000,0.3,0.3,0.3,0.3,100039,0
ALDFW.US,D,20250107,000000,0.295,0.295,0.295,0.295,836,0
ALDFW.US,D,20250113,000000,0.263,0.27,0.25,0.25,3725,0
ALDFW.US,D,20250115,000000,0.25,0.254,0.25,0.25,70258,0
ALDFW.US,D,20250116,000000,0.23,0.254,0.23,0.2501,243617,0
ALDFW.US,D,20250117,000000,0.27,0.3251,0.25,0.3251,53498,0
ALDFW.US,D,20250121,000000,0.260101,0.36,0.260101,0.342,4963,0
ALDFW.US,D,20250122,000000,0.2903,0.3145,0.2903,0.3144,1470,0
ALDFW.US,D,20250123,000000,0.2835,0.2835,0.2835,0.2835,398,0
ALDFW.US,D,20250124,000000,0.313751,0.33,0.313751,0.33,1433,0
ALDFW.US,D,20250127,000000,0.252,0.26,0.252,0.26,478,0
ALDFW.US,D,20250128,000000,0.23,0.25,0.23,0.25,1772,0
ALDFW.US,D,20250129,000000,0.2301,0.2301,0.2301,0.2301,1174,0
ALDFW.US,D,20250130,000000,0.244,0.2558,0.244,0.2548,458,0
ALDFW.US,D,20250131,000000,0.236,0.236,0.23,0.23,310,0
ALDFW.US,D,20250203,000000,0.228,0.3,0.2201,0.25,2033,0
ALDFW.US,D,20250204,000000,0.25,0.2501,0.25,0.25,1435,0
ALDFW.US,D,20250205,000000,0.25,0.2501,0.25,0.2501,2285,0
ALDFW.US,D,20250210,000000,0.25,0.26,0.25,0.26,51300,0
ALDFW.US,D,20250211,000000,0.25,0.2501,0.25,0.25,1230,0
ALDFW.US,D,20250212,000000,0.29,0.29,0.29,0.29,351,0
ALDFW.US,D,20250213,000000,0.25,0.25,0.25,0.25,443,0
