<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALSAF.US,D,20220121,000000,9.82,9.82,9.81,9.81,19485,0
ALSAF.US,D,20220124,000000,9.81,9.81,9.7736,9.81,75300,0
ALSAF.US,D,20220125,000000,9.81,9.81,9.7783,9.7783,6586,0
ALSAF.US,D,20220126,000000,9.8,9.81,9.8,9.8,17740,0
ALSAF.US,D,20220127,000000,9.8,9.82,9.7959,9.805,524633,0
ALSAF.US,D,20220128,000000,9.82,9.825,9.81,9.81,56658,0
ALSAF.US,D,20220131,000000,9.82,9.82,9.81,9.82,168502,0
ALSAF.US,D,20220201,000000,9.82,9.82,9.82,9.82,103,0
ALSAF.US,D,20220202,000000,9.8,9.82,9.8,9.82,42455,0
ALSAF.US,D,20220203,000000,9.81,9.82,9.8,9.8,296896,0
ALSAF.US,D,20220204,000000,9.82,9.85,9.82,9.84,420908,0
ALSAF.US,D,20220207,000000,9.85,9.85,9.85,9.85,180494,0
ALSAF.US,D,20220208,000000,9.83,9.85,9.83,9.83,161421,0
ALSAF.US,D,20220209,000000,9.84,9.85,9.83,9.83,11125,0
ALSAF.US,D,20220210,000000,9.84,9.84,9.82,9.82,123528,0
ALSAF.US,D,20220211,000000,9.83,9.84,9.81,9.81,349800,0
ALSAF.US,D,20220214,000000,9.81,9.84,9.81,9.83,143308,0
ALSAF.US,D,20220215,000000,9.84,9.84,9.82,9.82,86329,0
ALSAF.US,D,20220216,000000,9.83,9.83,9.83,9.83,64418,0
ALSAF.US,D,20220217,000000,9.83,9.84,9.83,9.83,3837,0
ALSAF.US,D,20220218,000000,9.84,9.84,9.83,9.83,2786,0
ALSAF.US,D,20220222,000000,9.84,9.84,9.84,9.84,3171,0
ALSAF.US,D,20220223,000000,9.85,9.85,9.83,9.84,19147,0
ALSAF.US,D,20220225,000000,9.85,9.85,9.85,9.85,2198,0
ALSAF.US,D,20220228,000000,9.85,9.85,9.8402,9.85,6468,0
ALSAF.US,D,20220301,000000,9.845,9.85,9.841,9.85,7113,0
ALSAF.US,D,20220302,000000,9.85,9.85,9.85,9.85,8031,0
