<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALSTF.US,D,20220121,000000,0.28,0.29,0.26,0.27,727055,0
ALSTF.US,D,20220124,000000,0.32,0.32,0.31,0.3199,1719657,0
ALSTF.US,D,20220125,000000,0.29,0.29,0.285,0.28505,25336,0
ALSTF.US,D,20220126,000000,0.3,0.301401,0.3,0.3,11400,0
ALSTF.US,D,20220127,000000,0.3,0.3,0.3,0.3,517,0
ALSTF.US,D,20220128,000000,0.3,0.3,0.29,0.29,101704,0
ALSTF.US,D,20220131,000000,0.29,0.29,0.2601,0.2601,33001,0
ALSTF.US,D,20220202,000000,0.26,0.26,0.26,0.26,12700,0
ALSTF.US,D,20220204,000000,0.2552,0.2552,0.24,0.24,172100,0
ALSTF.US,D,20220207,000000,0.2451,0.2594,0.2351,0.2352,180700,0
ALSTF.US,D,20220208,000000,0.2494,0.2494,0.24,0.24,77750,0
ALSTF.US,D,20220210,000000,0.24,0.24,0.24,0.24,27250,0
ALSTF.US,D,20220211,000000,0.2354,0.2694,0.2354,0.2694,29310,0
ALSTF.US,D,20220214,000000,0.25,0.25,0.2484,0.25,10020,0
ALSTF.US,D,20220215,000000,0.2451,0.2451,0.2451,0.2451,900,0
ALSTF.US,D,20220216,000000,0.2421,0.2421,0.24,0.24,40000,0
ALSTF.US,D,20220217,000000,0.24,0.247351,0.24,0.247351,25210,0
ALSTF.US,D,20220218,000000,0.24,0.2494,0.2353,0.2353,82620,0
ALSTF.US,D,20220222,000000,0.2351,0.238545,0.235,0.235,37132,0
ALSTF.US,D,20220223,000000,0.24,0.24,0.235,0.235,52600,0
ALSTF.US,D,20220224,000000,0.2307,0.2307,0.22,0.22,541405,0
ALSTF.US,D,20220225,000000,0.22,0.22,0.22,0.22,25000,0
ALSTF.US,D,20220228,000000,0.2294,0.24,0.2294,0.24,25000,0
ALSTF.US,D,20220301,000000,0.2106,0.2106,0.2,0.2,36500,0
ALSTF.US,D,20220302,000000,0.19,0.19,0.19,0.19,30000,0
ALSTF.US,D,20220307,000000,0.2,0.2,0.2,0.2,102500,0
ALSTF.US,D,20220308,000000,0.2,0.2,0.180101,0.180101,25120,0
ALSTF.US,D,20220309,000000,0.2,0.2013,0.2,0.2,153000,0
ALSTF.US,D,20220310,000000,0.198399,0.2,0.198399,0.2,4102,0
ALSTF.US,D,20220311,000000,0.2,0.2,0.2,0.2,12500,0
ALSTF.US,D,20220314,000000,0.2,0.2,0.1994,0.2,14600,0
ALSTF.US,D,20220315,000000,0.19,0.19,0.19,0.19,25000,0
