<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMLIF.US,D,20230111,000000,3,3.14,2.96,3.08,825322,0
AMLIF.US,D,20230112,000000,3.13,3.16,2.94,3.12,502834,0
AMLIF.US,D,20230113,000000,3.15,3.35,3.07,3.31,860298,0
AMLIF.US,D,20230117,000000,3.17,3.29,3.1138,3.25,566478,0
AMLIF.US,D,20230118,000000,3.28,3.3,3.1,3.14,620495,0
AMLIF.US,D,20230119,000000,3.03,3.03,2.8136,2.99,782534,0
AMLIF.US,D,20230120,000000,3.06,3.15,3.01,3.1,523753,0
AMLIF.US,D,20230123,000000,3.13,3.13,3.0101,3.05,391232,0
AMLIF.US,D,20230124,000000,3.2,3.56,3.16,3.54,1885590,0
AMLIF.US,D,20230125,000000,3.58,3.6597,3.34,3.57,1427999,0
AMLIF.US,D,20230126,000000,3.65,3.83,3.51,3.57,1199505,0
AMLIF.US,D,20230127,000000,3.58,3.61,3.48,3.58,520310,0
AMLIF.US,D,20230130,000000,3.58,3.61,3.37,3.54,628169,0
AMLIF.US,D,20230131,000000,3.6,3.61,3.3438,3.52,913451,0
AMLIF.US,D,20230201,000000,3.66,3.76,3.5,3.64,920155,0
AMLIF.US,D,20230202,000000,3.68,3.69,3.51,3.55,709792,0
AMLIF.US,D,20230203,000000,3.5,3.59,3.4,3.46,476679,0
AMLIF.US,D,20230206,000000,3.37,3.37,3.13,3.15,936337,0
AMLIF.US,D,20230207,000000,3.25,3.52,3.19,3.48,706481,0
AMLIF.US,D,20230208,000000,3.53,3.58,3.49,3.52,576499,0
AMLIF.US,D,20230209,000000,3.56,3.6,3.49,3.5,387961,0
AMLIF.US,D,20230210,000000,3.49,3.49,3.36,3.46,380359,0
AMLIF.US,D,20230213,000000,3.43,3.44,3.25,3.26,447379,0
AMLIF.US,D,20230214,000000,3.21,3.21,3.09,3.17,522849,0
AMLIF.US,D,20230215,000000,3.11,3.13,3.052,3.07,479010,0
AMLIF.US,D,20230216,000000,3.11,3.22,3.06,3.15,303130,0
AMLIF.US,D,20230217,000000,3.13,3.17,3,3.16,353474,0
AMLIF.US,D,20230221,000000,3.17,3.2,3.09,3.14,513057,0
AMLIF.US,D,20230222,000000,3.11,3.17,3,3.02,468054,0
AMLIF.US,D,20230223,000000,3.02,3.0455,2.67,2.9,1175357,0
AMLIF.US,D,20230224,000000,2.62,2.6987,2.62,2.63,612395,0
AMLIF.US,D,20230227,000000,2.66,2.8674,2.66,2.79,623885,0
AMLIF.US,D,20230228,000000,2.84,2.88,2.7787,2.82,253618,0
AMLIF.US,D,20230301,000000,2.89,2.89,2.78,2.86,299925,0
AMLIF.US,D,20230302,000000,2.85,2.92,2.75,2.89,436821,0
AMLIF.US,D,20230303,000000,2.91,3,2.8658,3,386422,0
AMLIF.US,D,20230306,000000,2.98,3.02,2.85,2.88,365508,0
AMLIF.US,D,20230307,000000,2.84,2.9,2.7342,2.75,263102,0
AMLIF.US,D,20230308,000000,2.75,2.7959,2.64,2.64,312869,0
AMLIF.US,D,20230309,000000,2.6,2.63,2.42,2.44,816284,0
AMLIF.US,D,20230310,000000,2.4,2.48,2.35,2.38,552695,0
AMLIF.US,D,20230313,000000,2.35,2.37,2.1415,2.33,670694,0
AMLIF.US,D,20230314,000000,2.44,2.61,2.42,2.48,503838,0
AMLIF.US,D,20230315,000000,2.43,2.43,2.27,2.36,446757,0
AMLIF.US,D,20230316,000000,2.39,2.45,2.25,2.45,425586,0
AMLIF.US,D,20230317,000000,2.33,2.39,2.28,2.39,452841,0
AMLIF.US,D,20230320,000000,2.27,2.32,2.24,2.28,296445,0
AMLIF.US,D,20230321,000000,2.31,2.45,2.3,2.44,335696,0
AMLIF.US,D,20230322,000000,2.44,2.455,2.29,2.29,259564,0
AMLIF.US,D,20230323,000000,2.35,2.4,2.3,2.33,267061,0
AMLIF.US,D,20230324,000000,2.26,2.37,2.25,2.31,322745,0
AMLIF.US,D,20230327,000000,2.39,2.39,2.29,2.33,273859,0
AMLIF.US,D,20230328,000000,2.37,2.45,2.3099,2.38,483373,0
AMLIF.US,D,20230329,000000,2.39,2.42,2.31,2.34,386730,0
AMLIF.US,D,20230330,000000,2.37,2.38,2.265,2.3,332255,0
AMLIF.US,D,20230331,000000,2.3,2.315,2.21,2.31,391751,0
AMLIF.US,D,20230403,000000,2.3,2.3,2.2,2.21,387383,0
AMLIF.US,D,20230404,000000,2.2,2.21,2.045,2.12,542926,0
AMLIF.US,D,20230405,000000,2.04,2.05,1.95,2.03,922854,0
AMLIF.US,D,20230406,000000,1.97,2.02,1.93,2.01,365439,0
AMLIF.US,D,20230410,000000,1.98,2.08,1.96,2.05,253854,0
AMLIF.US,D,20230411,000000,2.06,2.2499,2.0579,2.23,312606,0
AMLIF.US,D,20230412,000000,2.35,2.41,2.3001,2.4,420096,0
AMLIF.US,D,20230413,000000,2.45,2.49,2.39,2.49,314127,0
AMLIF.US,D,20230414,000000,2.46,2.48,2.32,2.36,354996,0
AMLIF.US,D,20230417,000000,2.31,2.32,2.22,2.29,340131,0
AMLIF.US,D,20230418,000000,2.3,2.32,2.24,2.25,156772,0
AMLIF.US,D,20230419,000000,2.26,2.26,2.16,2.23,268595,0
AMLIF.US,D,20230420,000000,2.19,2.24,2.17,2.2,153709,0
AMLIF.US,D,20230421,000000,2.16,2.1795,2.13,2.17,176879,0
AMLIF.US,D,20230424,000000,2.16,2.18,2.09,2.09,262542,0
AMLIF.US,D,20230425,000000,2.1,2.12,2.05,2.11,431446,0
AMLIF.US,D,20230426,000000,2.09,2.1,2.01,2.03,278895,0
AMLIF.US,D,20230427,000000,2,2.12,1.98,2.05,308319,0
AMLIF.US,D,20230428,000000,2.02,2.13,2.01,2.12,220891,0
AMLIF.US,D,20230501,000000,2.1,2.16,2.1,2.11,168080,0
AMLIF.US,D,20230502,000000,2.09,2.1,2.02,2.03,261344,0
AMLIF.US,D,20230503,000000,2.02,2.11,2.01,2.01,217706,0
AMLIF.US,D,20230504,000000,2.01,2.085,2,2.05,237780,0
AMLIF.US,D,20230505,000000,2.07,2.11,2.01,2.1,229990,0
AMLIF.US,D,20230508,000000,2.14,2.15,2.0606,2.15,241573,0
AMLIF.US,D,20230509,000000,2.1,2.1,2.05,2.08,205064,0
AMLIF.US,D,20230510,000000,2.09,2.3,2.09,2.21,580172,0
AMLIF.US,D,20230511,000000,2.22,2.29,2.13,2.15,350010,0
AMLIF.US,D,20230512,000000,2.15,2.19,2.08,2.13,237505,0
AMLIF.US,D,20230515,000000,2.15,2.16,2.095,2.11,288073,0
AMLIF.US,D,20230516,000000,2.08,2.13,2.05,2.08,121852,0
AMLIF.US,D,20230517,000000,2.08,2.1,2.03,2.1,182658,0
AMLIF.US,D,20230518,000000,2.1,2.1,2.03,2.08,179574,0
AMLIF.US,D,20230519,000000,2.08,2.08,2.03,2.05,174334,0
AMLIF.US,D,20230522,000000,2.02,2.15,2.02,2.15,350449,0
AMLIF.US,D,20230523,000000,2.1,2.1447,2.07,2.08,242110,0
AMLIF.US,D,20230524,000000,2.05,2.08,2.03,2.05,137168,0
AMLIF.US,D,20230525,000000,2.05,2.05,1.94,1.94,470116,0
AMLIF.US,D,20230526,000000,1.98,1.995,1.95,1.96,242815,0
AMLIF.US,D,20230530,000000,1.95,1.95,1.84,1.86,560366,0
AMLIF.US,D,20230531,000000,1.85,1.875,1.78,1.84,311302,0
AMLIF.US,D,20230601,000000,1.84,2,1.8,1.99,301488,0
AMLIF.US,D,20230602,000000,2,2.01,1.915,1.98,310247,0
AMLIF.US,D,20230605,000000,1.96,2,1.93,1.98,221226,0
AMLIF.US,D,20230606,000000,1.95,1.97,1.92,1.93,167857,0
AMLIF.US,D,20230607,000000,1.93,2.01,1.93,2,240888,0
AMLIF.US,D,20230608,000000,1.99,1.99,1.94,1.94,272878,0
AMLIF.US,D,20230609,000000,1.96,1.96,1.88,1.91,305146,0
AMLIF.US,D,20230612,000000,2,2.225,1.97,2.22,1966630,0
AMLIF.US,D,20230613,000000,2.27,2.325,2.14,2.22,1310898,0
AMLIF.US,D,20230614,000000,2.22,2.25,2.08,2.12,798819,0
AMLIF.US,D,20230615,000000,2.09,2.12,1.98,2.08,886268,0
AMLIF.US,D,20230616,000000,2.1,2.18,2.027,2.18,1262654,0
AMLIF.US,D,20230620,000000,2.17,2.23,2.1,2.2,1176363,0
AMLIF.US,D,20230621,000000,2.19,2.22,2.08,2.15,521858,0
AMLIF.US,D,20230622,000000,2.12,2.14,2.07,2.13,299490,0
AMLIF.US,D,20230623,000000,2.09,2.09,2.02,2.04,269426,0
AMLIF.US,D,20230626,000000,2.075,2.11,2.02,2.02,431872,0
AMLIF.US,D,20230627,000000,1.99,2.095,1.93,2.06,1192359,0
AMLIF.US,D,20230628,000000,2.03,2.05,2,2.05,265073,0
AMLIF.US,D,20230629,000000,2.06,2.06,1.97,2,442532,0
AMLIF.US,D,20230630,000000,1.99,2.035,1.96,2.01,465572,0
AMLIF.US,D,20230703,000000,1.99,2.06,1.99,2.02,302195,0
AMLIF.US,D,20230705,000000,2,2.04,2,2.01,348447,0
AMLIF.US,D,20230706,000000,2,2.03,1.93,1.95,353362,0
AMLIF.US,D,20230707,000000,1.95,2.02,1.94,1.99,277932,0
AMLIF.US,D,20230710,000000,1.96,2.01,1.96,1.98,343522,0
AMLIF.US,D,20230711,000000,1.98,2,1.95,1.97,324651,0
AMLIF.US,D,20230712,000000,2.01,2.08,2,2.06,559594,0
AMLIF.US,D,20230713,000000,2.08,2.18,2.06,2.17,846812,0
AMLIF.US,D,20230714,000000,2.14,2.14,2.02,2.02,570499,0
AMLIF.US,D,20230717,000000,2.05,2.07,2.02,2.07,296528,0
AMLIF.US,D,20230718,000000,2.05,2.08,2.03,2.08,284503,0
AMLIF.US,D,20230719,000000,2.05,2.0575,2.03,2.05,326756,0
AMLIF.US,D,20230720,000000,2.03,2.0393,1.99,2.02,314216,0
AMLIF.US,D,20230721,000000,2.02,2.05,1.98,2.03,437234,0
AMLIF.US,D,20230724,000000,2.02,2.05,1.95,1.99,553379,0
AMLIF.US,D,20230725,000000,2,2,1.945,1.96,598636,0
AMLIF.US,D,20230726,000000,1.99,1.99,1.94,1.96,288915,0
AMLIF.US,D,20230727,000000,1.96,1.97,1.8531,1.88,804196,0
AMLIF.US,D,20230728,000000,1.89,1.93,1.87,1.92,336909,0
AMLIF.US,D,20230731,000000,1.9,1.93,1.88,1.91,589724,0
AMLIF.US,D,20230801,000000,1.87,1.915,1.85,1.86,442477,0
AMLIF.US,D,20230802,000000,1.85,1.85,1.725,1.79,977375,0
AMLIF.US,D,20230803,000000,1.74,1.77,1.71,1.74,539207,0
AMLIF.US,D,20230804,000000,1.74,1.79,1.73,1.74,362989,0
AMLIF.US,D,20230807,000000,1.75,1.7591,1.6801,1.71,431413,0
AMLIF.US,D,20230808,000000,1.69,1.71,1.47,1.52,1660573,0
AMLIF.US,D,20230809,000000,1.51,1.5109,1.42,1.43,624934,0
AMLIF.US,D,20230810,000000,1.38,1.41,1.305,1.33,1577787,0
AMLIF.US,D,20230811,000000,1.23,1.32,1.14,1.31,2185298,0
AMLIF.US,D,20230814,000000,1.26,1.3,1.2,1.26,815846,0
AMLIF.US,D,20230815,000000,1.23,1.31,1.22,1.28,719779,0
AMLIF.US,D,20230816,000000,1.28,1.3,1.23,1.23,476865,0
AMLIF.US,D,20230817,000000,1.26,1.26,1.2,1.2,467632,0
AMLIF.US,D,20230818,000000,1.21,1.26,1.2,1.24,544223,0
AMLIF.US,D,20230821,000000,1.25,1.28,1.24,1.26,373920,0
