<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMODU.US,D,20240916,000000,10.16,11.19,10.16,11.19,300,0
AMODU.US,D,20240917,000000,11.2,11.2,11.2,11.2,100,0
AMODU.US,D,20240919,000000,11.2,11.31,11.2,11.31,4969,0
AMODU.US,D,20240925,000000,11.5,11.5,11.5,11.5,100,0
AMODU.US,D,20241003,000000,11.52,12.1,11.52,12,1175,0
AMODU.US,D,20241004,000000,11.61,11.61,11.4,11.4,320,0
AMODU.US,D,20241007,000000,11.29,11.4,11.29,11.4,759,0
AMODU.US,D,20241025,000000,10.09,11.25,10.09,11.25,700,0
AMODU.US,D,20241029,000000,11.15,11.15,11.15,11.15,200,0
AMODU.US,D,20241030,000000,11.1,11.17,11.1,11.17,340,0
AMODU.US,D,20241031,000000,12.28,12.28,12.28,12.28,100,0
AMODU.US,D,20241101,000000,11.09,11.09,11.09,11.09,100,0
AMODU.US,D,20241104,000000,9.7,9.7,9.59,9.59,251,0
AMODU.US,D,20241105,000000,9.28,9.28,9.28,9.28,254,0
AMODU.US,D,20241107,000000,9.16,9.2,9.16,9.2,301,0
AMODU.US,D,20241118,000000,8.91,8.91,8.91,8.91,227,0
AMODU.US,D,20241122,000000,10.74,10.74,10.74,10.74,200,0
AMODU.US,D,20241209,000000,11.3,11.3,11.3,11.3,282,0
AMODU.US,D,20241210,000000,11.35,13.78,11.35,12.61,11213,0
AMODU.US,D,20241211,000000,12.51,13.28,10.63,11.9,14925,0
AMODU.US,D,20241212,000000,11.08,15.28,10.8,12,11436,0
AMODU.US,D,20241213,000000,11.75,13.65,10.9,11.13,20924,0
