<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASMG.US,D,20250115,000000,15.42,15.68,14.9129,14.9129,2346,0
ASMG.US,D,20250116,000000,16.28,16.77,15.899,15.92,31076,0
ASMG.US,D,20250117,000000,16.4,16.4,15.979,16.15,15359,0
ASMG.US,D,20250121,000000,16.409,16.57,16.24,16.44,9926,0
ASMG.US,D,20250122,000000,17.1,17.265,16.59,16.59,15481,0
ASMG.US,D,20250123,000000,15.47,15.8,15.05,15.71,29388,0
ASMG.US,D,20250124,000000,15.7,15.7,15.01,15.1,22004,0
ASMG.US,D,20250127,000000,12.64,13.36,12.64,13.36,71395,0
ASMG.US,D,20250128,000000,12.91,13.449,12.35,13.1,100610,0
ASMG.US,D,20250129,000000,14.76,14.76,13.89,14.1625,220523,0
ASMG.US,D,20250130,000000,15.29,15.44,14.93,15.16,77250,0
ASMG.US,D,20250131,000000,15.59,15.87,15.171,15.24,43264,0
ASMG.US,D,20250203,000000,14.37,15.05,14.3404,14.91,37671,0
ASMG.US,D,20250204,000000,15.17,15.3,14.88,14.91,19586,0
ASMG.US,D,20250205,000000,14.8,15.35,14.54,15.35,76072,0
ASMG.US,D,20250206,000000,15.16,15.31,15.06,15.22,28751,0
ASMG.US,D,20250207,000000,15.16,15.281,14.59,14.74,46192,0
ASMG.US,D,20250210,000000,15.06,15.4284,15.06,15.39,20108,0
ASMG.US,D,20250211,000000,15.45,15.81,15.43,15.81,26910,0
ASMG.US,D,20250212,000000,15.1,15.9261,15.1,15.9,141748,0
ASMG.US,D,20250213,000000,15.93,16.76,15.86,16.711,37656,0
