<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASPC.US,D,20250106,000000,9.96,9.97,9.9591,9.97,463347,0
ASPC.US,D,20250107,000000,9.97,9.97,9.97,9.97,309,0
ASPC.US,D,20250108,000000,9.97,9.97,9.97,9.97,120525,0
ASPC.US,D,20250110,000000,9.98,9.98,9.98,9.98,391,0
ASPC.US,D,20250114,000000,9.98,9.98,9.97,9.98,102207,0
ASPC.US,D,20250115,000000,9.98,9.98,9.98,9.98,2403,0
ASPC.US,D,20250116,000000,9.98,9.98,9.98,9.98,142336,0
ASPC.US,D,20250123,000000,10,10,9.99,9.99,2324,0
ASPC.US,D,20250124,000000,9.985,9.99,9.985,9.99,4051,0
ASPC.US,D,20250127,000000,9.99,9.99,9.985,9.99,1724,0
ASPC.US,D,20250128,000000,9.99,9.99,9.98,9.98,55809,0
ASPC.US,D,20250130,000000,9.99,9.99,9.99,9.99,34109,0
ASPC.US,D,20250131,000000,9.985,9.99,9.985,9.99,133967,0
ASPC.US,D,20250204,000000,10,10,10,10,6200,0
ASPC.US,D,20250207,000000,10,10.01,9.99,9.99,174921,0
ASPC.US,D,20250210,000000,10.02,10.02,10.02,10.02,9016,0
ASPC.US,D,20250213,000000,10.51,10.51,9.99,9.99,618,0
