<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATLN.US,D,20241212,000000,5.85,6.3424,5.4001,5.929,6388,0
ATLN.US,D,20241213,000000,5.8898,5.8898,5.38,5.87,3340,0
ATLN.US,D,20241216,000000,5.5111,5.755,4.95,5.4,8514,0
ATLN.US,D,20241217,000000,4.9401,5.3499,4.9401,5.3299,1169,0
ATLN.US,D,20241218,000000,4.8143,5.32,4.8143,5.32,793,0
ATLN.US,D,20241220,000000,5.09,5.1199,4.26,5.1199,13018,0
ATLN.US,D,20241223,000000,4.96,4.96,4.53,4.64,2103,0
ATLN.US,D,20241224,000000,4.2374,4.8,4.18,4.8,2882,0
ATLN.US,D,20241226,000000,4.45,4.88,4.01,4.88,6003,0
ATLN.US,D,20241227,000000,4.88,4.88,4.21,4.5,2664,0
ATLN.US,D,20241230,000000,4.42,4.7,4.1,4.635,8438,0
ATLN.US,D,20241231,000000,4.88,4.88,4.8736,4.88,740,0
ATLN.US,D,20250102,000000,4.52,7.97,4.2,5.94,124822,0
ATLN.US,D,20250103,000000,6.2,7.44,4.8001,5.59,103285,0
ATLN.US,D,20250106,000000,5.01,7.3,4.875,6.55,79296,0
ATLN.US,D,20250107,000000,6.59,6.59,5.64,5.85,10858,0
ATLN.US,D,20250108,000000,6.15,6.15,5.55,6.03,7104,0
ATLN.US,D,20250110,000000,5.82,5.88,4.53,5.475,74176,0
ATLN.US,D,20250113,000000,5.97,5.98,4.42,4.55,98917,0
ATLN.US,D,20250114,000000,4.85,5.29,4.54,4.672,25785,0
ATLN.US,D,20250115,000000,4.85,5.14,4.4,4.5,38647,0
ATLN.US,D,20250116,000000,4.63,5.4,4.63,5.1,23835,0
ATLN.US,D,20250117,000000,5.25,5.65,4.7,5.65,34548,0
ATLN.US,D,20250121,000000,5.85,5.85,5.11,5.57,25441,0
ATLN.US,D,20250122,000000,5.7,6.25,5.35,5.74,34849,0
ATLN.US,D,20250123,000000,5.84,5.84,5.225,5.67,3246,0
ATLN.US,D,20250124,000000,5.475,5.475,4.3006,4.31,85941,0
ATLN.US,D,20250127,000000,4.53,4.53,4.0139,4.37,22916,0
ATLN.US,D,20250128,000000,4.06,5.05,4.06,4.26,34715,0
ATLN.US,D,20250129,000000,4.088,4.4214,4.088,4.194,5225,0
ATLN.US,D,20250130,000000,4.2,4.4034,4,4.145,5702,0
ATLN.US,D,20250131,000000,4.27,4.43,4.062,4.33,19193,0
ATLN.US,D,20250203,000000,4.2,4.2232,4,4.21,7385,0
ATLN.US,D,20250204,000000,4.1,4.25,3.45,3.53,23846,0
ATLN.US,D,20250205,000000,3.6188,3.727,3.17,3.43,3439,0
ATLN.US,D,20250206,000000,3.338,3.48,3.2275,3.345,3488,0
ATLN.US,D,20250207,000000,3.04,3.24,3,3,8381,0
ATLN.US,D,20250210,000000,3,3.28,2.9,3.28,16057,0
ATLN.US,D,20250211,000000,3.3,3.57,3.23,3.23,10611,0
ATLN.US,D,20250212,000000,3.34,3.44,3.01,3.13,11254,0
ATLN.US,D,20250213,000000,3,3.29,2.95,2.95,15831,0
