<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUGX.US,D,20211026,000000,3.5,3.7173,3.21,3.5,1517300,0
AUGX.US,D,20211027,000000,3.3,3.55,3.15,3.55,613247,0
AUGX.US,D,20211028,000000,3.55,3.73,3.4,3.63,330122,0
AUGX.US,D,20211029,000000,3.78,3.88,3.6,3.75,253087,0
AUGX.US,D,20211101,000000,3.85,3.94,3.75,3.91,321973,0
AUGX.US,D,20211102,000000,3.94,3.95,3.82,3.86,221928,0
AUGX.US,D,20211103,000000,3.99,3.99,3.75,3.8,207015,0
AUGX.US,D,20211104,000000,3.95,3.95,3.68,3.71,209241,0
AUGX.US,D,20211105,000000,3.95,3.98,3.52,3.8,350849,0
AUGX.US,D,20211108,000000,3.95,4,3.8697,4,292222,0
AUGX.US,D,20211109,000000,4,4.03,3.84,4,224079,0
AUGX.US,D,20211110,000000,3.99,3.99,3.65,3.8,243132,0
AUGX.US,D,20211111,000000,3.79,4,3.7,3.99,138849,0
AUGX.US,D,20211112,000000,3.94,4.03,3.9386,4.02,133013,0
AUGX.US,D,20211115,000000,4.04,4.08,3.9399,4.08,86900,0
AUGX.US,D,20211116,000000,4.08,4.08,3.97,4.03,104697,0
AUGX.US,D,20211117,000000,3.95,4.05,3.95,4.02,89890,0
AUGX.US,D,20211118,000000,4.04,4.04,3.8,4,165818,0
AUGX.US,D,20211119,000000,3.88,3.8921,3.71,3.83,275125,0
AUGX.US,D,20211122,000000,3.81,3.81,3.21,3.3,136597,0
AUGX.US,D,20211123,000000,3.3,3.3,2.84,2.9,146451,0
AUGX.US,D,20211124,000000,3.2,3.51,3.2,3.45,151506,0
AUGX.US,D,20211126,000000,3.57,3.6,3.45,3.6,50077,0
AUGX.US,D,20211129,000000,3.75,3.79,3.5,3.67,62223,0
AUGX.US,D,20211130,000000,3.62,3.7,3.32,3.59,61864,0
AUGX.US,D,20211201,000000,3.16,3.69,3.16,3.3,107690,0
AUGX.US,D,20211202,000000,3.26,3.6,3.2,3.48,40527,0
AUGX.US,D,20211203,000000,3.71,3.7199,3.21,3.46,67995,0
AUGX.US,D,20211206,000000,3.51,3.8999,3.48,3.8,194149,0
AUGX.US,D,20211207,000000,3.8,3.8313,3.6201,3.8,49407,0
AUGX.US,D,20211208,000000,3.81,3.81,3.6,3.69,73015,0
AUGX.US,D,20211209,000000,3.69,3.805,3.5,3.75,40601,0
AUGX.US,D,20211210,000000,3.73,3.8,3.55,3.58,35356,0
AUGX.US,D,20211213,000000,3.67,3.8,3.29,3.45,99703,0
AUGX.US,D,20211214,000000,3.41,3.69,3.41,3.5,114673,0
AUGX.US,D,20211215,000000,3.79,3.79,3.34,3.5,158441,0
AUGX.US,D,20211216,000000,3.49,3.65,3.42,3.5,202081,0
AUGX.US,D,20211217,000000,3.5,3.77,3.34,3.57,856698,0
AUGX.US,D,20211220,000000,3.52,3.64,3.41,3.64,154870,0
AUGX.US,D,20211221,000000,3.64,3.65,3.44,3.58,184849,0
AUGX.US,D,20211222,000000,3.6,3.65,3.27,3.4,261376,0
AUGX.US,D,20211223,000000,3.38,3.55,3.2637,3.49,122797,0
AUGX.US,D,20211227,000000,3.48,3.6,3.29,3.37,110365,0
AUGX.US,D,20211228,000000,3.3,3.38,3.12,3.32,148420,0
AUGX.US,D,20211229,000000,3.18,3.3389,3.11,3.16,112275,0
AUGX.US,D,20211230,000000,3.15,3.15,3.02,3.07,74264,0
AUGX.US,D,20211231,000000,3,3.15,2.96,3.15,90321,0
AUGX.US,D,20220103,000000,3.21,3.32,3.15,3.24,17083,0
AUGX.US,D,20220104,000000,3.55,3.55,3.13,3.19,18318,0
AUGX.US,D,20220105,000000,3.15,3.22,3.04,3.08,15757,0
AUGX.US,D,20220106,000000,3.16,3.28,3.06,3.23,51443,0
AUGX.US,D,20220107,000000,3.1417,3.25,3.1417,3.16,10252,0
