<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUUD.US,D,20210218,000000,85,85.0025,72.75,74.75,16430.12,0
AUUD.US,D,20210219,000000,77.75,78,69,76.75,10370.84,0
AUUD.US,D,20210222,000000,76.25,87.5,72.5,76.25,24720.44,0
AUUD.US,D,20210223,000000,72,80.25,70.25,77.75,11984.2,0
AUUD.US,D,20210224,000000,76.25,95,75.375,89.75,19505.28,0
AUUD.US,D,20210225,000000,94.25,96.25,85.25,92,27720.48,0
AUUD.US,D,20210226,000000,90.25,114,85.5,86.75,257001.56,0
AUUD.US,D,20210301,000000,85,89.4975,81.505,81.7525,22737.52,0
AUUD.US,D,20210302,000000,83,86.5,81.5,85,13945.24,0
AUUD.US,D,20210303,000000,85,91.9975,81.25,81.25,16497.16,0
AUUD.US,D,20210304,000000,81,81,67.875,70,10813.4,0
AUUD.US,D,20210305,000000,71.5,74.75,62.5,74,12297.72,0
AUUD.US,D,20210308,000000,74,75.7475,72.25,72.25,2985.32,0
AUUD.US,D,20210309,000000,74,77,69.25,70.25,5304.24,0
AUUD.US,D,20210310,000000,73.25,79.75,71.5025,78,6256.2,0
AUUD.US,D,20210311,000000,78,78.0025,74.75,74.75,2717.36,0
AUUD.US,D,20210312,000000,75.5,79.2,73.0125,78.355,5448.44,0
AUUD.US,D,20210315,000000,80,81.5,77.25,79,10883.32,0
AUUD.US,D,20210316,000000,80.75,82.25,76.25,78.25,5621.68,0
AUUD.US,D,20210317,000000,78.5,78.75,75,78,1765.72,0
AUUD.US,D,20210318,000000,78.25,88,77.5,80,14320.84,0
AUUD.US,D,20210319,000000,80.75,84,80,82.75,4022.92,0
AUUD.US,D,20210322,000000,83.5,83.5,79,79.5,2222.48,0
AUUD.US,D,20210323,000000,81,81,76.2525,77,2057.84,0
AUUD.US,D,20210324,000000,76.75,85.75,75.6325,82.75,7631.88,0
AUUD.US,D,20210325,000000,80.75,80.75,76.5025,79,2727.56,0
AUUD.US,D,20210326,000000,78.5,81,77.2525,78,925.96,0
AUUD.US,D,20210329,000000,77.25,77.7525,70,74,2727.12,0
AUUD.US,D,20210330,000000,74.25,75.625,72.14,72.5025,858.04,0
AUUD.US,D,20210331,000000,72.75,82.5,71.625,78.25,6394.56,0
AUUD.US,D,20210401,000000,78.5,80.5575,78.5,80.25,969.04,0
AUUD.US,D,20210405,000000,81,81,75.5,79.5,1101.96,0
AUUD.US,D,20210406,000000,80.5,80.5,76.25,77,967.28,0
AUUD.US,D,20210407,000000,76.955,77.5,75,75.87,1010,0
