<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVS.US,D,20241030,000000,26.2814,26.2814,26.2814,26.2814,6,0
AVS.US,D,20241031,000000,27.2774,27.2774,27.2774,27.2774,1,0
AVS.US,D,20241104,000000,27.55,27.55,27.55,27.55,78,0
AVS.US,D,20241105,000000,26.89,26.89,26.6733,26.6733,241,0
AVS.US,D,20241106,000000,26.28,26.28,25.8146,25.8146,276,0
AVS.US,D,20241107,000000,25.2159,25.2159,25.2159,25.2159,33,0
AVS.US,D,20241108,000000,25.45,25.45,25.255,25.255,130,0
AVS.US,D,20241111,000000,25.92,25.9234,25.92,25.9234,171,0
AVS.US,D,20241114,000000,27.09,27.26,27.09,27.22,327,0
AVS.US,D,20241119,000000,28.01,28.0274,28.01,28.0274,453,0
AVS.US,D,20241210,000000,26.27,27.0824,26.27,26.9303,957,0
AVS.US,D,20241211,000000,25.7,25.7117,24.91,25.1634,4880,0
AVS.US,D,20241212,000000,25.45,25.69,25.15,25.1637,37269,0
AVS.US,D,20241213,000000,20.81,20.93,18.6,19.06,902359,0
AVS.US,D,20241216,000000,18.62,18.62,16.85,16.9834,1131672,0
AVS.US,D,20241217,000000,17.56,18.07,17.5204,17.64,374751,0
AVS.US,D,20241218,000000,17.71,19.15,17.7045,18.92,178311,0
AVS.US,D,20241219,000000,18.54,19.36,18.54,19.31,130163,0
AVS.US,D,20241220,000000,19.09,19.23,18.29,19.1318,416905,0
AVS.US,D,20241223,000000,18.57,18.6,17.945,17.99,143218,0
AVS.US,D,20241224,000000,17.41,17.76,17.3904,17.45,115117,0
AVS.US,D,20241226,000000,17.43,17.55,16.9169,17.03,65656,0
AVS.US,D,20241227,000000,17.05,17.65,17.05,17.29,316323,0
AVS.US,D,20241230,000000,17.82,18.03,17.54,17.7309,120694,0
AVS.US,D,20241231,000000,17.73,18.06,17.66,18.02,68006,0
AVS.US,D,20250102,000000,17.69,18.1495,17.45,18.0478,82750,0
AVS.US,D,20250103,000000,17.98,18.24,17.72,18.0246,82256,0
AVS.US,D,20250106,000000,17.66,17.891,17.34,17.7107,47030,0
AVS.US,D,20250107,000000,17.62,18.35,17.62,18.3,41135,0
AVS.US,D,20250108,000000,18.22,18.484,18.01,18.2359,74007,0
AVS.US,D,20250110,000000,18.42,18.84,18.42,18.6402,47821,0
AVS.US,D,20250113,000000,19,19,18.2499,18.58,178455,0
AVS.US,D,20250114,000000,18.4358,18.73,18.215,18.59,17405,0
AVS.US,D,20250115,000000,18.38,18.47,18.1729,18.3486,15794,0
AVS.US,D,20250116,000000,17.76,18.24,17.63,18.23,29156,0
AVS.US,D,20250117,000000,17.69,17.97,17.6,17.6225,33077,0
AVS.US,D,20250121,000000,17.3,17.59,17.25,17.39,35107,0
AVS.US,D,20250122,000000,16.93,17.38,16.93,17.38,50807,0
AVS.US,D,20250123,000000,17.61,17.61,17.41,17.41,18669,0
AVS.US,D,20250124,000000,17.12,17.25,16.83,17.125,27896,0
AVS.US,D,20250127,000000,19.39,20.4799,19.01,20.12,242722,0
AVS.US,D,20250128,000000,19.51,20.33,19.38,19.56,66275,0
AVS.US,D,20250129,000000,19.51,19.88,19.22,19.66,44065,0
AVS.US,D,20250130,000000,18.58,18.94,18.269,18.78,105304,0
AVS.US,D,20250131,000000,18.46,18.65,17.87,18.28,108369,0
AVS.US,D,20250203,000000,18.88,18.88,18.3657,18.62,34024,0
AVS.US,D,20250204,000000,18.53,18.61,18.19,18.19,27931,0
AVS.US,D,20250205,000000,17.581,17.71,16.99,17.4,77614,0
AVS.US,D,20250206,000000,17.26,17.6871,17.26,17.49,36856,0
AVS.US,D,20250207,000000,17.2155,18.03,17.2155,17.97,16738,0
AVS.US,D,20250210,000000,17.74,17.74,17.15,17.18,20023,0
AVS.US,D,20250211,000000,17.47,17.47,16.99,17.19,11815,0
AVS.US,D,20250212,000000,17.57,17.57,17.0901,17.1,12243,0
AVS.US,D,20250213,000000,17.17,17.425,17.17,17.19,17738,0
