<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AY.US,D,20140613,000000,22.3753,24.3602,22.2717,23.5455,24276754.840229,0
AY.US,D,20140616,000000,23.5455,23.8522,22.9781,23.2388,2674886.3149809,0
AY.US,D,20140617,000000,23.2081,23.4189,22.6159,23.2273,1727140.7358886,0
AY.US,D,20140618,000000,22.7826,23.5455,22.6847,23.4812,753991.82409333,0
AY.US,D,20140619,000000,23.3854,23.903,23.278,23.7725,780023.27550863,0
AY.US,D,20140620,000000,23.9902,25.8418,23.7802,25.4536,1672130.2660113,0
AY.US,D,20140623,000000,25.4536,25.4536,24.3198,24.96,825144.52752093,0
AY.US,D,20140624,000000,24.411,24.8825,23.9154,24.4357,481091.98119077,0
AY.US,D,20140625,000000,24.225,24.8048,23.2331,24.3275,449575.44660218,0
AY.US,D,20140626,000000,24.2757,24.5633,23.8436,24.2834,416025.35159801,0
AY.US,D,20140627,000000,24.1426,24.3419,23.8742,24.225,410716.60075425,0
AY.US,D,20140630,000000,24.384,24.4723,23.6614,24.0688,324747.80810073,0
AY.US,D,20140701,000000,24.1819,24.2624,23.6853,23.7918,1458645.0276778,0
AY.US,D,20140702,000000,23.7371,24.0688,23.2655,23.7371,640361.81020965,0
AY.US,D,20140703,000000,23.9595,24.245,23.5502,23.717,514549.21479064,0
AY.US,D,20140707,000000,23.8646,24.0218,23.6547,23.7918,1492995.4001775,0
AY.US,D,20140708,000000,24.2154,24.8048,23.7036,23.8005,1049194.0548272,0
AY.US,D,20140709,000000,23.8369,23.8693,23.6681,23.7869,338293.05249023,0
AY.US,D,20140710,000000,23.8302,23.8646,23.6345,23.8148,562932.09320578,0
AY.US,D,20140711,000000,23.9595,23.9902,23.7802,23.8369,349777.60841344,0
AY.US,D,20140714,000000,23.9854,25.1661,23.8962,24.5835,1718189.5225457,0
AY.US,D,20140715,000000,24.685,25.1105,24.3332,24.96,1754652.7528399,0
AY.US,D,20140716,000000,25.2504,25.8092,25.1806,25.6981,1172322.0166138,0
AY.US,D,20140717,000000,25.6981,25.8649,25.4412,25.5381,468016.26075562,0
AY.US,D,20140718,000000,25.4287,25.5581,25.3242,25.3913,302530.97796781,0
AY.US,D,20140721,000000,25.2112,25.7517,25.2016,25.651,535604.75567649,0
AY.US,D,20140722,000000,26.0277,26.0775,25.123,25.2581,670263.1823953,0
AY.US,D,20140723,000000,25.2361,25.5822,24.6332,25.3205,492885.37953729,0
AY.US,D,20140724,000000,25.1623,25.8006,25.1623,25.4977,472549.77538144,0
AY.US,D,20140725,000000,25.6003,25.8973,25.2016,25.3242,1625512.7976645,0
AY.US,D,20140728,000000,25.4536,25.561,24.7234,25.0338,300868.86316944,0
AY.US,D,20140729,000000,24.8316,24.8316,24.3093,24.7348,545803.85935137,0
AY.US,D,20140730,000000,24.8182,24.8182,23.855,24.0735,715646.32443547,0
AY.US,D,20140731,000000,23.9959,24.156,22.7308,23.024,1157014.4923158,0
AY.US,D,20140801,000000,22.6234,23.1583,22.6234,22.9972,602650.68958344,0
AY.US,D,20140804,000000,23.1516,23.3173,22.9283,23.2273,291100.67814599,0
AY.US,D,20140805,000000,22.9781,23.1189,22.6608,23.0174,345705.27064944,0
AY.US,D,20140806,000000,22.9781,23.211,21.8279,22.2257,428020.12355161,0
AY.US,D,20140807,000000,22.2717,22.5726,21.5529,21.967,786584.09023064,0
AY.US,D,20140808,000000,21.8989,22.9781,21.7177,22.5852,529245.31456156,0
AY.US,D,20140811,000000,22.5468,22.7308,22.3416,22.449,209903.29225515,0
AY.US,D,20140812,000000,22.495,22.7921,22.472,22.5468,499053.88091078,0
AY.US,D,20140813,000000,23.3298,24.2384,23.165,23.601,1059997.2793233,0
AY.US,D,20140814,000000,23.717,23.717,23.165,23.3547,275054.4361597,0
AY.US,D,20140815,000000,23.6221,23.7918,23.2598,23.3298,153658.4960712,0
AY.US,D,20140818,000000,23.5761,23.8522,23.2331,23.8005,398088.49315557,0
AY.US,D,20140819,000000,23.903,24.1819,23.4764,23.488,238125.8554574,0
AY.US,D,20140820,000000,23.488,24.502,23.488,24.1426,202707.05511493,0
AY.US,D,20140821,000000,24.3198,24.6736,23.5502,23.7448,299057.54409225,0
AY.US,D,20140822,000000,23.8962,24.8249,23.8436,24.478,194255.62393677,0
AY.US,D,20140825,000000,24.6897,24.8048,24.2154,24.2911,435073.41673239,0
AY.US,D,20140826,000000,24.4665,24.939,24.3332,24.5633,411354.10994559,0
AY.US,D,20140827,000000,24.755,24.8124,24.4357,24.6256,236474.17452468,0
AY.US,D,20140828,000000,24.7483,24.9026,24.5259,24.778,318696.16602254,0
AY.US,D,20140829,000000,24.9419,25.6194,24.6256,25.5255,221681.03980319,0
AY.US,D,20140902,000000,25.4536,25.4536,24.411,24.7608,406594.18043512,0
AY.US,D,20140903,000000,24.9677,25.7517,24.5681,25.5178,346622.40744026,0
AY.US,D,20140904,000000,25.4154,25.4737,24.3534,24.6456,537169.83552429,0
AY.US,D,20140905,000000,24.6591,25.218,24.3228,24.5566,330886.05126383,0
AY.US,D,20140908,000000,24.4578,24.5633,24.0468,24.2834,377843.66363089,0
AY.US,D,20140909,000000,24.27,24.3151,23.5876,24.0112,336740.4932812,0
AY.US,D,20140910,000000,24.1166,24.2834,23.8436,24.1119,79601.00444607,0
AY.US,D,20140911,000000,24.4128,25.1575,23.7554,23.9595,266508.05680411,0
AY.US,D,20140912,000000,23.7285,24.4856,23.7285,23.9662,312238.64657048,0
AY.US,D,20140915,000000,23.8646,24.2384,23.2598,23.3796,387118.326809,0
AY.US,D,20140916,000000,23.4812,23.903,23.1055,23.6403,517475.91410604,0
AY.US,D,20140917,000000,23.5262,24.1684,23.5262,23.8234,516526.43233171,0
AY.US,D,20140918,000000,23.7869,24.0735,23.0538,23.4286,766788.96031557,0
AY.US,D,20140919,000000,23.5761,24.1751,23.3615,23.9796,979998.74459586,0
AY.US,D,20140922,000000,23.7448,24.7415,22.9157,23.1008,672390.64760176,0
AY.US,D,20140923,000000,23.0739,24.8249,23.0739,23.6969,677105.71148992,0
AY.US,D,20140924,000000,23.8195,24.755,23.2157,23.4438,984212.98293272,0
AY.US,D,20140925,000000,23.4611,23.6643,22.2784,22.4443,1354956.4009874,0
AY.US,D,20140926,000000,22.6426,23.4189,22.5238,23.1516,990848.92148743,0
AY.US,D,20140929,000000,22.9618,22.9618,22.2544,22.6483,856546.28958735,0
AY.US,D,20140930,000000,22.6847,22.9915,22.4298,22.6426,6327283.9409861,0
AY.US,D,20141001,000000,22.5726,22.7557,21.0822,21.5798,1424645.2330641,0
AY.US,D,20141002,000000,21.7177,21.8902,20.2187,20.9922,1488545.3564769,0
AY.US,D,20141003,000000,21.2558,21.7839,20.5302,21.6429,852719.14766617,0
AY.US,D,20141006,000000,20.8552,21.7331,19.8939,21.2596,417297.239821,0
AY.US,D,20141007,000000,21.2491,21.2491,20.5428,20.7584,608198.37595064,0
AY.US,D,20141008,000000,20.7785,21.1667,20.5829,20.7382,781517.40507,0
AY.US,D,20141009,000000,20.7315,20.9318,19.8345,19.9437,883639.90852603,0
AY.US,D,20141010,000000,19.8575,20.5322,19.1023,19.8268,1127574.2969919,0
AY.US,D,20141013,000000,19.7607,20.3702,19.6112,19.684,562619.07723621,0
AY.US,D,20141014,000000,19.9169,20.193,19.1176,19.1933,573505.77265756,0
AY.US,D,20141015,000000,18.945,19.3006,18.2244,18.9729,1166682.512229,0
AY.US,D,20141016,000000,18.6633,19.9006,18.6633,19.6773,635923.24376127,0
AY.US,D,20141017,000000,20.0846,20.9558,20.0846,20.2351,711059.59709482,0
AY.US,D,20141020,000000,20.2532,20.6175,19.8488,20.0559,486710.6178444,0
AY.US,D,20141021,000000,20.1449,21.4447,20.1449,20.6808,657188.50534671,0
AY.US,D,20141022,000000,20.7152,20.881,20.028,20.2888,407187.86739072,0
AY.US,D,20141023,000000,20.4651,21.46,20.2888,20.7823,445474.93740092,0
AY.US,D,20141024,000000,21.2338,21.2999,20.5351,20.8274,194363.09275299,0
AY.US,D,20141027,000000,20.6626,21.0201,20.0913,20.8753,402774.34221991,0
AY.US,D,20141028,000000,20.9079,21.2596,20.5455,21.0966,504881.19487745,0
AY.US,D,20141029,000000,21.1984,21.2672,20.3473,21.0966,259778.21345853,0
AY.US,D,20141030,000000,21.0565,21.274,20.4268,20.9683,506385.75830448,0
AY.US,D,20141031,000000,21.5711,21.6353,20.6424,20.6808,674113.27882091,0
AY.US,D,20141103,000000,20.7641,21.5328,20.4919,21.4714,552307.28781229,0
AY.US,D,20141104,000000,21.46,21.6239,19.5038,19.8671,1265306.5405319,0
AY.US,D,20141105,000000,19.8719,20.188,19.4434,20.0645,1807484.6315691,0
AY.US,D,20141106,000000,20.0462,20.79,19.73,20.6692,768624.27728376,0
AY.US,D,20141107,000000,20.9079,20.9079,20.2983,20.6175,556031.13446351,0
AY.US,D,20141110,000000,20.7085,20.879,20.375,20.7708,810426.51663215,0
AY.US,D,20141111,000000,20.3673,20.6951,19.912,20.2532,542950.19709553,0
AY.US,D,20141112,000000,20.2475,20.6424,19.7655,20.5983,635799.08076001,0
AY.US,D,20141113,000000,20.5302,20.5302,16.7425,19.0649,2266161.5391796,0
AY.US,D,20141114,000000,14.8977,17.2985,13.3641,17.0973,9695898.1588271,0
AY.US,D,20141117,000000,17.9454,18.7083,17.4998,17.7365,2218137.5857428,0
AY.US,D,20141118,000000,18.0279,18.2463,17.6588,17.8994,2226661.010594,0
AY.US,D,20141119,000000,17.9598,18.6431,17.724,18.3968,652689.42247756,0
AY.US,D,20141120,000000,18.4036,18.5118,18.1343,18.2828,430700.58363762,0
AY.US,D,20141121,000000,18.6077,18.7601,18.1419,18.5377,554402.40803523,0
AY.US,D,20141124,000000,18.5309,18.8042,18.4437,18.5683,437508.68097559,0
AY.US,D,20141125,000000,18.7141,19.1492,18.5349,19.0668,249156.53822474,0
AY.US,D,20141126,000000,19.0879,19.2297,18.9009,19.1492,257355.46985412,0
AY.US,D,20141128,000000,18.67,19.1492,17.9627,18.1294,530061.24285555,0
AY.US,D,20141201,000000,18.0643,18.3345,16.4858,16.6305,2439809.235067,0
AY.US,D,20141202,000000,16.7972,18.2463,16.6189,17.8246,2000405.764089,0
AY.US,D,20141203,000000,17.9167,17.9742,17.3704,17.793,1381618.0578881,0
AY.US,D,20141204,000000,17.7384,18.7849,17.5592,17.7384,993323.8344201,0
AY.US,D,20141205,000000,18.0987,18.4514,17.7182,18.1294,1159633.3925944,0
AY.US,D,20141208,000000,18.1294,18.2846,17.4029,17.4221,1348551.0508636,0
AY.US,D,20141209,000000,17.2486,17.4624,16.7866,17.3972,799822.57896996,0
AY.US,D,20141210,000000,17.2812,17.5966,17.1461,17.3253,864777.56620025,0
