<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAYAU.US,D,20231218,000000,10.06,10.09,10.06,10.09,159641,0
BAYAU.US,D,20231219,000000,10.09,10.1,10.06,10.1,28811,0
BAYAU.US,D,20231220,000000,10.1,10.11,10.09,10.1,55038,0
BAYAU.US,D,20231221,000000,10.0986,10.1,10.0986,10.1,35031,0
BAYAU.US,D,20231222,000000,10.06,10.1,10.06,10.06,44390,0
BAYAU.US,D,20231226,000000,10.0671,10.0671,10.0671,10.0671,132,0
BAYAU.US,D,20231227,000000,10.07,10.07,10.06,10.06,28300,0
BAYAU.US,D,20231228,000000,10.1,10.11,10.0981,10.1,59631,0
BAYAU.US,D,20231229,000000,10.12,10.12,10.1057,10.12,38968,0
BAYAU.US,D,20240102,000000,10.13,10.13,10.13,10.13,4023,0
BAYAU.US,D,20240103,000000,10.13,10.14,10.13,10.13,77280,0
BAYAU.US,D,20240104,000000,10.13,10.15,10.13,10.15,23649,0
BAYAU.US,D,20240109,000000,10.16,10.19,10.16,10.19,28010,0
BAYAU.US,D,20240110,000000,10.2,10.2,10.2,10.2,800,0
BAYAU.US,D,20240112,000000,10.21,10.42,10.21,10.42,300,0
BAYAU.US,D,20240118,000000,10.205,10.21,10.2,10.2,6604,0
BAYAU.US,D,20240123,000000,10.2,10.2,10.195,10.2,6439,0
BAYAU.US,D,20240125,000000,10.2,10.21,10.2,10.21,2616,0
BAYAU.US,D,20240202,000000,10.23,10.23,10.23,10.23,100,0
BAYAU.US,D,20240205,000000,10.23,10.23,10.23,10.23,100,0
BAYAU.US,D,20240206,000000,10.23,10.23,10.23,10.23,125,0
BAYAU.US,D,20240207,000000,10.23,10.23,10.23,10.23,1195,0
BAYAU.US,D,20240208,000000,10.23,10.3,10.23,10.3,2535,0
BAYAU.US,D,20240209,000000,10.3,10.3,10.3,10.3,101,0
BAYAU.US,D,20240212,000000,10.23,10.23,10.23,10.23,747,0
BAYAU.US,D,20240214,000000,10.265,10.2951,10.265,10.2951,774,0
BAYAU.US,D,20240215,000000,10.23,10.29,10.23,10.29,1317,0
BAYAU.US,D,20240220,000000,10.23,10.27,10.23,10.27,456,0
BAYAU.US,D,20240222,000000,10.28,10.28,10.28,10.28,2457,0
BAYAU.US,D,20240223,000000,10.23,10.28,10.23,10.28,6577,0
BAYAU.US,D,20240226,000000,10.28,10.28,10.23,10.23,4177,0
BAYAU.US,D,20240227,000000,10.24,10.63,10.23,10.62,1727,0
BAYAU.US,D,20240228,000000,10.62,10.62,10.61,10.61,697,0
BAYAU.US,D,20240307,000000,10.26,10.26,10.26,10.26,100,0
BAYAU.US,D,20240308,000000,10.3,10.3,10.3,10.3,100,0
BAYAU.US,D,20240311,000000,10.3,10.3,10.28,10.28,355,0
BAYAU.US,D,20240312,000000,10.2,10.26,10.2,10.26,6000,0
BAYAU.US,D,20240314,000000,10.1,10.3,10.1,10.3,1600,0
BAYAU.US,D,20240318,000000,10.29,10.3,10.29,10.3,1591,0
BAYAU.US,D,20240320,000000,10.3,10.3,10.3,10.3,26507,0
BAYAU.US,D,20240326,000000,10.19,10.19,10.19,10.19,138,0
BAYAU.US,D,20240401,000000,10.18,10.18,10.18,10.18,205,0
BAYAU.US,D,20240402,000000,10.19,10.19,10.19,10.19,3803,0
BAYAU.US,D,20240404,000000,10.2376,10.2376,10.2376,10.2376,2500,0
BAYAU.US,D,20240409,000000,10.25,10.28,10.25,10.28,3862,0
BAYAU.US,D,20240411,000000,10.3,10.3,10.3,10.3,300,0
BAYAU.US,D,20240415,000000,10.25,10.25,10.25,10.25,2000,0
BAYAU.US,D,20240423,000000,10.27,10.27,10.27,10.27,101,0
BAYAU.US,D,20240424,000000,10.27,10.27,10.27,10.27,100,0
BAYAU.US,D,20240425,000000,10.29,10.29,10.29,10.29,100,0
BAYAU.US,D,20240426,000000,10.31,11.5,10.27,10.27,1963,0
BAYAU.US,D,20240507,000000,10.36,10.36,10.36,10.36,100,0
BAYAU.US,D,20240508,000000,10.32,10.32,10.32,10.32,100,0
BAYAU.US,D,20240509,000000,10.33,10.33,10.33,10.33,100,0
BAYAU.US,D,20240510,000000,10.33,10.33,10.33,10.33,100,0
BAYAU.US,D,20240513,000000,10.27,10.27,10.27,10.27,100,0
BAYAU.US,D,20240514,000000,10.28,10.28,10.28,10.28,100,0
BAYAU.US,D,20240515,000000,10.28,10.28,10.28,10.28,100,0
BAYAU.US,D,20240516,000000,10.29,10.29,10.29,10.29,100,0
BAYAU.US,D,20240517,000000,10.45,11.5,10.45,11.39,3552,0
BAYAU.US,D,20240530,000000,10.41,10.41,10.41,10.41,200,0
BAYAU.US,D,20240607,000000,10.35,10.35,10.35,10.35,102,0
BAYAU.US,D,20240610,000000,10.35,10.35,10.35,10.35,103,0
BAYAU.US,D,20240611,000000,10.35,10.35,10.35,10.35,150,0
BAYAU.US,D,20240612,000000,10.35,10.35,10.35,10.35,100,0
BAYAU.US,D,20240613,000000,10.35,10.35,10.35,10.35,100,0
BAYAU.US,D,20240614,000000,10.35,10.35,10.35,10.35,100,0
BAYAU.US,D,20240617,000000,10.36,10.36,10.36,10.36,100,0
BAYAU.US,D,20240618,000000,10.32,10.32,10.32,10.32,820,0
BAYAU.US,D,20240625,000000,10.42,10.42,10.42,10.42,101,0
BAYAU.US,D,20240703,000000,10.43,10.43,10.43,10.43,102,0
BAYAU.US,D,20240712,000000,10.44,10.44,10.44,10.44,100,0
BAYAU.US,D,20240716,000000,10.46,10.46,10.46,10.46,100,0
BAYAU.US,D,20240722,000000,10.46,10.46,10.46,10.46,100,0
BAYAU.US,D,20240723,000000,10.46,10.46,10.46,10.46,100,0
BAYAU.US,D,20240724,000000,10.46,10.46,10.46,10.46,100,0
BAYAU.US,D,20240725,000000,10.47,10.47,10.47,10.47,100,0
BAYAU.US,D,20240726,000000,10.47,10.47,10.47,10.47,100,0
BAYAU.US,D,20240729,000000,10.45,10.47,10.45,10.47,624,0
BAYAU.US,D,20240805,000000,10.49,10.49,10.49,10.49,129,0
BAYAU.US,D,20240813,000000,10.6,10.6,10.48,10.48,301,0
BAYAU.US,D,20240816,000000,10.6,10.6,10.51,10.51,400,0
BAYAU.US,D,20240821,000000,10.6,10.6,10.52,10.52,200,0
BAYAU.US,D,20240830,000000,10.51,10.51,10.51,10.51,100,0
BAYAU.US,D,20240903,000000,10.52,10.52,10.52,10.52,100,0
BAYAU.US,D,20240904,000000,10.51,10.51,10.51,10.51,100,0
BAYAU.US,D,20240905,000000,10.51,10.51,10.44,10.45,270200,0
BAYAU.US,D,20240906,000000,10.43,10.43,10.43,10.43,150,0
BAYAU.US,D,20240918,000000,10.31,10.55,10.31,10.51,1300,0
BAYAU.US,D,20240920,000000,10.69,10.9,10.69,10.9,401,0
BAYAU.US,D,20241106,000000,10.9,11.1,10.79,10.8,6401,0
BAYAU.US,D,20241108,000000,10.71,10.75,10.7,10.75,2600,0
BAYAU.US,D,20241113,000000,10.7,10.8,10.7,10.8,4078,0
BAYAU.US,D,20241206,000000,11.1,11.1,11.1,11.1,100,0
BAYAU.US,D,20241217,000000,10.91,10.91,10.91,10.91,100,0
BAYAU.US,D,20250108,000000,10.81,10.81,10.81,10.81,206,0
BAYAU.US,D,20250123,000000,11.03,11.03,10.81,10.99,3853,0
BAYAU.US,D,20250124,000000,10.91,10.91,10.9,10.902,701,0
BAYAU.US,D,20250127,000000,10.98,11,10.98,11,200,0
BAYAU.US,D,20250128,000000,10.82,10.82,10.82,10.82,111,0
