<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCSAU.US,D,20240416,000000,11.23,11.23,11.23,11.23,200,0
BCSAU.US,D,20240419,000000,11.24,11.24,11.24,11.24,165,0
BCSAU.US,D,20240422,000000,10.86,10.86,10.86,10.86,107,0
BCSAU.US,D,20240424,000000,11.15,11.15,11.15,11.15,116,0
BCSAU.US,D,20240425,000000,11.25,11.25,11.25,11.25,2707,0
BCSAU.US,D,20240426,000000,11.5,11.59,11.17,11.25,403906,0
BCSAU.US,D,20240429,000000,11.22,11.265,11.21,11.25,58666,0
BCSAU.US,D,20240430,000000,11.21,11.255,11.21,11.25,9942,0
BCSAU.US,D,20240501,000000,11.21,11.23,11.21,11.21,4206,0
BCSAU.US,D,20240502,000000,11.21,11.245,11.21,11.23,5380,0
BCSAU.US,D,20240503,000000,11.21,11.245,11.2,11.2,5974,0
BCSAU.US,D,20240506,000000,11.18,11.205,11.01,11.01,1843,0
BCSAU.US,D,20240507,000000,11.14,11.14,11.14,11.14,902,0
BCSAU.US,D,20240510,000000,11.14,11.2,11.14,11.2,1299,0
BCSAU.US,D,20240513,000000,11.12,11.12,11.12,11.12,357,0
BCSAU.US,D,20240514,000000,11.12,11.12,11.12,11.12,573,0
BCSAU.US,D,20240520,000000,11.12,11.19,11.12,11.12,3730,0
BCSAU.US,D,20240521,000000,11.12,11.12,11.12,11.12,668,0
BCSAU.US,D,20240524,000000,11.12,11.12,11.12,11.12,519,0
BCSAU.US,D,20240530,000000,11.12,11.12,11.12,11.12,197,0
BCSAU.US,D,20240531,000000,11.13,11.13,11.13,11.13,526,0
BCSAU.US,D,20240603,000000,11.13,11.13,11.13,11.13,806,0
BCSAU.US,D,20240604,000000,11.14,11.14,11.14,11.14,265,0
BCSAU.US,D,20240605,000000,11.1732,11.1732,11.13,11.13,666,0
BCSAU.US,D,20240607,000000,11.18,11.18,11.18,11.18,6840,0
BCSAU.US,D,20240613,000000,11.18,11.18,11.18,11.18,191,0
BCSAU.US,D,20240620,000000,11.12,11.12,11.12,11.12,538,0
BCSAU.US,D,20240624,000000,11.12,11.12,11.12,11.12,451,0
BCSAU.US,D,20240628,000000,11.18,11.18,11.18,11.18,1330,0
BCSAU.US,D,20240702,000000,11.15,11.15,11.15,11.15,160,0
BCSAU.US,D,20240724,000000,11.15,11.15,11.15,11.15,403,0
BCSAU.US,D,20240801,000000,11.15,11.15,11.15,11.15,287,0
BCSAU.US,D,20240806,000000,11.22,11.22,11.22,11.22,1174,0
BCSAU.US,D,20240808,000000,11.21,11.22,11.21,11.22,1657,0
BCSAU.US,D,20240823,000000,11.21,11.21,11.21,11.21,533,0
BCSAU.US,D,20240826,000000,11.13,11.13,11.08,11.08,1589,0
BCSAU.US,D,20240827,000000,11.2,11.22,11.2,11.22,1004,0
BCSAU.US,D,20240830,000000,11,11,11,11,203,0
BCSAU.US,D,20240904,000000,11.21,11.21,11.21,11.21,372,0
BCSAU.US,D,20240905,000000,11.21,11.21,11.1,11.1,614,0
BCSAU.US,D,20240910,000000,11.13,11.19,11.13,11.19,1379,0
BCSAU.US,D,20240911,000000,11.13,11.13,11.13,11.13,608,0
BCSAU.US,D,20240923,000000,11.1,11.1,11.1,11.1,524,0
BCSAU.US,D,20240926,000000,11.24,11.24,11.24,11.24,205,0
BCSAU.US,D,20240927,000000,11.23,11.24,11.23,11.24,813,0
BCSAU.US,D,20241008,000000,11.45,11.45,11.45,11.45,520,0
BCSAU.US,D,20241015,000000,11.4499,11.45,11.4499,11.45,349,0
BCSAU.US,D,20241016,000000,10.9116,10.9116,10.9116,10.9116,269,0
BCSAU.US,D,20241022,000000,11.72,11.72,11.72,11.72,357,0
BCSAU.US,D,20241105,000000,11.4,11.4,11.4,11.4,413,0
BCSAU.US,D,20241108,000000,11.45,11.45,11.45,11.45,207,0
BCSAU.US,D,20241111,000000,11.54,11.6,11.54,11.56,1631,0
