<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDMDW.US,D,20241003,000000,0.062,0.08,0.0601,0.0601,14524,0
BDMDW.US,D,20241004,000000,0.0479,0.05,0.0404,0.0407,18934,0
BDMDW.US,D,20241008,000000,0.0401,0.06,0.0376,0.0404,194638,0
BDMDW.US,D,20241009,000000,0.0498,0.06,0.0405,0.0406,10139,0
BDMDW.US,D,20241010,000000,0.0569,0.06,0.0405,0.041,34915,0
BDMDW.US,D,20241014,000000,0.0406,0.0523,0.0351,0.0351,5728,0
BDMDW.US,D,20241015,000000,0.0375,0.0375,0.0257,0.0276,113428,0
BDMDW.US,D,20241024,000000,0.0311,0.0311,0.0311,0.0311,18100,0
BDMDW.US,D,20241028,000000,0.0311,0.0311,0.0311,0.0311,11675,0
BDMDW.US,D,20241030,000000,0.0397,0.0484,0.0397,0.0397,2834,0
BDMDW.US,D,20241031,000000,0.048,0.048,0.048,0.048,190,0
BDMDW.US,D,20241104,000000,0.04835,0.04835,0.0336,0.0336,3041,0
BDMDW.US,D,20241106,000000,0.031,0.031,0.0275,0.0275,11223,0
BDMDW.US,D,20241107,000000,0.0275,0.0275,0.0254,0.0254,18721,0
BDMDW.US,D,20241108,000000,0.0254,0.0254,0.0254,0.0254,100,0
BDMDW.US,D,20241114,000000,0.0261,0.0261,0.0261,0.0261,328,0
BDMDW.US,D,20241118,000000,0.0262,0.0262,0.0262,0.0262,702,0
BDMDW.US,D,20241121,000000,0.0266,0.03,0.0265,0.03,36561,0
BDMDW.US,D,20241125,000000,0.0266,0.0394,0.0266,0.0394,577,0
BDMDW.US,D,20241129,000000,0.0301,0.0301,0.0266,0.0266,7507,0
BDMDW.US,D,20241202,000000,0.0271,0.0271,0.0212,0.0212,65345,0
BDMDW.US,D,20241204,000000,0.0471,0.0475,0.0332,0.0332,2304,0
BDMDW.US,D,20241210,000000,0.0328,0.0328,0.0326,0.0326,1102,0
BDMDW.US,D,20241211,000000,0.0388,0.0474,0.0358,0.0403,4000,0
BDMDW.US,D,20241212,000000,0.03,0.03,0.0204,0.0267,152700,0
BDMDW.US,D,20241216,000000,0.04,0.0438,0.0333,0.0333,23100,0
BDMDW.US,D,20241217,000000,0.021,0.03,0.0202,0.03,31947,0
BDMDW.US,D,20241218,000000,0.0202,0.0202,0.0202,0.0202,1750,0
BDMDW.US,D,20241220,000000,0.036641,0.0399,0.03,0.03,5527,0
BDMDW.US,D,20241224,000000,0.0465,0.05,0.0397,0.0397,2700,0
BDMDW.US,D,20241226,000000,0.0351,0.045,0.0351,0.04,17355,0
BDMDW.US,D,20241227,000000,0.037,0.037,0.037,0.037,750,0
BDMDW.US,D,20241231,000000,0.0495,0.3199,0.0307,0.205,2230370,0
BDMDW.US,D,20250102,000000,0.1111,0.16,0.1111,0.14,158356,0
BDMDW.US,D,20250103,000000,0.1325,0.1998,0.12,0.121,227662,0
BDMDW.US,D,20250106,000000,0.14,0.1799,0.1216,0.122,323329,0
BDMDW.US,D,20250107,000000,0.1231,0.14,0.1075,0.1176,41783,0
BDMDW.US,D,20250108,000000,0.1198,0.12,0.0899,0.0901,360863,0
BDMDW.US,D,20250110,000000,0.104,0.12,0.0801,0.11,289031,0
BDMDW.US,D,20250113,000000,0.11,0.165,0.1099,0.1375,1071616,0
BDMDW.US,D,20250114,000000,0.13,0.14,0.091101,0.1,175510,0
BDMDW.US,D,20250115,000000,0.095,0.095,0.0767,0.086,26473,0
BDMDW.US,D,20250116,000000,0.0706,0.0999,0.07,0.08,45220,0
BDMDW.US,D,20250117,000000,0.072,0.151,0.07,0.13,344928,0
BDMDW.US,D,20250121,000000,0.1425,0.1425,0.1,0.100225,57979,0
BDMDW.US,D,20250122,000000,0.147976,0.147976,0.1001,0.1001,2104,0
BDMDW.US,D,20250123,000000,0.1,0.185,0.1,0.14,92047,0
BDMDW.US,D,20250124,000000,0.1625,0.1625,0.1016,0.1062,19338,0
BDMDW.US,D,20250127,000000,0.132499,0.14,0.1125,0.1125,11639,0
BDMDW.US,D,20250128,000000,0.1299,0.135,0.0906,0.128,17208,0
BDMDW.US,D,20250129,000000,0.1358,0.1358,0.0948,0.1205,227012,0
BDMDW.US,D,20250130,000000,0.135,0.135,0.111,0.111,3576,0
BDMDW.US,D,20250131,000000,0.1233,0.135,0.1233,0.1349,868,0
BDMDW.US,D,20250203,000000,0.1106,0.12,0.101,0.1106,6575,0
BDMDW.US,D,20250205,000000,0.1197,0.1245,0.1123,0.1125,3557,0
BDMDW.US,D,20250206,000000,0.1053,0.1053,0.1028,0.1031,460,0
BDMDW.US,D,20250207,000000,0.1027,0.1125,0.1027,0.105,1709,0
BDMDW.US,D,20250210,000000,0.103751,0.145,0.1025,0.1101,27467,0
BDMDW.US,D,20250211,000000,0.11,0.121301,0.11,0.113151,3519,0
BDMDW.US,D,20250212,000000,0.1003,0.1003,0.0901,0.1,36827,0
BDMDW.US,D,20250213,000000,0.12,0.13,0.0913,0.11,44082,0
