<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEEX.US,D,20241218,000000,23.24,23.24,22.6632,22.6632,965,0
BEEX.US,D,20241220,000000,22.41,22.98,22.41,22.8621,746,0
BEEX.US,D,20241223,000000,22.83,22.9197,22.83,22.9197,3321,0
BEEX.US,D,20241224,000000,23.06,23.0937,23.06,23.0937,234,0
BEEX.US,D,20241231,000000,22.66,22.67,22.636,22.636,957,0
BEEX.US,D,20250102,000000,22.6727,22.6727,22.51,22.57,3983,0
BEEX.US,D,20250107,000000,22.78,22.869,22.59,22.6424,2981,0
BEEX.US,D,20250108,000000,22.62,22.665,22.6,22.665,400,0
BEEX.US,D,20250110,000000,22.28,22.28,22.2092,22.2092,4531,0
BEEX.US,D,20250113,000000,22.3,22.3288,22.25,22.3288,458,0
BEEX.US,D,20250114,000000,22.36,22.4018,22.35,22.4018,357,0
BEEX.US,D,20250115,000000,22.61,22.67,22.61,22.67,1279,0
BEEX.US,D,20250116,000000,22.65,22.7,22.65,22.7,141,0
BEEX.US,D,20250117,000000,22.84,22.8401,22.7997,22.7997,355,0
BEEX.US,D,20250121,000000,23.1,23.1,23.09,23.09,190,0
BEEX.US,D,20250124,000000,23.39,23.39,23.38,23.3893,1360,0
BEEX.US,D,20250127,000000,23.36,23.3988,23.36,23.3988,112,0
BEEX.US,D,20250131,000000,23.28,23.3059,23.28,23.3059,2279,0
BEEX.US,D,20250205,000000,23.18,23.27,23.09,23.27,5645,0
BEEX.US,D,20250210,000000,23.09,23.185,23.09,23.185,80075,0
BEEX.US,D,20250213,000000,23.23,23.23,23.23,23.23,1103,0
