<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHAC.US,D,20211201,000000,9.75,9.8797,9.72,9.72,4494,0
BHAC.US,D,20211202,000000,9.7199,9.76,9.7199,9.75,41711,0
BHAC.US,D,20211206,000000,9.73,9.73,9.73,9.73,113,0
BHAC.US,D,20211208,000000,9.73,9.73,9.73,9.73,100,0
BHAC.US,D,20211210,000000,9.8,9.8,9.71,9.71,25226,0
BHAC.US,D,20211216,000000,9.75,9.75,9.72,9.74,16808,0
BHAC.US,D,20211217,000000,9.74,9.74,9.74,9.74,1000,0
BHAC.US,D,20211220,000000,9.75,9.75,9.75,9.75,10000,0
BHAC.US,D,20211221,000000,9.75,9.75,9.75,9.75,19601,0
BHAC.US,D,20211223,000000,9.7537,9.755,9.72,9.72,3577,0
BHAC.US,D,20211227,000000,9.76,9.7723,9.74,9.74,23788,0
BHAC.US,D,20211228,000000,9.82,9.82,9.77,9.8,40358,0
BHAC.US,D,20220105,000000,9.8,10.26,9.79,9.79,19562,0
BHAC.US,D,20220106,000000,9.8,9.8,9.8,9.8,604,0
BHAC.US,D,20220107,000000,9.79,9.8,9.74,9.8,135949,0
BHAC.US,D,20220110,000000,10.35,10.35,9.78,9.78,3346,0
BHAC.US,D,20220111,000000,9.81,9.81,9.77,9.77,742,0
BHAC.US,D,20220113,000000,9.76,9.76,9.76,9.76,301,0
BHAC.US,D,20220114,000000,10.16,10.16,9.74,9.74,15200,0
BHAC.US,D,20220118,000000,9.75,9.75,9.75,9.75,100,0
BHAC.US,D,20220126,000000,9.81,9.81,9.81,9.81,25240,0
BHAC.US,D,20220201,000000,9.94,9.94,9.94,9.94,4626,0
BHAC.US,D,20220203,000000,9.77,9.89,9.77,9.89,200,0
BHAC.US,D,20220211,000000,9.805,10.26,9.74,9.82,43470,0
BHAC.US,D,20220218,000000,9.81,9.81,9.81,9.81,200,0
BHAC.US,D,20220222,000000,9.8,9.8,9.8,9.8,1760,0
BHAC.US,D,20220224,000000,9.79,9.79,9.79,9.79,5971,0
BHAC.US,D,20220228,000000,9.78,9.79,9.78,9.79,20529,0
BHAC.US,D,20220307,000000,9.82,9.82,9.82,9.82,600,0
BHAC.US,D,20220311,000000,9.81,9.81,9.81,9.81,200,0
BHAC.US,D,20220314,000000,9.84,9.85,9.84,9.84,329623,0
BHAC.US,D,20220315,000000,9.83,9.84,9.83,9.84,34600,0
BHAC.US,D,20220316,000000,9.84,9.84,9.84,9.84,200,0
BHAC.US,D,20220318,000000,9.85,9.87,9.85,9.87,7121,0
BHAC.US,D,20220321,000000,9.84,9.84,9.84,9.84,5251,0
BHAC.US,D,20220322,000000,9.88,9.88,9.84,9.86,4343,0
BHAC.US,D,20220323,000000,9.84,9.84,9.84,9.84,70854,0
BHAC.US,D,20220324,000000,9.86,9.86,9.86,9.86,3364,0
BHAC.US,D,20220329,000000,9.84,9.84,9.84,9.84,200,0
BHAC.US,D,20220330,000000,9.85,9.85,9.85,9.85,19667,0
BHAC.US,D,20220404,000000,9.88,9.88,9.88,9.88,150,0
BHAC.US,D,20220406,000000,9.85,9.85,9.85,9.85,760217,0
BHAC.US,D,20220408,000000,9.84,9.84,9.84,9.84,510,0
BHAC.US,D,20220412,000000,9.84,9.84,9.84,9.84,800,0
BHAC.US,D,20220413,000000,9.84,9.84,9.84,9.84,310002,0
BHAC.US,D,20220421,000000,9.87,9.87,9.84,9.84,102675,0
BHAC.US,D,20220425,000000,9.92,9.92,9.92,9.92,247,0
BHAC.US,D,20220428,000000,9.87,9.87,9.87,9.87,250,0
BHAC.US,D,20220510,000000,9.85,9.85,9.85,9.85,25000,0
BHAC.US,D,20220512,000000,9.854,9.886,9.83,9.886,3632,0
BHAC.US,D,20220516,000000,9.83,9.83,9.83,9.83,2019,0
BHAC.US,D,20220523,000000,9.83,9.83,9.83,9.83,25000,0
BHAC.US,D,20220524,000000,9.83,9.83,9.83,9.83,1000,0
BHAC.US,D,20220531,000000,9.83,9.865,9.83,9.83,290683,0
BHAC.US,D,20220602,000000,9.85,9.85,9.85,9.85,223,0
BHAC.US,D,20220606,000000,10.35,10.35,9.88,9.88,501,0
BHAC.US,D,20220607,000000,10.35,10.35,9.9,9.9,408,0
BHAC.US,D,20220608,000000,9.85,9.85,9.85,9.85,7403,0
BHAC.US,D,20220609,000000,10.35,10.35,9.88,9.9,500,0
BHAC.US,D,20220610,000000,9.91,9.91,9.85,9.85,15799,0
BHAC.US,D,20220613,000000,10.1,10.1,10.1,10.1,303,0
BHAC.US,D,20220614,000000,9.84,9.84,9.84,9.84,1646,0
BHAC.US,D,20220615,000000,9.84,9.84,9.84,9.84,1132,0
BHAC.US,D,20220616,000000,9.85,9.85,9.85,9.85,872,0
BHAC.US,D,20220621,000000,9.86,9.86,9.86,9.86,229,0
BHAC.US,D,20220624,000000,10,10.4,9.84,9.86,631,0
