<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHACU.US,D,20240731,000000,11.24,12.435,11.24,11.8,15445,0
BHACU.US,D,20240801,000000,12.45,13.48,11.41,11.41,25820,0
BHACU.US,D,20240802,000000,11.02,11.6,10.57,10.77,8050,0
BHACU.US,D,20240805,000000,10.98,11.5,10.98,11.24,3177,0
BHACU.US,D,20240806,000000,11,13.7,11,12.83,14801,0
BHACU.US,D,20240807,000000,13.05,13.1,11.43,11.7,6136,0
BHACU.US,D,20240808,000000,11.2,11.2,11.2,11.2,403,0
BHACU.US,D,20240813,000000,11.77,11.88,11,11.2,1375,0
BHACU.US,D,20240821,000000,10.7,10.72,10.5,10.72,4087,0
BHACU.US,D,20240827,000000,10.61,10.61,10.61,10.61,255,0
BHACU.US,D,20240828,000000,10.61,10.61,10.61,10.61,453,0
BHACU.US,D,20240829,000000,10.69,10.69,10.65,10.65,462,0
BHACU.US,D,20240903,000000,10.69,10.74,10.69,10.74,498,0
BHACU.US,D,20240904,000000,10.74,10.74,10.74,10.74,142,0
BHACU.US,D,20240905,000000,10.6,10.6,10.58,10.58,1365,0
BHACU.US,D,20240924,000000,10.51,10.51,10.51,10.51,1080,0
BHACU.US,D,20241001,000000,10.46,10.46,10.46,10.46,176,0
BHACU.US,D,20241007,000000,10.48,10.48,10.46,10.46,402,0
BHACU.US,D,20241008,000000,10.63,10.63,10.63,10.63,338,0
