<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHAT.US,D,20190726,000000,44.9,62.5,41.065,45.8,175105.2,0
BHAT.US,D,20190729,000000,47.2,49,42,43.1,27637.3,0
BHAT.US,D,20190730,000000,42.7,43,39,39.7,16230.2,0
BHAT.US,D,20190731,000000,39,42.4,36.5,38.2,43854.6,0
BHAT.US,D,20190801,000000,38,40.2,36.9,37,16608.5,0
BHAT.US,D,20190802,000000,37.1,39.2,37,37,4995.9,0
BHAT.US,D,20190805,000000,37,48.5,36,47.5,16683.8,0
BHAT.US,D,20190806,000000,42.4,45,36.7,38.7,12853.6,0
BHAT.US,D,20190807,000000,38.5,39.9,37.8,38.2,6260.5,0
BHAT.US,D,20190808,000000,38.2,39.4,37.5,37.5,2541.5,0
BHAT.US,D,20190809,000000,37.5,42.4,37,39.7,17529.5,0
BHAT.US,D,20190812,000000,39.4,42.5,37.7,39.2,18321.7,0
BHAT.US,D,20190813,000000,38.9,41.4,37.6,38.057,9801.2,0
BHAT.US,D,20190814,000000,36.9,39.3,36.9,38.3,7296.2,0
BHAT.US,D,20190815,000000,38.9,38.9,33.1,35,12105.8,0
BHAT.US,D,20190816,000000,34.3,34.8,28.754,30.9,11134.6,0
BHAT.US,D,20190819,000000,28.316,31,27.1,28,7168.5,0
BHAT.US,D,20190820,000000,27.4,31.4,27.4,28.2,12352.7,0
BHAT.US,D,20190821,000000,28.5,30.5,25.8,29.1,13667.6,0
BHAT.US,D,20190822,000000,29.499,29.5,26,28.2,7595.8,0
BHAT.US,D,20190823,000000,28,28,24.701,26.6,10756.4,0
BHAT.US,D,20190826,000000,26.9,28.995,26.4,27.95,12329.4,0
BHAT.US,D,20190827,000000,30,31,26.1,27.3,11653.2,0
BHAT.US,D,20190828,000000,27.6,29.3,26.4,28.8,21709.6,0
BHAT.US,D,20190829,000000,30,30.1,27.197,29.8,14410.1,0
BHAT.US,D,20190830,000000,29.8,30.884,28.2,30.1,15072.9,0
BHAT.US,D,20190903,000000,30.1,30.5,27.2,27.4,13998.9,0
BHAT.US,D,20190904,000000,27.1,29.1,26.8,28.8,11567.7,0
BHAT.US,D,20190905,000000,29.1,29.5,26.1,26.8,9400.8,0
BHAT.US,D,20190906,000000,26.947,31,25.3,29.5,23350.9,0
BHAT.US,D,20190909,000000,29.8,31.9,27.2,31.9,22602.3,0
BHAT.US,D,20190910,000000,31.5,33,29.648,32.8,14593.4,0
BHAT.US,D,20190911,000000,33,33.6,30.7,32.2,19863.3,0
BHAT.US,D,20190912,000000,32.2,36.4,28.601,35.3,26426.2,0
BHAT.US,D,20190913,000000,35.5,37.5,33.1,37.3,17668.4,0
BHAT.US,D,20190916,000000,37.5,37.5,32.3,34.9,25172.6,0
BHAT.US,D,20190917,000000,29.2,35.2,29.2,33.5,16366.5,0
