<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHST.US,D,20241113,000000,5.73,6.67,5.73,5.96,35755,0
BHST.US,D,20241114,000000,6.49,6.72,5.85,5.85,26250,0
BHST.US,D,20241115,000000,5.95,6.4,5.915,6,38998,0
BHST.US,D,20241118,000000,6.01,6.7,6.01,6.3,15087,0
BHST.US,D,20241119,000000,6.3,6.38,6.18,6.22,11324,0
BHST.US,D,20241120,000000,5.85,6.45,5.85,6.4499,15348,0
BHST.US,D,20241121,000000,6.4,6.4,6,6.18,8848,0
BHST.US,D,20241122,000000,6.24,6.26,6.2,6.22,3645,0
BHST.US,D,20241125,000000,6.21,6.4,6.15,6.3,17557,0
BHST.US,D,20241126,000000,6.09,6.45,5.945,6.1818,17619,0
BHST.US,D,20241127,000000,6.5,6.5,6.0001,6.1756,5638,0
BHST.US,D,20241129,000000,6.39,6.39,6.15,6.15,3629,0
BHST.US,D,20241202,000000,6.8,6.8,6.0182,6.085,8256,0
BHST.US,D,20241203,000000,6.1,6.35,6.1,6.3,14755,0
BHST.US,D,20241204,000000,6.15,6.2487,6.07,6.13,7948,0
BHST.US,D,20241205,000000,6.35,6.35,5.91,5.97,17899,0
BHST.US,D,20241206,000000,6.15,6.2,6.0391,6.0488,5219,0
BHST.US,D,20241209,000000,6.06,6.45,6.0099,6.2269,11403,0
BHST.US,D,20241210,000000,6.84,6.84,6.11,6.28,6281,0
BHST.US,D,20241211,000000,6.274,6.36,6.12,6.2168,6409,0
BHST.US,D,20241212,000000,6.21,6.35,6.08,6.1501,17737,0
BHST.US,D,20241213,000000,6.12,6.37,6.1,6.15,9781,0
BHST.US,D,20241216,000000,6.25,6.8,6.0901,6.15,10140,0
BHST.US,D,20241217,000000,6.16,6.23,6.09,6.1899,7893,0
BHST.US,D,20241218,000000,6.23,6.85,6.1127,6.2,19196,0
BHST.US,D,20241219,000000,6.15,6.3369,6.0907,6.195,3630,0
BHST.US,D,20241220,000000,6.11,6.29,6.1001,6.29,1564,0
BHST.US,D,20241223,000000,6.2899,6.2899,6.1,6.2,2806,0
BHST.US,D,20241224,000000,6.14,6.18,6.1,6.1001,9071,0
BHST.US,D,20241226,000000,6.08,6.1,6.07,6.1,1171,0
BHST.US,D,20241227,000000,6.13,6.2,6.1,6.15,5907,0
BHST.US,D,20241230,000000,6.21,6.21,5.91,5.91,7418,0
BHST.US,D,20241231,000000,6.02,6.19,5.983,6.18,5660,0
BHST.US,D,20250102,000000,6.22,6.23,6.0498,6.1188,1398,0
BHST.US,D,20250103,000000,6.19,6.28,6.11,6.28,4280,0
BHST.US,D,20250106,000000,6.27,6.28,6.02,6.2,9674,0
BHST.US,D,20250107,000000,6.18,6.18,6.0601,6.17,2938,0
BHST.US,D,20250108,000000,6.1445,6.2,6.0607,6.15,3837,0
BHST.US,D,20250110,000000,6.25,6.25,6.1,6.1,3617,0
BHST.US,D,20250113,000000,6.05,6.17,5.9,6.0276,14866,0
BHST.US,D,20250114,000000,6.19,6.19,5.9686,5.9686,1764,0
BHST.US,D,20250115,000000,6,6,5.907,5.95,4489,0
BHST.US,D,20250116,000000,5.9,6,5.875,5.9,3841,0
BHST.US,D,20250117,000000,5.85,5.99,5.8287,5.8287,2571,0
BHST.US,D,20250121,000000,5.84,5.9,5.7,5.8024,10930,0
BHST.US,D,20250122,000000,5.71,5.71,5.55,5.55,5809,0
BHST.US,D,20250123,000000,5.57,5.6,5.24,5.25,2891,0
BHST.US,D,20250124,000000,5.42,5.43,5.2601,5.43,3590,0
BHST.US,D,20250127,000000,5.5,5.5,5.25,5.3851,5208,0
BHST.US,D,20250128,000000,5.2,5.2,5.0665,5.1288,5963,0
BHST.US,D,20250129,000000,5.05,5.0999,4.865,4.9515,7134,0
BHST.US,D,20250130,000000,5.05,5.19,5.05,5.19,4639,0
BHST.US,D,20250131,000000,5.19,5.19,4.7237,4.9613,10840,0
BHST.US,D,20250203,000000,4.97,4.9895,4.7287,4.9892,6351,0
BHST.US,D,20250204,000000,4.9767,5.6443,4.9767,5.6443,5473,0
BHST.US,D,20250205,000000,4.99,5.72,4.99,5.6988,9184,0
BHST.US,D,20250206,000000,5.71,5.71,5.4001,5.6783,3747,0
BHST.US,D,20250207,000000,5.51,5.9,5.51,5.7685,5536,0
BHST.US,D,20250210,000000,5.9,5.95,5.85,5.95,6767,0
BHST.US,D,20250211,000000,5.8,5.92,5.67,5.67,2258,0
BHST.US,D,20250212,000000,5.8356,5.8356,5.8208,5.8208,463,0
BHST.US,D,20250213,000000,5.82,5.82,5.58,5.6,737,0
