<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIMI.US,D,20050308,000000,7875,7875,7875,7875,0.1,0
BIMI.US,D,20050322,000000,9844,9844,9844,9844,0.1,0
BIMI.US,D,20050401,000000,9844,9844,9581,9581,0.3,0
BIMI.US,D,20050408,000000,9844,9844,9187.5,9187.5,0.1,0
BIMI.US,D,20050413,000000,9844,9844,9844,9844,0.8,0
BIMI.US,D,20050425,000000,9844,9844,5250,7875,0.8,0
BIMI.US,D,20050426,000000,9187.5,9187.5,5250,9187.5,0,0
BIMI.US,D,20050427,000000,9187.5,9187.5,5250,5250,1.6,0
BIMI.US,D,20050428,000000,6562.5,6562.5,5250,5250,1.5,0
BIMI.US,D,20050429,000000,5250,5512.5,4725,5512.5,2.2,0
BIMI.US,D,20050502,000000,5512.5,5906,5250,5250,1.8,0
BIMI.US,D,20050503,000000,5906,5906,5775,5775,1.6,0
BIMI.US,D,20050504,000000,5906,6300,5906,6169,1.9,0
BIMI.US,D,20050505,000000,6694,6694,5512.5,6694,1.1,0
BIMI.US,D,20050506,000000,6694,6694,6694,6694,0.4,0
BIMI.US,D,20050509,000000,7481,7875,7219,7875,0.9,0
BIMI.US,D,20050510,000000,7875,7875,7875,7875,0.3,0
BIMI.US,D,20050511,000000,8269,8269,6169,6169,0.3,0
BIMI.US,D,20050512,000000,6169,6562.5,6169,6562.5,0,0
BIMI.US,D,20050513,000000,6562.5,6956,6037.5,6037.5,1.9,0
BIMI.US,D,20050516,000000,6562.5,6562.5,6562.5,6562.5,0,0
BIMI.US,D,20050517,000000,5775,5775,5775,5775,0.1,0
BIMI.US,D,20050518,000000,5250,5250,4987.5,4987.5,0.1,0
BIMI.US,D,20050519,000000,5250,5250,5250,5250,0.1,0
BIMI.US,D,20050520,000000,5250,5250,5250,5250,0.1,0
BIMI.US,D,20050523,000000,5250,5250,4987.5,5119,2,0
BIMI.US,D,20050524,000000,5250,5906,4725,5814.5,7.2,0
BIMI.US,D,20050525,000000,6169,6169,4594,4594,2.8,0
BIMI.US,D,20050526,000000,4987.5,5250,4725,4751.5,9.3,0
