<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLNE.US,D,20140416,000000,1200,1200,1200,1200,2.75,0
BLNE.US,D,20140515,000000,420,420,420,420,2.1,0
BLNE.US,D,20140610,000000,456,456,456,456,444.15,0
BLNE.US,D,20140710,000000,696,696,696,696,0.85,0
BLNE.US,D,20140714,000000,780,780,780,780,4.15,0
BLNE.US,D,20140715,000000,900,900,900,900,1.65,0
BLNE.US,D,20140716,000000,900,900,900,900,1.9,0
BLNE.US,D,20140725,000000,900,900,900,900,0.85,0
BLNE.US,D,20140728,000000,960,960,960,960,2.1,0
BLNE.US,D,20140731,000000,900,900,900,900,3.9,0
BLNE.US,D,20140805,000000,780,780,780,780,0.25,0
BLNE.US,D,20140806,000000,720,720,720,720,2.9,0
BLNE.US,D,20140811,000000,804,804,804,804,0.85,0
BLNE.US,D,20140829,000000,720,720,720,720,0.85,0
BLNE.US,D,20140917,000000,780,780,780,780,16.25,0
BLNE.US,D,20140929,000000,660,660,660,660,1.65,0
BLNE.US,D,20141001,000000,552,552,552,552,2.1,0
BLNE.US,D,20141003,000000,540,540,540,540,8.35,0
BLNE.US,D,20141006,000000,480,480,480,480,0.85,0
BLNE.US,D,20141104,000000,504,504,504,504,2.1,0
BLNE.US,D,20141107,000000,481.2,481.2,481.2,481.2,62.5,0
BLNE.US,D,20141111,000000,480,480,480,480,954.15,0
BLNE.US,D,20141112,000000,600,600,600,600,277.5,0
BLNE.US,D,20141113,000000,600,600,600,600,123.6,0
BLNE.US,D,20141117,000000,600,600,600,600,1,0
BLNE.US,D,20141118,000000,720,720,720,720,9.3,0
BLNE.US,D,20141121,000000,696,696,696,696,2.5,0
BLNE.US,D,20141201,000000,684,684,684,684,0.1,0
BLNE.US,D,20141203,000000,720,720,720,720,0.85,0
BLNE.US,D,20141205,000000,960,960,960,960,1.65,0
BLNE.US,D,20141208,000000,960,960,960,960,0.85,0
BLNE.US,D,20141209,000000,1200,1200,1200,1200,0.1,0
BLNE.US,D,20141210,000000,1212,1212,1212,1212,1.25,0
BLNE.US,D,20141211,000000,1260,1260,1260,1260,0.1,0
BLNE.US,D,20141212,000000,1368,1368,1368,1368,0.6,0
BLNE.US,D,20141215,000000,1980,1980,1980,1980,2.3,0
BLNE.US,D,20141218,000000,2160,2160,2160,2160,0.9,0
BLNE.US,D,20141219,000000,2520,2520,2520,2520,2.3,0
BLNE.US,D,20141223,000000,2460,2460,2460,2460,1.35,0
BLNE.US,D,20150105,000000,2400,2400,2400,2400,0.4,0
BLNE.US,D,20150109,000000,2256,2256,2256,2256,0.4,0
BLNE.US,D,20150112,000000,2376,2376,2376,2376,0.4,0
BLNE.US,D,20150113,000000,2460,2460,2460,2460,0.4,0
BLNE.US,D,20150116,000000,2520,2520,2520,2520,0.3,0
BLNE.US,D,20150120,000000,2460,2460,2460,2460,1.8,0
BLNE.US,D,20150122,000000,2460,2460,2460,2460,3,0
BLNE.US,D,20150205,000000,2280,2280,2280,2280,7,0
BLNE.US,D,20150206,000000,2220,2220,2220,2220,3.5,0
BLNE.US,D,20150213,000000,2220,2220,2220,2220,2.25,0
BLNE.US,D,20150217,000000,2280,2280,2280,2280,0.2,0
BLNE.US,D,20150219,000000,2124,2124,2124,2124,0.1,0
BLNE.US,D,20150224,000000,2208,2208,2208,2208,1.05,0
BLNE.US,D,20150225,000000,2400,2400,2400,2400,2.7,0
BLNE.US,D,20150226,000000,2340,2340,2340,2340,7.4,0
BLNE.US,D,20150227,000000,2400,2400,2400,2400,1.5,0
BLNE.US,D,20150302,000000,2268,2268,2268,2268,0.5,0
BLNE.US,D,20150303,000000,2400,2400,2400,2400,1.45,0
BLNE.US,D,20150305,000000,2376,2376,2376,2376,0.1,0
BLNE.US,D,20150306,000000,2280,2280,2280,2280,0.4,0
BLNE.US,D,20150310,000000,2280,2280,2280,2280,1.8,0
BLNE.US,D,20150311,000000,2442,2442,2442,2442,0.1,0
BLNE.US,D,20150317,000000,2460,2460,2460,2460,0.5,0
BLNE.US,D,20150318,000000,2280,2280,2280,2280,2.7,0
BLNE.US,D,20150319,000000,2220,2220,2220,2220,2.1,0
BLNE.US,D,20150320,000000,2268,2268,2268,2268,1.9,0
BLNE.US,D,20150323,000000,2160,2160,2160,2160,0.8,0
BLNE.US,D,20150324,000000,2100,2100,2100,2100,1.85,0
BLNE.US,D,20150326,000000,2460,2460,2460,2460,0.35,0
BLNE.US,D,20150327,000000,2460,2460,2460,2460,0.45,0
BLNE.US,D,20150401,000000,2400,2400,2400,2400,0.9,0
BLNE.US,D,20150406,000000,2100,2100,2100,2100,0.4,0
BLNE.US,D,20150414,000000,2100,2100,2100,2100,4.75,0
BLNE.US,D,20150415,000000,2100,2100,2100,2100,0.1,0
BLNE.US,D,20150420,000000,2040,2040,2040,2040,0.15,0
BLNE.US,D,20150429,000000,2040,2040,2040,2040,0.6,0
BLNE.US,D,20150504,000000,2436,2436,2436,2436,1.65,0
BLNE.US,D,20150511,000000,2436,2436,2436,2436,0.75,0
BLNE.US,D,20150512,000000,2400,2400,2400,2400,0.9,0
BLNE.US,D,20150514,000000,2160,2160,2160,2160,1.25,0
BLNE.US,D,20150515,000000,2160,2160,2160,2160,0.25,0
BLNE.US,D,20150518,000000,1860,1860,1860,1860,1.15,0
BLNE.US,D,20150519,000000,1860,1860,1860,1860,0.6,0
BLNE.US,D,20150520,000000,1860,1860,1860,1860,0.1,0
BLNE.US,D,20150521,000000,1848,1848,1848,1848,0.1,0
BLNE.US,D,20150527,000000,2016,2016,2016,2016,5.1,0
BLNE.US,D,20150528,000000,2016,2016,2016,2016,3.5,0
BLNE.US,D,20150529,000000,2040,2040,2040,2040,3.9,0
BLNE.US,D,20150601,000000,2040,2040,2040,2040,1.5,0
BLNE.US,D,20150602,000000,2196,2196,2196,2196,18.9,0
BLNE.US,D,20150603,000000,2220,2220,2220,2220,16,0
BLNE.US,D,20150604,000000,2220,2220,2220,2220,13.25,0
BLNE.US,D,20150605,000000,2292,2292,2292,2292,17.5,0
BLNE.US,D,20150608,000000,2328,2328,2328,2328,5.6,0
BLNE.US,D,20150609,000000,2340,2340,2340,2340,3.9,0
BLNE.US,D,20150610,000000,2388,2388,2388,2388,18.2,0
BLNE.US,D,20150611,000000,2352,2352,2352,2352,9.6,0
BLNE.US,D,20150612,000000,2388,2388,2388,2388,7,0
BLNE.US,D,20150615,000000,2388,2388,2388,2388,16.15,0
BLNE.US,D,20150616,000000,2400,2400,2400,2400,4.25,0
BLNE.US,D,20150617,000000,2388,2388,2388,2388,7.65,0
BLNE.US,D,20150618,000000,2448,2448,2448,2448,24.1,0
BLNE.US,D,20150619,000000,2352,2352,2352,2352,9.75,0
BLNE.US,D,20150622,000000,2412,2412,2412,2412,14.65,0
BLNE.US,D,20150623,000000,2424,2424,2424,2424,24.6,0
BLNE.US,D,20150624,000000,2436,2436,2436,2436,19.7,0
BLNE.US,D,20150625,000000,2400,2400,2400,2400,29.85,0
