<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOCNU.US,D,20230215,000000,10.39,10.39,10.39,10.39,10199,0
BOCNU.US,D,20230221,000000,10.4,10.41,10.4,10.41,5423,0
BOCNU.US,D,20230222,000000,10.41,10.42,10.41,10.42,7900,0
BOCNU.US,D,20230223,000000,10.42,10.42,10.42,10.42,5000,0
BOCNU.US,D,20230224,000000,10.42,10.43,10.42,10.43,5500,0
BOCNU.US,D,20230227,000000,10.43,10.43,10.43,10.43,5500,0
BOCNU.US,D,20230228,000000,10.43,10.43,10.4263,10.4263,1100,0
BOCNU.US,D,20230301,000000,10.43,10.44,10.43,10.43,5200,0
BOCNU.US,D,20230302,000000,10.43,10.43,10.43,10.43,5000,0
BOCNU.US,D,20230303,000000,10.43,10.43,10.43,10.43,3343,0
BOCNU.US,D,20230307,000000,10.44,10.44,10.44,10.44,2200,0
BOCNU.US,D,20230309,000000,10.44,10.97,10.44,10.46,2764,0
BOCNU.US,D,20230310,000000,10.4054,10.44,10.39,10.44,401,0
BOCNU.US,D,20230314,000000,10.43,10.43,10.43,10.43,188,0
BOCNU.US,D,20230315,000000,10.48,10.48,10.43,10.43,232,0
BOCNU.US,D,20230323,000000,10.44,10.44,10.44,10.44,100,0
BOCNU.US,D,20230324,000000,10.45,10.45,10.45,10.45,100,0
BOCNU.US,D,20230327,000000,10.45,10.45,10.45,10.45,626,0
BOCNU.US,D,20230403,000000,10.46,10.46,10.46,10.46,4200,0
BOCNU.US,D,20230406,000000,10.47,10.47,10.47,10.47,100,0
BOCNU.US,D,20230412,000000,10.5,10.5,10.5,10.5,200,0
BOCNU.US,D,20230417,000000,10.5,10.5,10.5,10.5,100,0
BOCNU.US,D,20230418,000000,10.5,10.5,10.5,10.5,500,0
BOCNU.US,D,20230419,000000,10.5,10.51,10.5,10.51,30728,0
BOCNU.US,D,20230502,000000,10.55,10.55,10.51,10.51,700,0
BOCNU.US,D,20230503,000000,10.56,10.6496,10.5201,10.5201,1000,0
BOCNU.US,D,20230504,000000,10.55,11.07,10.55,10.76,1161,0
BOCNU.US,D,20230505,000000,10.57,11.055,10.52,10.5201,921,0
BOCNU.US,D,20230508,000000,10.57,11.07,10.57,11.07,1113,0
BOCNU.US,D,20230509,000000,10.55,10.55,10.52,10.5201,861,0
BOCNU.US,D,20230510,000000,10.52,10.9951,10.52,10.55,1073,0
BOCNU.US,D,20230511,000000,10.57,11.065,10.5201,10.5201,701,0
BOCNU.US,D,20230512,000000,10.57,11.065,10.52,10.52,639,0
BOCNU.US,D,20230517,000000,10.57,11.07,10.54,11.07,1079,0
BOCNU.US,D,20230518,000000,10.57,11.055,10.57,10.58,835,0
BOCNU.US,D,20230519,000000,10.58,10.58,10.58,10.58,725,0
BOCNU.US,D,20230522,000000,10.545,10.55,10.54,10.55,61041,0
BOCNU.US,D,20230523,000000,10.55,10.56,10.54,10.55,91230,0
BOCNU.US,D,20230524,000000,10.55,10.55,10.53,10.53,11751,0
BOCNU.US,D,20230615,000000,10.51,10.56,10.5,10.53,15752,0
BOCNU.US,D,20230620,000000,10.5,10.53,10.08,10.53,24345,0
BOCNU.US,D,20230621,000000,10.64,10.69,10.64,10.66,6701,0
BOCNU.US,D,20230622,000000,10.65,10.7,10.65,10.7,1435,0
BOCNU.US,D,20230623,000000,10.6404,10.65,10.63,10.65,1005,0
BOCNU.US,D,20230627,000000,10.6498,10.7,10.6498,10.7,1220,0
BOCNU.US,D,20230706,000000,10.72,10.72,10.72,10.72,100,0
BOCNU.US,D,20230707,000000,10.72,10.72,10.72,10.72,100,0
BOCNU.US,D,20230710,000000,10.74,10.74,10.74,10.74,100,0
BOCNU.US,D,20230711,000000,10.885,10.885,10.885,10.885,100,0
BOCNU.US,D,20230816,000000,10.95,10.95,10.95,10.95,123,0
BOCNU.US,D,20230831,000000,9.95,10.94,9.94,10.94,2200,0
BOCNU.US,D,20230911,000000,10.76,11.64,10.75,11.64,1502,0
BOCNU.US,D,20230912,000000,10.75,10.75,10.75,10.75,400,0
BOCNU.US,D,20230914,000000,10.75,10.75,10.71,10.75,600,0
BOCNU.US,D,20230915,000000,10.75,10.75,10.74,10.74,500,0
BOCNU.US,D,20230919,000000,10.77,10.77,10.77,10.77,406,0
BOCNU.US,D,20230920,000000,10.77,10.77,10.76,10.76,1100,0
BOCNU.US,D,20230921,000000,10.78,11.275,10.7201,10.7201,1400,0
BOCNU.US,D,20231003,000000,10.79,10.8,10.78,10.78,853,0
BOCNU.US,D,20231004,000000,10.79,10.79,10.79,10.79,400,0
BOCNU.US,D,20231005,000000,10.9,10.9,10.74,10.74,308,0
BOCNU.US,D,20231219,000000,10.14,10.14,10.14,10.14,100,0
BOCNU.US,D,20231220,000000,10.74,10.74,10.74,10.74,400,0
BOCNU.US,D,20231228,000000,10.7399,10.74,10.7398,10.74,950,0
BOCNU.US,D,20240110,000000,10.85,10.85,10.85,10.85,162,0
BOCNU.US,D,20240419,000000,11.25,11.25,11.25,11.25,108,0
BOCNU.US,D,20240612,000000,11.53,11.59,11.2,11.2,418,0
BOCNU.US,D,20240614,000000,11.88,11.88,11.88,11.88,308,0
BOCNU.US,D,20240701,000000,12.45,12.45,12.45,12.45,200,0
BOCNU.US,D,20240703,000000,12.45,12.45,12.45,12.45,294,0
BOCNU.US,D,20240708,000000,12.35,12.4,11,11.34,1132,0
BOCNU.US,D,20240722,000000,11.2,11.2,11.2,11.2,100,0
BOCNU.US,D,20240819,000000,11.9,12.48,11.51,11.52,7428,0
BOCNU.US,D,20240820,000000,11.8,12.1,11.5,11.5,302,0
BOCNU.US,D,20240830,000000,11.8,11.8,11.8,11.8,103,0
BOCNU.US,D,20240912,000000,11.58,12.5,11.58,11.84,9970,0
BOCNU.US,D,20240913,000000,12.49,12.49,11.7,11.7,760,0
BOCNU.US,D,20241016,000000,10.5,11.43,10.5,11.43,11017,0
BOCNU.US,D,20241022,000000,11.31,11.31,11.31,11.31,468,0
BOCNU.US,D,20241108,000000,11.2,11.5,11.2,11.5,800,0
BOCNU.US,D,20241118,000000,11.46,11.47,11.46,11.47,202,0
BOCNU.US,D,20241122,000000,11.49,11.49,11.49,11.49,200,0
BOCNU.US,D,20241125,000000,11.31,11.31,11.31,11.31,200,0
BOCNU.US,D,20241127,000000,12.31,12.31,12,12,1243,0
BOCNU.US,D,20241129,000000,10.81,10.81,10.81,10.81,201,0
BOCNU.US,D,20241202,000000,11.81,14.45,11.6,12.98,10703,0
BOCNU.US,D,20241203,000000,11.51,13.92,11.51,11.61,8785,0
BOCNU.US,D,20241204,000000,12,12,10.84,10.84,1007,0
BOCNU.US,D,20241205,000000,11.5,12.8,11.01,11.26,7963,0
