<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOWNU.US,D,20240819,000000,10.95,10.97,10.95,10.95,1842,0
BOWNU.US,D,20240820,000000,11.69,11.69,11.69,11.69,510,0
BOWNU.US,D,20240909,000000,11,11,11,11,101,0
BOWNU.US,D,20240911,000000,10.8,10.8,10.75,10.8,2586,0
BOWNU.US,D,20241011,000000,11.1,12.44,10.9,12,9403,0
BOWNU.US,D,20241014,000000,12.2,12.64,11.11,12.2,8116,0
BOWNU.US,D,20241016,000000,13.07,13.07,12,12.49,2572,0
BOWNU.US,D,20241017,000000,11.24,11.24,11,11.02,855,0
BOWNU.US,D,20241018,000000,12.1,12.1,10.94,11.1,5306,0
BOWNU.US,D,20241021,000000,11.01,11.01,11.01,11.01,577,0
BOWNU.US,D,20241022,000000,11.01,11.01,11.01,11.01,600,0
BOWNU.US,D,20241023,000000,11.01,11.14,11,11.01,5034,0
BOWNU.US,D,20241028,000000,11,11.09,11,11.09,317,0
BOWNU.US,D,20241112,000000,11,12.45,11,11.5,8568,0
BOWNU.US,D,20241113,000000,12.5,12.5,11.01,11.06,8591,0
BOWNU.US,D,20241114,000000,11.25,11.25,11.25,11.25,103,0
BOWNU.US,D,20241115,000000,11.06,12.4,10.99,11.03,15828,0
BOWNU.US,D,20241118,000000,10.97,10.97,10.97,10.97,251,0
BOWNU.US,D,20241120,000000,11,11,11,11,499,0
BOWNU.US,D,20241206,000000,11.1,11.1,11.1,11.1,300,0
BOWNU.US,D,20241227,000000,11.28,11.28,11.01,11.01,801,0
BOWNU.US,D,20250106,000000,11.05,11.05,11.01,11.03,1600,0
BOWNU.US,D,20250107,000000,11.8,13.01,10.87,12.1,8033,0
BOWNU.US,D,20250108,000000,11.92,13,11.5,11.5,1618,0
BOWNU.US,D,20250110,000000,12.34,12.9,11.55,11.75,2177,0
BOWNU.US,D,20250113,000000,10.6,11.38,9.07,10,17118,0
BOWNU.US,D,20250114,000000,10.99,12.1,8.65,9.6,42523,0
BOWNU.US,D,20250115,000000,9.36,13.44,7.56,9.28,70334,0
BOWNU.US,D,20250116,000000,10.27,11.51,8.5,9.35,62147,0
BOWNU.US,D,20250117,000000,10.14,11.79,8.05,9.29,98814,0
BOWNU.US,D,20250121,000000,8.5,10.4,8.41,9.71,5490,0
BOWNU.US,D,20250122,000000,10.37,10.95,9,9.1,16452,0
BOWNU.US,D,20250124,000000,8.97,10.4,7.82,8.49,33762,0
BOWNU.US,D,20250127,000000,9.05,9.9,7.25,7.25,20951,0
BOWNU.US,D,20250128,000000,6.73,7.04,6.55,7.04,1912,0
BOWNU.US,D,20250129,000000,6.05,7.62,6.05,7.26,6542,0
BOWNU.US,D,20250130,000000,7.69,7.8,6.22,6.68,26088,0
BOWNU.US,D,20250131,000000,7.15,7.42,6.01,6.72,18815,0
BOWNU.US,D,20250203,000000,6.32,6.75,3.39,3.39,17282,0
BOWNU.US,D,20250204,000000,3.94,5.48,3.39,3.56,22277,0
BOWNU.US,D,20250205,000000,3.87,5.11,3.87,4.23,10851,0
BOWNU.US,D,20250206,000000,4.21,4.21,3.5,3.5,2205,0
BOWNU.US,D,20250207,000000,3.12,3.72,3.12,3.51,1232,0
BOWNU.US,D,20250210,000000,4.24,4.66,3.78,3.78,1828,0
BOWNU.US,D,20250211,000000,3.86,3.87,3.85,3.87,386,0
