<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOXL.US,D,20171130,000000,73.36,73.36,63.7,63.92,2350.25,0
BOXL.US,D,20171201,000000,63.2,63.2,55.04,55.04,613.375,0
BOXL.US,D,20171204,000000,56.2848,60.56,55.04,58.5928,468.625,0
BOXL.US,D,20171205,000000,58.56,58.56,54.4,55.2,1468,0
BOXL.US,D,20171206,000000,55.44,58.56,55.44,57.992,1089.75,0
BOXL.US,D,20171207,000000,58.24,58.24,56.932,57.2,345,0
BOXL.US,D,20171208,000000,57.2,57.2,52,52,518,0
BOXL.US,D,20171211,000000,55.92,55.92,52.0008,52.0008,94.125,0
BOXL.US,D,20171212,000000,52.08,52.32,52,52,49.375,0
BOXL.US,D,20171213,000000,54,54,46.24,52,155.25,0
BOXL.US,D,20171214,000000,46.4808,46.4808,46.4808,46.4808,341,0
BOXL.US,D,20171215,000000,45.9,45.9,45.9,45.9,66.375,0
BOXL.US,D,20171218,000000,46,46.3104,46,46.3104,83.375,0
BOXL.US,D,20171220,000000,46,46,46,46,127.125,0
BOXL.US,D,20171221,000000,47.3944,47.3944,46.3072,46.3072,41.375,0
BOXL.US,D,20180102,000000,40.08,40.08,40.08,40.08,46.875,0
BOXL.US,D,20180103,000000,42.48,46,42.4,45.9192,789,0
BOXL.US,D,20180104,000000,48,48,46.08,46.4,507.5,0
BOXL.US,D,20180105,000000,47.6,48,47.6,48,56.625,0
BOXL.US,D,20180108,000000,48,48,46.0008,48,713.5,0
BOXL.US,D,20180109,000000,46.8,48,46.8,48,304.625,0
BOXL.US,D,20180110,000000,48,48,46.48,46.88,2062.875,0
BOXL.US,D,20180111,000000,46.96,51.92,46.0008,51.6,239.5,0
BOXL.US,D,20180112,000000,56,56,55.2584,55.7672,258.25,0
BOXL.US,D,20180116,000000,50.96,50.96,48.208,48.208,42.75,0
BOXL.US,D,20180117,000000,46.08,46.4,44,44,221.75,0
BOXL.US,D,20180118,000000,44.16,52,44.16,48.8008,319.875,0
BOXL.US,D,20180119,000000,46.18,46.18,44.8,44.944,140.625,0
BOXL.US,D,20180122,000000,48.64,48.64,48.64,48.64,22.625,0
BOXL.US,D,20180123,000000,48.56,48.56,48,48.08,271.75,0
BOXL.US,D,20180124,000000,48,48,48,48,52.5,0
BOXL.US,D,20180126,000000,45.5288,45.5288,45.5288,45.5288,13.25,0
BOXL.US,D,20180201,000000,45.2008,45.2008,44,45.0952,150,0
BOXL.US,D,20180205,000000,40.2376,40.2376,40.2376,40.2376,222.75,0
BOXL.US,D,20180206,000000,39.6,43.6,39.6,43.6,1.5,0
BOXL.US,D,20180208,000000,35.36,35.36,35.36,35.36,50.875,0
BOXL.US,D,20180209,000000,43.2,43.2,40,40,152.875,0
BOXL.US,D,20180213,000000,43.2008,43.2008,43.2,43.2,44.125,0
BOXL.US,D,20180215,000000,36.4,40,34.88,40,156.625,0
BOXL.US,D,20180220,000000,37.68,37.6808,37.68,37.6808,40.125,0
BOXL.US,D,20180222,000000,37.6,37.6,32,32,279.25,0
BOXL.US,D,20180301,000000,33.6,33.6,33.6,33.6,133.125,0
BOXL.US,D,20180302,000000,40,40,33.6,33.6,456.625,0
BOXL.US,D,20180305,000000,32.7016,36.8,32,36.8,205.625,0
BOXL.US,D,20180306,000000,37.92,38.4,35.52,38.4,256.875,0
BOXL.US,D,20180307,000000,34.56,34.8,34.1704,34.8,62.875,0
BOXL.US,D,20180314,000000,32,32,32,32,45.25,0
BOXL.US,D,20180316,000000,31.92,32,31.76,32,294.125,0
BOXL.US,D,20180320,000000,32,32,32,32,125.5,0
BOXL.US,D,20180321,000000,33.6,33.6008,33.6,33.6,103.125,0
BOXL.US,D,20180322,000000,24.64,28,24.64,28,38.75,0
BOXL.US,D,20180326,000000,25.44,25.44,24,24,80.25,0
BOXL.US,D,20180327,000000,32,32,29.28,31.84,206.875,0
BOXL.US,D,20180328,000000,33.48,33.52,32.2528,32.48,134.625,0
BOXL.US,D,20180402,000000,36.72,40,35.28,38.04,607.125,0
BOXL.US,D,20180403,000000,34.72,35.52,32.8,34.88,401.625,0
