<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRKD.US,D,20241219,000000,25.69,25.7857,25.63,25.7857,1751,0
BRKD.US,D,20241226,000000,25.33,25.33,25.2701,25.2701,274,0
BRKD.US,D,20241230,000000,25.66,25.66,25.6319,25.6319,121,0
BRKD.US,D,20250102,000000,25.65,25.7624,25.65,25.7624,374,0
BRKD.US,D,20250103,000000,25.681,25.681,25.615,25.615,1044,0
BRKD.US,D,20250108,000000,25.65,25.79,25.65,25.765,422,0
BRKD.US,D,20250121,000000,24.75,24.8428,24.75,24.8428,1307,0
BRKD.US,D,20250122,000000,25.2,25.36,25.2,25.28,1174,0
BRKD.US,D,20250203,000000,25.42,25.42,25.0641,25.0641,262,0
BRKD.US,D,20250204,000000,25.05,25.05,24.95,24.95,565,0
BRKD.US,D,20250211,000000,24.74,24.74,24.7119,24.7119,200,0
