<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSFC.US,D,20211104,000000,4720,4800,4338.1,4459.9,26.064,0
BSFC.US,D,20211105,000000,4500,4870,4040.1,4270,33.75,0
BSFC.US,D,20211108,000000,4180,4240,3420,3800,57.306000000000004,0
BSFC.US,D,20211109,000000,3610,4114,3550,3800,164.415,0
BSFC.US,D,20211110,000000,3680,3799.6,3110,3270,114.83,0
BSFC.US,D,20211111,000000,3210,3850,3210,3600,100.132,0
BSFC.US,D,20211112,000000,3980,3980,3480,3578.5,147.074,0
BSFC.US,D,20211115,000000,3490,3672.3,3268.98,3400,57.729,0
BSFC.US,D,20211116,000000,3255,3369.8,3220,3259,19.45,0
BSFC.US,D,20211117,000000,3450,3450,3137,3280,32.131,0
BSFC.US,D,20211118,000000,3215,3270,2920,3260,60.28,0
BSFC.US,D,20211119,000000,3160,3260,2770,2880,57.551,0
BSFC.US,D,20211122,000000,2776,2990,2480,2725,61.88,0
BSFC.US,D,20211123,000000,2840,2920,2600.1,2810,46.19,0
BSFC.US,D,20211124,000000,2840,3930,2600,3650,741.082,0
BSFC.US,D,20211126,000000,3360,3600,3300.1,3470,120.059,0
BSFC.US,D,20211129,000000,3500,3500,2900,3000,69.449,0
BSFC.US,D,20211130,000000,3170,3240,2650,2950,126.384,0
BSFC.US,D,20211201,000000,2930,2949.9,2669.5,2810,89.018,0
BSFC.US,D,20211202,000000,3060,3060,2530,2738.9,34.85,0
BSFC.US,D,20211203,000000,2700,2700,2100,2380,41.682,0
BSFC.US,D,20211206,000000,2400,2620,2150,2500,33.298,0
BSFC.US,D,20211207,000000,2500,2560,2410,2520,31.099,0
BSFC.US,D,20211208,000000,2510,2510,2330,2400,26.3,0
BSFC.US,D,20211209,000000,2380,2870,2320,2520,61.627,0
BSFC.US,D,20211210,000000,2630,2800,2600.1,2780,18.466,0
BSFC.US,D,20211213,000000,2850,3050,2662,3000,42.318000000000005,0
BSFC.US,D,20211214,000000,3060,3200,2680,3100,109.40700000000001,0
BSFC.US,D,20211215,000000,3200,3200,2732.8,3010,44.602,0
BSFC.US,D,20211216,000000,3040,3180,2809,2880,38.998000000000005,0
BSFC.US,D,20211217,000000,3010,3170,2490,2490,81.452,0
BSFC.US,D,20211220,000000,3000,3000,1840.1,2050,212.85,0
BSFC.US,D,20211221,000000,2050,2650,2050,2090,131,0
BSFC.US,D,20211222,000000,2080,2100,1820,1830,46.232,0
BSFC.US,D,20211223,000000,1850,1958.7,1850,1920,24.486,0
BSFC.US,D,20211227,000000,1810,1970,1810,1920,51.052,0
BSFC.US,D,20211228,000000,1930,1970,1800,1800,35.719,0
BSFC.US,D,20211229,000000,1840,1840,1550,1580,91.985,0
BSFC.US,D,20211230,000000,1620,1740,1570,1710,66.905,0
BSFC.US,D,20211231,000000,1630,1800,1600,1630,29.724,0
BSFC.US,D,20220103,000000,1650.1,1800,1610,1710,17.167,0
BSFC.US,D,20220104,000000,1780,1780,1600,1675,23.685,0
BSFC.US,D,20220105,000000,1730,1900,1620,1880,121.555,0
