<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUFM.US,D,20241212,000000,35.11,35.11,35.0248,35.0248,100,0
BUFM.US,D,20241216,000000,35.16,35.16,35.1,35.1,126,0
BUFM.US,D,20241223,000000,34.73,34.8546,34.73,34.8546,200,0
BUFM.US,D,20241224,000000,35.02,35.0261,35.02,35.0261,104,0
BUFM.US,D,20241226,000000,35.08,35.08,35.068,35.068,2888,0
BUFM.US,D,20241227,000000,34.9,34.9,34.8401,34.8401,6223,0
BUFM.US,D,20241230,000000,34.79,34.79,34.6816,34.6816,5768,0
BUFM.US,D,20241231,000000,34.65,34.65,34.5916,34.5916,230,0
BUFM.US,D,20250102,000000,34.64,34.64,34.5664,34.5664,6275,0
BUFM.US,D,20250103,000000,34.79,34.85,34.781,34.781,37283,0
BUFM.US,D,20250106,000000,34.91,34.91,34.86,34.86,32728,0
BUFM.US,D,20250107,000000,34.75,34.75,34.685,34.685,10250,0
BUFM.US,D,20250108,000000,34.72,34.73,34.7,34.7,5303,0
BUFM.US,D,20250110,000000,34.62,34.62,34.47,34.47,4328,0
BUFM.US,D,20250113,000000,34.38,34.55,34.38,34.55,3011,0
BUFM.US,D,20250114,000000,34.64,34.64,34.53,34.55,14108,0
BUFM.US,D,20250115,000000,34.83,34.89,34.83,34.86,23380,0
BUFM.US,D,20250116,000000,34.87,34.89,34.8103,34.8103,5308,0
BUFM.US,D,20250117,000000,35.06,35.06,34.9952,34.9952,11047,0
BUFM.US,D,20250121,000000,35.16,35.17,35.16,35.17,11834,0
BUFM.US,D,20250122,000000,35.27,35.33,35.25,35.25,6965,0
BUFM.US,D,20250123,000000,35.33,35.34,35.33,35.3303,145461,0
BUFM.US,D,20250124,000000,35.33,35.35,35.33,35.35,24560,0
BUFM.US,D,20250127,000000,35.04,35.18,35,35.18,668067,0
BUFM.US,D,20250128,000000,35.13,35.27,35.13,35.26,41579,0
BUFM.US,D,20250129,000000,35.21,35.21,35.1469,35.1469,7327,0
BUFM.US,D,20250130,000000,35.22,35.28,35.17,35.2325,90229,0
BUFM.US,D,20250131,000000,35.23,35.24,35.16,35.16,10856,0
BUFM.US,D,20250203,000000,34.879,35.13,34.879,35.0398,1969,0
BUFM.US,D,20250204,000000,35.08,35.2,35.08,35.1517,129117,0
BUFM.US,D,20250205,000000,35.25,35.28,35.24,35.28,10965,0
BUFM.US,D,20250206,000000,35.25,35.29,35.25,35.29,23000,0
BUFM.US,D,20250207,000000,35.18,35.18,35.16,35.18,18506,0
BUFM.US,D,20250210,000000,35.25,35.3,35.25,35.3,10555,0
BUFM.US,D,20250211,000000,35.32,35.32,35.2724,35.2724,31317,0
BUFM.US,D,20250212,000000,35.26,35.26,35.25,35.25,459070,0
BUFM.US,D,20250213,000000,35.35,35.44,35.35,35.44,82847,0
