<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BYU.US,D,20150422,000000,1275,2812.5,1237.5,2375,452.308,0
BYU.US,D,20150423,000000,2400,2562.5,2250,2375,79.76,0
BYU.US,D,20150424,000000,2350,2437.5,2287.5,2362.5,38.4,0
BYU.US,D,20150427,000000,2300,2437.5,1975,2412.5,93.04,0
BYU.US,D,20150428,000000,2400,2400,2262.5,2387.5,46.32,0
BYU.US,D,20150429,000000,2487.5,2487.5,2250,2312.5,6.8,0
BYU.US,D,20150430,000000,2412.5,2412.5,2175,2375,46.32,0
BYU.US,D,20150501,000000,2200,2250,2000,2012.5,23.92,0
BYU.US,D,20150504,000000,2062.5,2325,2062.5,2100,3.36,0
BYU.US,D,20150505,000000,2187.5,2187.5,2062.5,2125,34.24,0
BYU.US,D,20150506,000000,2125,2300,2050,2125,17.412,0
BYU.US,D,20150507,000000,2000,2237.5,2000,2125,19.596,0
BYU.US,D,20150508,000000,2150,2150,2000,2000,19.04,0
BYU.US,D,20150511,000000,2000,2050,1900,2012.5,10.8,0
BYU.US,D,20150512,000000,1925,1925,1887.5,1887.5,3.96,0
BYU.US,D,20150513,000000,1887.5,1900,1762.5,1762.5,29.6,0
BYU.US,D,20150514,000000,1737.5,1850,1737.5,1787.5,7.76,0
BYU.US,D,20150515,000000,1787.38,1787.38,1750,1750,0.896,0
BYU.US,D,20150518,000000,1737.5,1750,1537.5,1625,21.812,0
BYU.US,D,20150519,000000,1562.5,1700,1387.5,1475,32.32,0
BYU.US,D,20150520,000000,1400,1712.5,1400,1675,50.64,0
BYU.US,D,20150521,000000,1725,2125,1725,2050,72.4,0
BYU.US,D,20150522,000000,2112.5,2437.5,2050,2062.5,103.36,0
BYU.US,D,20150526,000000,2150,2200,2000,2062.5,29.624,0
BYU.US,D,20150527,000000,2062.5,2062.5,1887.5,2012.5,17.36,0
BYU.US,D,20150528,000000,1851.25,2037.5,1851.25,1887.5,10.876,0
BYU.US,D,20150529,000000,1825,1825,1637.5,1750,9.44,0
BYU.US,D,20150601,000000,1962.5,2112.5,1812.5,1962.5,22.88,0
BYU.US,D,20150602,000000,1862.5,1981.25,1812.5,1812.5,3.9,0
BYU.US,D,20150603,000000,1800,1887.5,1775,1887.5,9.76,0
BYU.US,D,20150604,000000,2050,2050,1825,1962.5,12.56,0
BYU.US,D,20150605,000000,1912.5,2250,1750,2025,59.84,0
BYU.US,D,20150608,000000,2037.5,2137.5,2000,2050,7.76,0
BYU.US,D,20150609,000000,1875.12,2024.88,1875.12,2024.88,3.36,0
BYU.US,D,20150610,000000,2000,2212.5,1900,1987.5,28.368,0
BYU.US,D,20150611,000000,1937.5,2250,1937.5,2068.12,69.924,0
BYU.US,D,20150612,000000,2112.5,2125,1987.5,2012.5,10,0
BYU.US,D,20150615,000000,2000,2087.5,1987.5,2062.5,6.72,0
BYU.US,D,20150616,000000,2025,2037.5,1937.5,2025,3.04,0
BYU.US,D,20150617,000000,1937.5,1950,1887.5,1900,12.72,0
BYU.US,D,20150618,000000,1837.5,1987.5,1775,1875,15.52,0
BYU.US,D,20150619,000000,1762.5,1937.5,1737.5,1775,9.92,0
BYU.US,D,20150622,000000,1775,1925,1750,1925,11.84,0
BYU.US,D,20150623,000000,1844,1847,1800,1837.5,7.24,0
BYU.US,D,20150624,000000,1775,1925,1775,1925,6.56,0
BYU.US,D,20150625,000000,1925,1925,1750,1800,17.92,0
BYU.US,D,20150626,000000,1850,1875,1537.5,1637.5,14.08,0
BYU.US,D,20150629,000000,1575,1787.5,1475,1475,5.6,0
BYU.US,D,20150630,000000,1700,1887.5,1525,1550,15.608,0
BYU.US,D,20150701,000000,1537.5,1737.5,1475,1612.5,8.72,0
BYU.US,D,20150702,000000,1612.5,1612.5,1512.5,1550,3.36,0
BYU.US,D,20150706,000000,1387.5,1512.5,1387.5,1500,6.32,0
BYU.US,D,20150707,000000,1400,1400,1125,1250,29.2,0
BYU.US,D,20150708,000000,1187.5,1350,950,1350,41.84,0
BYU.US,D,20150709,000000,1325,1712.5,1325,1350,26.96,0
BYU.US,D,20150710,000000,1400,1400,1275,1400,15.28,0
BYU.US,D,20150713,000000,1387.5,1462.5,1312.5,1387.5,2,0
BYU.US,D,20150714,000000,1187.5,1312.38,1187.5,1312.38,12.368,0
BYU.US,D,20150715,000000,1187.5,1225,1187.5,1187.5,1.872,0
BYU.US,D,20150716,000000,1212.5,1225,1100,1100,8.32,0
BYU.US,D,20150717,000000,1100,1150,1100,1112.5,4.72,0
BYU.US,D,20150720,000000,1187.5,1187.5,1112.5,1125,2.56,0
BYU.US,D,20150721,000000,1137.5,1137.5,1125,1125,7.44,0
BYU.US,D,20150722,000000,1112.5,1112.5,1100,1100,2,0
BYU.US,D,20150723,000000,1125,1125,1087.5,1100,19.2,0
BYU.US,D,20150724,000000,987.5,1050,975,1050,4.72,0
BYU.US,D,20150727,000000,1025,1025,1000,1000,3.04,0
BYU.US,D,20150728,000000,1050,1050,875,887.5,19.92,0
BYU.US,D,20150729,000000,875,1025,875,1025,0.64,0
BYU.US,D,20150730,000000,912.5,912.5,912.5,912.5,1.04,0
BYU.US,D,20150731,000000,887.5,900,825,900,4.88,0
BYU.US,D,20150803,000000,900,950,900,900.125,2.56,0
BYU.US,D,20150804,000000,900,937.5,875,937.5,2.8,0
BYU.US,D,20150805,000000,900,1000,900,950,1.36,0
BYU.US,D,20150806,000000,900.125,900.125,812.5,812.5,6,0
BYU.US,D,20150807,000000,825,1037.5,825,1025,16.96,0
BYU.US,D,20150810,000000,1062.5,1062.5,825,912.5,17.04,0
BYU.US,D,20150811,000000,925,925,875.125,887.5,18.64,0
BYU.US,D,20150812,000000,875,875,875,875,0.48,0
BYU.US,D,20150817,000000,875,887.5,812.5,825,27.36,0
BYU.US,D,20150818,000000,825,862.5,825,825,16.64,0
BYU.US,D,20150819,000000,762.5,1025,762.5,1012.5,19.28,0
BYU.US,D,20150820,000000,1000,1025,1000,1000,11.28,0
BYU.US,D,20150821,000000,937.5,1112.5,937.5,1075,40.08,0
BYU.US,D,20150824,000000,912.5,1000,912.5,1000,1.204,0
BYU.US,D,20150825,000000,1012.5,1075,1012.5,1025,18.72,0
BYU.US,D,20150826,000000,912.5,1075,912.5,962.5,14.24,0
BYU.US,D,20150827,000000,925,975,775,887.5,14.32,0
BYU.US,D,20150828,000000,812.5,1000,812.5,1000,0.8,0
BYU.US,D,20150831,000000,1000,1000,812.5,925,38.56,0
BYU.US,D,20150901,000000,925,925,825,862.5,1.76,0
BYU.US,D,20150902,000000,912.5,925,900,925,2.72,0
BYU.US,D,20150903,000000,875,875,825,825,2.4,0
BYU.US,D,20150904,000000,900,912.5,800,825,2.16,0
BYU.US,D,20150908,000000,862.5,862.5,850,850,0.48,0
BYU.US,D,20150909,000000,862.5,900,812.5,812.5,5.04,0
BYU.US,D,20150910,000000,839.5,839.5,821.25,821.25,0.328,0
BYU.US,D,20150911,000000,800,862.5,800,800,8.72,0
BYU.US,D,20150914,000000,812.5,887.5,800,812.5,0.72,0
BYU.US,D,20150915,000000,812.5,812.5,812.5,812.5,0.8,0
BYU.US,D,20150916,000000,825,862.5,825,837.5,1.44,0
BYU.US,D,20150918,000000,825,837.5,825,837.5,0.56,0
BYU.US,D,20150922,000000,800,800,800,800,0.72,0
BYU.US,D,20150923,000000,800,825,750,750,5.76,0
BYU.US,D,20150925,000000,750,787.5,750,787.5,1.28,0
BYU.US,D,20150928,000000,861.25,861.25,750,750,1.636,0
BYU.US,D,20150929,000000,750,750,750,750,1.36,0
BYU.US,D,20151002,000000,725,737.5,687.5,687.5,13.28,0
BYU.US,D,20151005,000000,748.75,748.75,625,650.125,12.568,0
BYU.US,D,20151006,000000,650,650,625,625,1.84,0
BYU.US,D,20151007,000000,625,625,625,625,3.52,0
BYU.US,D,20151008,000000,625,625,600,600,3.44,0
BYU.US,D,20151009,000000,625,625,625,625,4.56,0
BYU.US,D,20151012,000000,625,625,590.25,590.25,4.08,0
BYU.US,D,20151013,000000,662.5,687.5,625,625,2.24,0
BYU.US,D,20151014,000000,612.5,662.5,612.5,612.5,5.2,0
BYU.US,D,20151015,000000,600,612.5,600,612.5,15.84,0
BYU.US,D,20151016,000000,725,725,625,625,2.8,0
BYU.US,D,20151019,000000,625,712.5,625,625,0.56,0
BYU.US,D,20151020,000000,625.125,712.375,625,662.5,3.88,0
BYU.US,D,20151021,000000,662.5,662.5,600,662.5,3.6,0
BYU.US,D,20151022,000000,650,787.5,650,750,53.36,0
BYU.US,D,20151023,000000,787.5,887.5,675,825,50.88,0
BYU.US,D,20151026,000000,825,825,750,812.5,1.84,0
BYU.US,D,20151027,000000,812.5,812.5,625,662.5,40.48,0
BYU.US,D,20151028,000000,600,687.5,600,625,1.6,0
BYU.US,D,20151029,000000,525,662.5,525,637.5,6.88,0
BYU.US,D,20151030,000000,662.5,662.5,600,600,0.16,0
BYU.US,D,20151102,000000,562.5,602.5,537.5,562.5,4.96,0
BYU.US,D,20151103,000000,562.5,600,550,600,3.76,0
BYU.US,D,20151104,000000,616.25,616.25,598.75,612.5,2.964,0
BYU.US,D,20151105,000000,612.5,675,525,612.5,21.76,0
BYU.US,D,20151106,000000,537.5,537.5,525,537.5,8.88,0
BYU.US,D,20151109,000000,537.5,643.75,532.625,537.625,3.288,0
BYU.US,D,20151110,000000,537.5,600,537.5,575,5.84,0
BYU.US,D,20151111,000000,600,625,575,625,11.84,0
BYU.US,D,20151112,000000,662.5,662.5,575,587.5,7.04,0
BYU.US,D,20151113,000000,600,600,600,600,0.64,0
BYU.US,D,20151116,000000,537.5,600,537.5,600,2.08,0
BYU.US,D,20151118,000000,562.5,562.5,562.5,562.5,1.12,0
BYU.US,D,20151119,000000,550,550,537.5,537.5,0.32,0
BYU.US,D,20151120,000000,537.5,550,525,550,10,0
BYU.US,D,20151123,000000,525,537.5,525,537.5,24.08,0
BYU.US,D,20151124,000000,537.5,612.5,537.5,612.5,10.56,0
BYU.US,D,20151125,000000,612.5,612.5,612.5,612.5,0.16,0
BYU.US,D,20151127,000000,550,575,537.5,562.5,18,0
BYU.US,D,20151130,000000,525,612.5,525,575,6.4,0
BYU.US,D,20151201,000000,587.5,976.375,556.5,702.875,63.648,0
BYU.US,D,20151202,000000,873.75,873.75,694.5,694.5,18.328,0
BYU.US,D,20151203,000000,737.5,775.125,662.5,675,10.54,0
BYU.US,D,20151204,000000,675,700,662.5,662.5,13.2,0
BYU.US,D,20151207,000000,662.5,687.5,662.5,662.5,2.16,0
BYU.US,D,20151208,000000,662.5,712.5,627.625,627.625,4.816,0
BYU.US,D,20151209,000000,687.5,687.5,687.5,687.5,0.48,0
