<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAPNR.US,D,20241028,000000,0.11,0.12,0.11,0.11,250951,0
CAPNR.US,D,20241031,000000,0.11,0.113,0.11,0.1125,109512,0
CAPNR.US,D,20241105,000000,0.1201,0.1201,0.1201,0.1201,51678,0
CAPNR.US,D,20241118,000000,0.126,0.126,0.126,0.126,400,0
CAPNR.US,D,20241119,000000,0.1352,0.1352,0.1201,0.128551,19000,0
CAPNR.US,D,20241121,000000,0.126,0.126,0.12,0.1201,210648,0
CAPNR.US,D,20241122,000000,0.12,0.12,0.12,0.12,3700,0
CAPNR.US,D,20241127,000000,0.124,0.124,0.12,0.12,1000,0
CAPNR.US,D,20241202,000000,0.12,0.121,0.12,0.1201,150916,0
CAPNR.US,D,20241209,000000,0.12,0.12,0.12,0.12,449,0
CAPNR.US,D,20250102,000000,0.12,0.12,0.12,0.12,16656,0
CAPNR.US,D,20250131,000000,0.12,0.12,0.12,0.12,989,0
CAPNR.US,D,20250206,000000,0.1211,0.1211,0.1211,0.1211,452,0
CAPNR.US,D,20250207,000000,0.1148,0.13,0.1147,0.1151,17925,0
CAPNR.US,D,20250210,000000,0.13,0.13,0.1255,0.13,26300,0
