<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCIR.US,D,20241204,000000,9.96,9.96,9.95,9.95,1022461,0
CCIR.US,D,20241205,000000,9.96,9.96,9.955,9.9599,2224,0
CCIR.US,D,20241206,000000,9.96,9.97,9.96,9.97,3264,0
CCIR.US,D,20241209,000000,9.97,9.98,9.97,9.9705,2898,0
CCIR.US,D,20241210,000000,9.9694,9.9701,9.9601,9.9625,1008,0
CCIR.US,D,20241211,000000,9.97,9.98,9.97,9.98,178424,0
CCIR.US,D,20241212,000000,9.9799,10.05,9.9799,10.05,59810,0
CCIR.US,D,20241213,000000,10.04,10.04,10,10.02,51692,0
CCIR.US,D,20241216,000000,10.2573,10.2573,10,10,114444,0
CCIR.US,D,20241217,000000,10.0071,10.0072,10.0071,10.0072,4353,0
CCIR.US,D,20241219,000000,10.03,10.03,10.005,10.005,892032,0
CCIR.US,D,20241220,000000,10.01,10.01,10.01,10.01,13970,0
CCIR.US,D,20241227,000000,10,10,9.99,9.99,2102,0
CCIR.US,D,20241230,000000,10.01,10.01,10.01,10.01,3372,0
CCIR.US,D,20250102,000000,10,10,10,10,100034,0
CCIR.US,D,20250103,000000,10.0047,10.015,10.0047,10.015,3267,0
CCIR.US,D,20250106,000000,10.0037,10.0199,10.0037,10.0135,99886,0
CCIR.US,D,20250107,000000,10.0085,10.01,10.0085,10.01,1801,0
CCIR.US,D,20250110,000000,10.0044,10.01,10.0044,10.01,13203,0
CCIR.US,D,20250113,000000,10.01,10.125,10.01,10.07,841921,0
CCIR.US,D,20250114,000000,10.18,10.18,10.0875,10.1,466361,0
CCIR.US,D,20250115,000000,10.15,10.25,10.11,10.17,510383,0
CCIR.US,D,20250116,000000,10.2,10.205,10.14,10.19,138722,0
CCIR.US,D,20250117,000000,10.22,10.2499,10.2,10.235,208316,0
CCIR.US,D,20250121,000000,10.25,10.35,10.2489,10.31,438494,0
CCIR.US,D,20250122,000000,10.35,10.35,10.255,10.3,510703,0
CCIR.US,D,20250123,000000,10.3,10.32,10.3,10.31,341530,0
CCIR.US,D,20250124,000000,10.33,11.48,10.31,10.32,678221,0
CCIR.US,D,20250127,000000,10.35,10.35,10.32,10.33,16381,0
CCIR.US,D,20250128,000000,10.33,10.34,10.3,10.315,35616,0
CCIR.US,D,20250129,000000,10.32,10.33,10.3125,10.33,75498,0
CCIR.US,D,20250130,000000,10.33,10.35,10.3,10.33,181082,0
CCIR.US,D,20250131,000000,10.35,10.35,10.32,10.33,109391,0
CCIR.US,D,20250203,000000,10.35,10.35,10.33,10.33,117090,0
CCIR.US,D,20250204,000000,10.35,10.38,10.338,10.34,1105537,0
CCIR.US,D,20250205,000000,10.36,10.36,10.34,10.34,182156,0
CCIR.US,D,20250206,000000,10.35,10.6993,10.3412,10.52,668167,0
CCIR.US,D,20250207,000000,10.63,11.05,10.63,10.95,767175,0
CCIR.US,D,20250210,000000,11.41,11.41,10.98,11.12,403910,0
CCIR.US,D,20250211,000000,11.25,11.25,10.95,11,730931,0
CCIR.US,D,20250212,000000,11.05,11.19,10.97,11.01,2510686,0
CCIR.US,D,20250213,000000,11.15,11.3893,11.025,11.3,3401812,0
