<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COLAU.US,D,20250123,000000,10.02,10.02,10.01,10.01,2939515,0
COLAU.US,D,20250124,000000,10.02,10.02,10.01,10.01,147653,0
COLAU.US,D,20250127,000000,10.02,10.03,10.01,10.01,83865,0
COLAU.US,D,20250128,000000,10.01,10.03,10.01,10.02,79400,0
COLAU.US,D,20250129,000000,10.0106,10.03,10.01,10.03,22094,0
COLAU.US,D,20250130,000000,10.03,10.05,10.03,10.04,106939,0
COLAU.US,D,20250131,000000,10.06,10.06,10.04,10.05,1136,0
COLAU.US,D,20250203,000000,10.06,10.06,10.04,10.06,1404,0
COLAU.US,D,20250204,000000,10.05,10.06,10.04,10.05,60543,0
COLAU.US,D,20250205,000000,10.06,10.06,10.06,10.06,1396,0
COLAU.US,D,20250206,000000,10.06,10.12,10.06,10.1,56279,0
COLAU.US,D,20250207,000000,10.09,10.09,10.08,10.09,1468,0
COLAU.US,D,20250210,000000,10.07,10.09,10.07,10.07,976,0
COLAU.US,D,20250211,000000,10.08,10.08,10.0701,10.0701,1065,0
COLAU.US,D,20250212,000000,10.12,10.12,10.08,10.08,601,0
COLAU.US,D,20250213,000000,10.0744,10.0744,10.0744,10.0744,278,0
