<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPTN.US,D,20210329,000000,97,97,95.902,96,2517.1,0
CPTN.US,D,20210330,000000,96.71,97.1,96.71,97,86,0
CPTN.US,D,20210331,000000,97,97,97,97,1266.4,0
CPTN.US,D,20210401,000000,96.5,97,96.5,96.8,50230.1,0
CPTN.US,D,20210405,000000,96.9,96.9,96.9,96.9,235.8,0
CPTN.US,D,20210406,000000,96.9,97.2,96.9,97.2,2847.1,0
CPTN.US,D,20210407,000000,97.2,97.3,97.2,97.2,1513.5,0
CPTN.US,D,20210408,000000,97.5,97.5,97.4,97.5,347.7,0
CPTN.US,D,20210409,000000,97.5,98,97.5,97.9,1073.5,0
CPTN.US,D,20210412,000000,98.8,98.8,97.6,97.9,221.1,0
CPTN.US,D,20210413,000000,97.5,97.7,97.4,97.6,5933.9,0
CPTN.US,D,20210414,000000,97.7,98.4,97.7,98.3,6754,0
CPTN.US,D,20210415,000000,98,98.2,97.6,98.2,49652.6,0
CPTN.US,D,20210416,000000,97.501,98,97.4,98,710.5,0
CPTN.US,D,20210419,000000,98,98,97.5,98,1538.8,0
CPTN.US,D,20210420,000000,97.8,98,97.3,97.4,7595,0
CPTN.US,D,20210421,000000,97.4,97.4,97.1,97.1,1391.9,0
CPTN.US,D,20210422,000000,97.4,97.4,97.1,97.25,104,0
CPTN.US,D,20210423,000000,97.1,97.4,97,97.3,3194.9,0
CPTN.US,D,20210426,000000,97.35,97.35,97.15,97.15,62.1,0
CPTN.US,D,20210427,000000,97.3,97.3,97.3,97.3,10.8,0
CPTN.US,D,20210428,000000,97.4,97.4,97.3,97.3,89.1,0
CPTN.US,D,20210429,000000,97.3,97.7,97,97.3,51282.9,0
CPTN.US,D,20210430,000000,97.3,97.4,97.3,97.4,1140.9,0
CPTN.US,D,20210503,000000,97.4,97.55,97.4,97.5,3157.4,0
CPTN.US,D,20210504,000000,97.5,97.6,97.5,97.5,2842.6,0
CPTN.US,D,20210505,000000,97.5,97.6,97.5,97.5,9265.9,0
CPTN.US,D,20210506,000000,97.6,97.6,97.5,97.5,2633.3,0
CPTN.US,D,20210507,000000,97.5,97.6,97.4,97.6,3359.1,0
CPTN.US,D,20210510,000000,97.6,97.6,97.3,97.3,6015.3,0
CPTN.US,D,20210511,000000,97.3,97.383,97.3,97.3,135,0
CPTN.US,D,20210512,000000,97.3,97.3,97.3,97.3,804.4,0
CPTN.US,D,20210513,000000,97.3,97.6,97.3,97.6,521.7,0
CPTN.US,D,20210514,000000,97.4,97.47,97.302,97.408,260.1,0
CPTN.US,D,20210517,000000,97.4,97.4,97.3,97.3,111.4,0
CPTN.US,D,20210518,000000,97.4,97.4,97.3,97.3,395.6,0
CPTN.US,D,20210519,000000,97.3,97.3,97.2,97.3,100.4,0
CPTN.US,D,20210520,000000,97.2,97.4,96.5,97.4,500,0
CPTN.US,D,20210521,000000,97.3,97.5,97,97.2,10310.2,0
CPTN.US,D,20210524,000000,97,97.6,97,97.1,395.2,0
CPTN.US,D,20210525,000000,96.3,97.1,96.3,97.1,251.1,0
CPTN.US,D,20210526,000000,98,98,96.5,96.8,4630.1,0
CPTN.US,D,20210527,000000,96.9,96.9,96.8,96.8,9532.9,0
CPTN.US,D,20210528,000000,96.8,97,96.8,97,5798.6,0
CPTN.US,D,20210601,000000,97.4,97.4,97.1,97.1,184.9,0
CPTN.US,D,20210602,000000,97.3,97.3,97.2,97.2,62,0
CPTN.US,D,20210603,000000,97.4,97.4,97.3,97.3,199.6,0
CPTN.US,D,20210604,000000,97.3,97.3,97.3,97.3,346.8,0
CPTN.US,D,20210607,000000,97.3,97.3,97.2,97.2,876.9,0
CPTN.US,D,20210608,000000,97.214,97.214,97.2,97.2,1031.6,0
CPTN.US,D,20210610,000000,97.5,97.5,97.3,97.3,3511.6,0
CPTN.US,D,20210611,000000,97.3,97.7,97.3,97.5,1441.1,0
CPTN.US,D,20210614,000000,97.6,97.6,97.4,97.5,10160,0
CPTN.US,D,20210615,000000,97.5,97.8,97.5,97.5,13125.4,0
CPTN.US,D,20210616,000000,97.6,97.7,97.4,97.5,1819.5,0
CPTN.US,D,20210617,000000,97.712,97.712,97.5,97.601,8645,0
CPTN.US,D,20210621,000000,97.5,97.8,97.5,97.5,330.4,0
CPTN.US,D,20210622,000000,97.5,97.9,97.5,97.9,81.3,0
CPTN.US,D,20210623,000000,97.1,97.7,97.1,97.7,2056.4,0
CPTN.US,D,20210624,000000,97.5,97.5,97.5,97.5,29.1,0
CPTN.US,D,20210628,000000,97.5,97.5,97.2,97.3,10297.2,0
CPTN.US,D,20210629,000000,97.1,97.2,97.1,97.1,1932,0
CPTN.US,D,20210630,000000,97.1,97.1,97,97,136.8,0
CPTN.US,D,20210701,000000,97.1,97.1,97,97,126.4,0
CPTN.US,D,20210702,000000,97.1,97.1,97,97,3041.4,0
CPTN.US,D,20210706,000000,97.1,97.2,97,97.2,2927.1,0
CPTN.US,D,20210707,000000,97.2,97.2,97.2,97.2,49.4,0
CPTN.US,D,20210708,000000,97.1,97.1,97.1,97.1,28.5,0
CPTN.US,D,20210709,000000,97.3,97.3,97.3,97.3,20.3,0
CPTN.US,D,20210713,000000,97.3,97.3,97.3,97.3,31.1,0
CPTN.US,D,20210714,000000,97.3,97.4,97.2,97.3,2060.4,0
CPTN.US,D,20210716,000000,97.453,97.453,97.2,97.2,567.1,0
CPTN.US,D,20210719,000000,97.3,97.3,97.2,97.2,335.2,0
CPTN.US,D,20210720,000000,97.7,97.7,97.3,97.3,870.3,0
CPTN.US,D,20210722,000000,97.3,97.3,97.3,97.3,163.6,0
CPTN.US,D,20210723,000000,97.5,97.5,97.5,97.5,30.9,0
CPTN.US,D,20210726,000000,97.5,97.699,97.5,97.6,1309.2,0
CPTN.US,D,20210727,000000,97.5,97.8,97.5,97.6,2005.8,0
CPTN.US,D,20210728,000000,97.4,97.5,97.4,97.5,100.7,0
CPTN.US,D,20210729,000000,97.6,97.6,97.4,97.4,71,0
CPTN.US,D,20210730,000000,97.3,97.3,97.2,97.3,1155,0
CPTN.US,D,20210802,000000,97.4,97.5,97.3,97.5,225.2,0
CPTN.US,D,20210803,000000,97.4,97.6,97.1,97.4,1121.6,0
CPTN.US,D,20210804,000000,97.3,97.9,97,97.2,9473.5,0
CPTN.US,D,20210805,000000,97.9,98.7,97.9,98.7,68200.1,0
CPTN.US,D,20210806,000000,98.4,98.8,97.684,98.6,8029.9,0
CPTN.US,D,20210809,000000,98.5,99,98.2,98.7,10323.1,0
CPTN.US,D,20210810,000000,98.8,98.8,98.2,98.8,4046.5,0
CPTN.US,D,20210811,000000,98.696,98.8,98.4,98.8,4861.8,0
CPTN.US,D,20210812,000000,98.5,98.8,98.5,98.7,330.8,0
CPTN.US,D,20210813,000000,98.5,99,98.5,98.8,1089.6,0
CPTN.US,D,20210816,000000,99,99.2,98.4,99.2,5980.9,0
CPTN.US,D,20210817,000000,98.7,99.6,98.4,99.4,83895.3,0
CPTN.US,D,20210818,000000,98.7,98.899,98.5,98.7,955.2,0
CPTN.US,D,20210819,000000,98.69,98.7,98.4,98.5,2455.9,0
CPTN.US,D,20210820,000000,98.512,98.512,98.512,98.512,77.2,0
CPTN.US,D,20210823,000000,99,99,98.1,98.517,4800.4,0
CPTN.US,D,20210824,000000,98.5,99.1,98.2,98.75,34605.1,0
CPTN.US,D,20210825,000000,98.5,98.9,98.4,98.4,2604.4,0
CPTN.US,D,20210826,000000,98.1,99,98.1,98.5,421.7,0
CPTN.US,D,20210827,000000,98.5,99,98.4,98.5,5767.7,0
CPTN.US,D,20210830,000000,98.5,99,98.4,98.4,7370,0
CPTN.US,D,20210831,000000,98.5,98.8,98.4,98.8,14549.4,0
CPTN.US,D,20210901,000000,98.4,98.9,98.4,98.7,1318.5,0
CPTN.US,D,20210902,000000,98.6,98.9,98.4,98.7,5534.4,0
CPTN.US,D,20210903,000000,98.4,98.6,98.4,98.6,1523.5,0
CPTN.US,D,20210907,000000,98.2,99,98.2,99,3163.6,0
CPTN.US,D,20210908,000000,99.2,99.2,99.2,99.2,390,0
CPTN.US,D,20210909,000000,99,99.3,98.7,99.3,74811.1,0
CPTN.US,D,20210910,000000,99.4,99.6,99.05,99.3,152403.9,0
CPTN.US,D,20210913,000000,99.4,99.4,98.4,99,30749.1,0
CPTN.US,D,20210914,000000,98.9,99.1,98.9,99,3932.8,0
CPTN.US,D,20210915,000000,99,99.4,98.9,99,4022.3,0
CPTN.US,D,20210916,000000,98.8,99.1,98.6,99,13612.5,0
CPTN.US,D,20210917,000000,99,99.1,98.9,99,1132.2,0
CPTN.US,D,20210920,000000,98.9,98.9,98.8,98.8,304.4,0
CPTN.US,D,20210921,000000,99,99.2,98.8,99.2,2733.3,0
CPTN.US,D,20210922,000000,99.3,99.3,98.8,99.1,632.3,0
CPTN.US,D,20210923,000000,99,99.4,99,99.25,13069.5,0
CPTN.US,D,20210924,000000,98.941,99.4,98.9,99.4,789.5,0
CPTN.US,D,20210927,000000,99.2,99.5,98.9,99.099,1217.6,0
CPTN.US,D,20210928,000000,99.3,99.5,99.023,99.4,15465.9,0
CPTN.US,D,20210929,000000,98.9,99,98.5,98.9,3818.9,0
CPTN.US,D,20210930,000000,98.8,99.2,98.8,98.8,4353.3,0
CPTN.US,D,20211001,000000,99.1,99.5,99,99,1650.1,0
CPTN.US,D,20211004,000000,99.5,99.5,98.972,99,635.2,0
CPTN.US,D,20211005,000000,99,99.4,99,99.4,534,0
CPTN.US,D,20211006,000000,99.1,99.1,99.1,99.1,68.6,0
CPTN.US,D,20211007,000000,99.25,99.25,99,99,251.1,0
CPTN.US,D,20211008,000000,99.3,99.3,99,99.2,541.5,0
CPTN.US,D,20211011,000000,99.3,99.3,99.25,99.25,52.5,0
CPTN.US,D,20211013,000000,99.5,99.5,99.1,99.5,849.7,0
CPTN.US,D,20211014,000000,99.3,99.3,99.1,99.3,1057.2,0
CPTN.US,D,20211015,000000,99.25,99.5,99.1,99.5,3494.5,0
CPTN.US,D,20211018,000000,99.11,99.3,99.1,99.2,1567,0
CPTN.US,D,20211019,000000,99,99.3,99,99.2,1862.1,0
CPTN.US,D,20211020,000000,98.9,99.3,98.9,99.3,2103.8,0
CPTN.US,D,20211022,000000,99.3,99.5,99.3,99.45,1541.5,0
CPTN.US,D,20211025,000000,99.5,99.9,99,99.9,4064.3,0
