<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSLRF.US,D,20220308,000000,0.2,0.25,0.2,0.2,1808770,0
CSLRF.US,D,20220309,000000,0.22,0.22,0.16,0.16,724749,0
CSLRF.US,D,20220310,000000,0.17,0.17,0.15,0.15,657700,0
CSLRF.US,D,20220311,000000,0.1501,0.1501,0.1501,0.1501,16772,0
CSLRF.US,D,20220316,000000,0.1501,0.1501,0.1501,0.1501,100,0
CSLRF.US,D,20220317,000000,0.1501,0.16,0.1501,0.16,6560,0
CSLRF.US,D,20220324,000000,0.16,0.1601,0.16,0.1601,25000,0
CSLRF.US,D,20220325,000000,0.16,0.16,0.16,0.16,161000,0
CSLRF.US,D,20220328,000000,0.1701,0.1701,0.1701,0.1701,5500,0
CSLRF.US,D,20220329,000000,0.19,0.19,0.1501,0.1501,400500,0
CSLRF.US,D,20220405,000000,0.17,0.17,0.169899,0.169899,300,0
CSLRF.US,D,20220407,000000,0.179899,0.179899,0.179899,0.179899,200,0
CSLRF.US,D,20220408,000000,0.18,0.1807,0.18,0.18,21600,0
CSLRF.US,D,20220411,000000,0.168399,0.168399,0.168399,0.168399,101,0
CSLRF.US,D,20220413,000000,0.18,0.18,0.18,0.18,3000,0
CSLRF.US,D,20220414,000000,0.1899,0.19,0.1899,0.19,200,0
CSLRF.US,D,20220418,000000,0.304,0.304,0.19,0.19,218,0
CSLRF.US,D,20220422,000000,0.1701,0.1701,0.17,0.17,46399,0
CSLRF.US,D,20220428,000000,0.1701,0.1701,0.1701,0.1701,50100,0
CSLRF.US,D,20220502,000000,0.1701,0.1701,0.1701,0.1701,2400,0
CSLRF.US,D,20220503,000000,0.184899,0.184899,0.184899,0.184899,5000,0
CSLRF.US,D,20220510,000000,0.170101,0.170401,0.17,0.170401,1900,0
CSLRF.US,D,20220517,000000,0.17,0.17,0.1699,0.1699,823400,0
CSLRF.US,D,20220518,000000,0.1539,0.2436,0.1539,0.221,2713,0
CSLRF.US,D,20220520,000000,0.14,0.299,0.14,0.2,4401,0
CSLRF.US,D,20220523,000000,0.259,0.259,0.16,0.16,2000,0
CSLRF.US,D,20220524,000000,0.18,0.18,0.165,0.165,600,0
CSLRF.US,D,20220525,000000,0.2335,0.2335,0.2102,0.2335,1600,0
CSLRF.US,D,20220601,000000,0.1802,0.1802,0.175,0.175,368281,0
CSLRF.US,D,20220602,000000,0.16,0.16,0.16,0.16,558,0
CSLRF.US,D,20220603,000000,0.151,0.151,0.151,0.151,1447,0
CSLRF.US,D,20220606,000000,0.17,0.17,0.0745,0.1,2938,0
CSLRF.US,D,20220607,000000,0.1382,0.1382,0.1299,0.1299,200,0
CSLRF.US,D,20220609,000000,0.12,0.12,0.12,0.12,102,0
CSLRF.US,D,20220629,000000,0.15,0.15,0.15,0.15,10700,0
CSLRF.US,D,20220630,000000,0.145,0.145,0.1,0.1,24320,0
CSLRF.US,D,20220707,000000,0.1001,0.100626,0.1001,0.100626,11800,0
CSLRF.US,D,20220708,000000,0.1,0.1,0.1,0.1,200000,0
CSLRF.US,D,20220711,000000,0.1298,0.1298,0.1298,0.1298,500,0
CSLRF.US,D,20220715,000000,0.14,0.15,0.14,0.15,2500,0
CSLRF.US,D,20220719,000000,0.1277,0.1277,0.11,0.11,600,0
CSLRF.US,D,20220721,000000,0.109,0.109,0.09,0.09,44900,0
CSLRF.US,D,20220725,000000,0.0891,0.0891,0.0891,0.0891,151,0
CSLRF.US,D,20220801,000000,0.117,0.117,0.09,0.09,1878,0
CSLRF.US,D,20220803,000000,0.09,0.09,0.09,0.09,1700,0
CSLRF.US,D,20220810,000000,0.1185,0.1185,0.1185,0.1185,1000,0
CSLRF.US,D,20220812,000000,0.1185,0.1185,0.1185,0.1185,100,0
CSLRF.US,D,20220831,000000,0.1185,0.1185,0.1185,0.1185,12086,0
CSLRF.US,D,20220921,000000,0.12,0.12,0.1191,0.1197,2000,0
CSLRF.US,D,20220922,000000,0.1149,0.1149,0.11,0.11,23411,0
CSLRF.US,D,20220930,000000,0.109,0.109,0.09,0.09,12846,0
CSLRF.US,D,20221003,000000,0.08,0.08,0.08,0.08,5002,0
CSLRF.US,D,20221004,000000,0.08,0.0801,0.075,0.08,170988,0
CSLRF.US,D,20221007,000000,0.0881,0.0881,0.0881,0.0881,5845,0
CSLRF.US,D,20221018,000000,0.1001,0.105,0.1,0.1001,11447,0
CSLRF.US,D,20221024,000000,0.1001,0.125,0.1,0.1,92476,0
CSLRF.US,D,20221028,000000,0.09,0.09,0.09,0.09,100000,0
CSLRF.US,D,20221031,000000,0.09,0.1125,0.09,0.1125,4584,0
CSLRF.US,D,20221104,000000,0.1091,0.1091,0.1091,0.1091,300,0
CSLRF.US,D,20221108,000000,0.09,0.0901,0.09,0.09,2300,0
CSLRF.US,D,20221111,000000,0.03,0.03,0.0201,0.0201,3000,0
CSLRF.US,D,20221122,000000,0.0223,0.0295,0.0223,0.0295,33840,0
CSLRF.US,D,20221123,000000,0.0325,0.0325,0.0325,0.0325,20000,0
CSLRF.US,D,20221125,000000,0.08,0.08,0.08,0.08,2002,0
CSLRF.US,D,20221129,000000,0.0325,0.0325,0.0325,0.0325,100,0
CSLRF.US,D,20221130,000000,0.05,0.0577,0.05,0.0559,77985,0
CSLRF.US,D,20221201,000000,0.0435,0.0435,0.0336,0.0336,1210,0
CSLRF.US,D,20221206,000000,0.04,0.0602,0.04,0.0602,149352,0
CSLRF.US,D,20221209,000000,0.1,0.1,0.0999,0.0999,40451,0
CSLRF.US,D,20221212,000000,0.1,0.1,0.1,0.1,184,0
CSLRF.US,D,20221213,000000,0.15,0.15,0.15,0.15,10020,0
CSLRF.US,D,20221214,000000,0.11,0.11,0.11,0.11,345,0
CSLRF.US,D,20221230,000000,0.0846,0.0846,0.0701,0.0701,35200,0
CSLRF.US,D,20230103,000000,0.11,0.11,0.0701,0.0701,20696,0
CSLRF.US,D,20230104,000000,0.09,0.0965,0.09,0.0965,486,0
CSLRF.US,D,20230110,000000,0.096,0.096,0.096,0.096,175,0
CSLRF.US,D,20230113,000000,0.14,0.1499,0.0823,0.0823,6963,0
CSLRF.US,D,20230117,000000,0.0823,0.1068,0.08,0.08,70715,0
CSLRF.US,D,20230123,000000,0.083,0.09,0.08,0.0895,15912,0
CSLRF.US,D,20230201,000000,0.08,0.08,0.08,0.08,408762,0
CSLRF.US,D,20230222,000000,0.0888,0.0888,0.0801,0.0801,19405,0
CSLRF.US,D,20230308,000000,0.08925,0.0975,0.0892,0.0975,76631,0
CSLRF.US,D,20230309,000000,0.105,0.105,0.105,0.105,1128,0
CSLRF.US,D,20230310,000000,0.0901,0.0901,0.0901,0.0901,25476,0
CSLRF.US,D,20230324,000000,0.0837,0.0837,0.0837,0.0837,5400,0
CSLRF.US,D,20230331,000000,0.0847,0.0925,0.0847,0.09,235000,0
CSLRF.US,D,20230406,000000,0.0847,0.0925,0.0847,0.0925,901,0
CSLRF.US,D,20230411,000000,0.0847,0.0925,0.0801,0.092,46922,0
CSLRF.US,D,20230412,000000,0.08,0.0801,0.08,0.0801,6685,0
CSLRF.US,D,20230413,000000,0.08,0.0801,0.0765,0.08,98203,0
CSLRF.US,D,20230417,000000,0.095,0.095,0.095,0.095,1500,0
CSLRF.US,D,20230424,000000,0.09,0.09,0.09,0.09,100,0
CSLRF.US,D,20230428,000000,0.095,0.095,0.09,0.09,5486,0
CSLRF.US,D,20230501,000000,0.095,0.095,0.095,0.095,120637,0
CSLRF.US,D,20230502,000000,0.109999,0.109999,0.109999,0.109999,1000,0
CSLRF.US,D,20230508,000000,0.11,0.11,0.10975,0.11,4100,0
CSLRF.US,D,20230509,000000,0.095,0.095,0.0941,0.0941,18100,0
CSLRF.US,D,20230515,000000,0.085,0.0851,0.085,0.0851,17100,0
CSLRF.US,D,20230516,000000,0.11,0.11,0.0901,0.0901,29700,0
CSLRF.US,D,20230523,000000,0.15,0.15,0.15,0.15,1000,0
CSLRF.US,D,20230524,000000,0.14,0.15,0.14,0.15,900,0
CSLRF.US,D,20230525,000000,0.1,0.1,0.1,0.1,100,0
CSLRF.US,D,20230526,000000,0.14,0.14,0.14,0.14,150000,0
CSLRF.US,D,20230530,000000,0.08501,0.08501,0.08501,0.08501,1000,0
CSLRF.US,D,20230601,000000,0.12,0.12,0.12,0.12,6300,0
CSLRF.US,D,20230602,000000,0.12,0.12,0.12,0.12,5000,0
CSLRF.US,D,20230605,000000,0.115,0.115,0.0901,0.0901,5100,0
CSLRF.US,D,20230606,000000,0.1,0.1,0.1,0.1,232000,0
CSLRF.US,D,20230612,000000,0.1,0.1001,0.1,0.1,11070,0
CSLRF.US,D,20230620,000000,0.139899,0.139899,0.0901,0.0901,200,0
CSLRF.US,D,20230623,000000,0.0901,0.0901,0.0901,0.0901,1000,0
CSLRF.US,D,20230627,000000,0.13,0.14,0.13,0.14,900,0
CSLRF.US,D,20230706,000000,0.14,0.14,0.14,0.14,1830,0
CSLRF.US,D,20230712,000000,0.14,0.14,0.0802,0.1011,5221,0
CSLRF.US,D,20230713,000000,0.11,0.1497,0.0924,0.094,5515,0
CSLRF.US,D,20230714,000000,0.1,0.1,0.1,0.1,553,0
CSLRF.US,D,20230718,000000,0.1152,0.1152,0.1152,0.1152,210,0
CSLRF.US,D,20230726,000000,0.1042,0.1042,0.1,0.1,52300,0
CSLRF.US,D,20230727,000000,0.095,0.095,0.095,0.095,156,0
CSLRF.US,D,20230728,000000,0.0962,0.0962,0.0962,0.0962,157,0
CSLRF.US,D,20230804,000000,0.1,0.1,0.1,0.1,602,0
CSLRF.US,D,20230808,000000,0.1,0.1,0.0951,0.0951,700,0
CSLRF.US,D,20230809,000000,0.0977,0.0977,0.0751,0.0751,77462,0
CSLRF.US,D,20230811,000000,0.0843,0.086,0.0799,0.0799,1150,0
CSLRF.US,D,20230814,000000,0.0954,0.0954,0.08,0.09,107668,0
CSLRF.US,D,20230815,000000,0.091,0.091,0.08,0.091,17095,0
CSLRF.US,D,20230816,000000,0.084,0.084,0.0775,0.0805,227111,0
CSLRF.US,D,20230817,000000,0.0806,0.08375,0.0641,0.08375,102461,0
CSLRF.US,D,20230821,000000,0.08,0.08,0.08,0.08,468,0
CSLRF.US,D,20230822,000000,0.0801,0.0901,0.08,0.0901,53300,0
CSLRF.US,D,20230828,000000,0.095,0.1,0.095,0.1,22830,0
CSLRF.US,D,20230906,000000,0.0915,0.0937,0.09,0.0901,11702,0
CSLRF.US,D,20230912,000000,0.0915,0.0915,0.0901,0.0901,22830,0
CSLRF.US,D,20230914,000000,0.0915,0.0975,0.09,0.09,56442,0
CSLRF.US,D,20230922,000000,0.095,0.095,0.08,0.091,66147,0
CSLRF.US,D,20230925,000000,0.0794,0.0794,0.0794,0.0794,100,0
CSLRF.US,D,20230926,000000,0.09,0.091,0.0887,0.091,70040,0
CSLRF.US,D,20231002,000000,0.09,0.09,0.076,0.076,10400,0
CSLRF.US,D,20231003,000000,0.094,0.1,0.07,0.0796,34169,0
CSLRF.US,D,20231004,000000,0.07,0.07,0.07,0.07,300,0
CSLRF.US,D,20231005,000000,0.1,0.1,0.09,0.1,481448,0
CSLRF.US,D,20231006,000000,0.1,0.1,0.1,0.1,247,0
CSLRF.US,D,20231010,000000,0.11,0.14,0.11,0.14,1400,0
CSLRF.US,D,20231102,000000,0.11,0.114,0.11,0.11,10801,0
CSLRF.US,D,20231106,000000,0.1157,0.1157,0.11,0.11,501544,0
CSLRF.US,D,20231107,000000,0.1101,0.1101,0.0954,0.0954,10667,0
CSLRF.US,D,20231108,000000,0.1,0.1,0.1,0.1,2300,0
CSLRF.US,D,20231110,000000,0.1,0.1,0.07,0.09,23892,0
CSLRF.US,D,20231115,000000,0.0811,0.0811,0.07,0.07,32052,0
