<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTSUF.US,D,20240419,000000,11.19,11.49,11.19,11.49,1843,0
CTSUF.US,D,20240503,000000,11.9998,13,11.52,12.41,13358,0
CTSUF.US,D,20240510,000000,11.11,11.11,11.11,11.11,179,0
CTSUF.US,D,20240522,000000,11.21,11.3,11.11,11.11,2791,0
CTSUF.US,D,20240524,000000,11.35,11.49,11.35,11.49,502,0
CTSUF.US,D,20240529,000000,11.55,12,11.3,11.3,11058,0
CTSUF.US,D,20240531,000000,11.25,11.25,11.25,11.25,103,0
CTSUF.US,D,20240612,000000,11.35,11.35,11.35,11.35,1006,0
CTSUF.US,D,20240731,000000,11.35,11.39,11.35,11.36,509,0
CTSUF.US,D,20240805,000000,11.8,11.81,11.8,11.81,470,0
CTSUF.US,D,20240806,000000,11.7,11.7,11.21,11.42,600,0
CTSUF.US,D,20240807,000000,11.31,11.31,11.31,11.31,200,0
CTSUF.US,D,20240812,000000,11.4,11.4,11.25,11.25,2069,0
CTSUF.US,D,20240813,000000,11.21,11.21,11.21,11.21,106,0
CTSUF.US,D,20240819,000000,11.3998,11.58,11.38,11.4,2060,0
CTSUF.US,D,20240924,000000,11.31,11.31,11.31,11.31,500,0
CTSUF.US,D,20240930,000000,11.1276,11.1276,11.1276,11.1276,200,0
CTSUF.US,D,20241008,000000,11.49,11.49,11.49,11.49,200,0
CTSUF.US,D,20241023,000000,11.53,11.53,11.53,11.53,371,0
CTSUF.US,D,20241029,000000,11.65,11.65,11.65,11.65,300,0
