<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYTOF.US,D,20140806,000000,488000,500000,480000,480000,22.0775,0
CYTOF.US,D,20140807,000000,480800,482400,480000,480800,3.3875,0
CYTOF.US,D,20140808,000000,481600,492000,480000,486400,0.65,0
CYTOF.US,D,20140811,000000,491200,527200,484800,524400,1.5425000000000002,0
CYTOF.US,D,20140812,000000,544000,544000,520000,543200,0.7400000000000001,0
CYTOF.US,D,20140813,000000,524800,534400,512000,528000,0.7350000000000001,0
CYTOF.US,D,20140814,000000,530400,540000,496800,540000,0.7975000000000001,0
CYTOF.US,D,20140815,000000,517600,542400,511208,523200,0.8325000000000001,0
CYTOF.US,D,20140818,000000,511200,534480,511200,512000,0.3875,0
CYTOF.US,D,20140819,000000,512000,518400,480000,497600,0.9700000000000002,0
CYTOF.US,D,20140820,000000,496000,513600,487200,495200,0.4925000000000001,0
CYTOF.US,D,20140821,000000,487200,503200,487200,488800,0.135,0
CYTOF.US,D,20140822,000000,489600,504000,489600,492000,0.55,0
CYTOF.US,D,20140825,000000,491200,524800,489600,492800,3.9975000000000005,0
CYTOF.US,D,20140826,000000,492000,520000,480000,487200,0.5800000000000001,0
CYTOF.US,D,20140827,000000,489600,516800,489600,493600,0.28750000000000003,0
CYTOF.US,D,20140828,000000,492800,492800,480800,488000,0.08250000000000002,0
CYTOF.US,D,20140829,000000,491200,500000,491200,492000,0.41250000000000003,0
CYTOF.US,D,20140902,000000,486400,497600,450400,454400,1.7225000000000001,0
CYTOF.US,D,20140903,000000,474400,478400,455200,472000,0.8300000000000001,0
CYTOF.US,D,20140904,000000,477600,477600,424800,429600,0.6800000000000002,0
CYTOF.US,D,20140905,000000,432800,484000,432800,477600,0.6325000000000001,0
CYTOF.US,D,20140908,000000,481600,520000,460000,487200,0.885,0
CYTOF.US,D,20140909,000000,487200,506400,487200,503200,2.4400000000000004,0
CYTOF.US,D,20140910,000000,520000,590400,500000,560000,1.9175000000000002,0
CYTOF.US,D,20140911,000000,592800,598400,531200,536000,0.8500000000000001,0
CYTOF.US,D,20140912,000000,559200,606400,536800,578400,1.9500000000000002,0
CYTOF.US,D,20140915,000000,578400,604000,492608,520800,1.7375,0
CYTOF.US,D,20140916,000000,496000,544000,475200,483200,0.6425000000000001,0
CYTOF.US,D,20140917,000000,483200,496000,460000,488000,0.4925000000000001,0
CYTOF.US,D,20140918,000000,499200,504000,480800,496600,0.6900000000000001,0
CYTOF.US,D,20140919,000000,496000,512000,480800,484800,0.5175000000000001,0
CYTOF.US,D,20140922,000000,481600,516800,464808,487200,0.7075,0
CYTOF.US,D,20140923,000000,470400,499200,464000,472800,0.48750000000000004,0
CYTOF.US,D,20140924,000000,468000,503200,465200,469600,0.335,0
CYTOF.US,D,20140925,000000,485600,485600,460000,461600,0.30250000000000005,0
CYTOF.US,D,20140926,000000,472720,481952,468800,480000,0.13250000000000003,0
CYTOF.US,D,20140929,000000,472000,475200,468008,468008,0.015000000000000003,0
CYTOF.US,D,20140930,000000,471200,480792,461600,461600,0.32000000000000006,0
CYTOF.US,D,20141001,000000,460000,476104,460000,460000,0.12000000000000002,0
CYTOF.US,D,20141002,000000,460000,482400,438400,445600,0.7800000000000001,0
CYTOF.US,D,20141003,000000,448400,448400,424000,425600,0.16500000000000004,0
CYTOF.US,D,20141006,000000,430400,435200,416000,433600,0.14,0
CYTOF.US,D,20141007,000000,432000,435200,378400,385600,0.24500000000000002,0
CYTOF.US,D,20141008,000000,396000,414400,396000,396800,0.06000000000000001,0
CYTOF.US,D,20141009,000000,400000,421600,387200,392800,0.12750000000000003,0
CYTOF.US,D,20141010,000000,394400,403200,392800,392800,0.04750000000000001,0
CYTOF.US,D,20141013,000000,395200,395200,364000,380008,0.12250000000000001,0
CYTOF.US,D,20141014,000000,384000,384000,368000,368000,0.045000000000000005,0
CYTOF.US,D,20141015,000000,368000,372008,331200,353600,0.10250000000000002,0
