<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DECO.US,D,20240913,000000,26.4422,26.4422,26.4422,26.4422,8,0
DECO.US,D,20240916,000000,26.1519,26.1519,26.1519,26.1519,9,0
DECO.US,D,20240917,000000,26.4929,26.4929,26.4929,26.4929,10042,0
DECO.US,D,20240918,000000,26.4219,26.4219,26.4219,26.4219,38,0
DECO.US,D,20240919,000000,27.2081,27.2081,27.2081,27.2081,1,0
DECO.US,D,20240920,000000,27.2915,27.2915,27.2915,27.2915,52,0
DECO.US,D,20240923,000000,27.7693,27.7693,27.7693,27.7693,32,0
DECO.US,D,20240924,000000,28.2599,28.4033,28.2599,28.4033,257,0
DECO.US,D,20240925,000000,28.45,28.73,28.3159,28.3159,9345,0
DECO.US,D,20240926,000000,28.54,29.26,28.54,29.2193,1092,0
DECO.US,D,20240927,000000,29.8,29.8,28.96,29.0468,757,0
DECO.US,D,20240930,000000,28.46,28.46,28.3147,28.3147,289,0
DECO.US,D,20241001,000000,28.43,28.43,27.419,27.419,293,0
DECO.US,D,20241002,000000,27.87,27.87,27.82,27.82,102,0
DECO.US,D,20241003,000000,27.76,28.05,27.76,28.05,768,0
DECO.US,D,20241004,000000,28.7499,28.7499,28.295,28.67,1188,0
DECO.US,D,20241007,000000,28.21,28.47,28.21,28.47,1059,0
DECO.US,D,20241008,000000,28.51,28.51,28.51,28.51,2,0
DECO.US,D,20241009,000000,28.24,28.24,28.129,28.129,387,0
DECO.US,D,20241010,000000,28.0422,28.0422,28.0422,28.0422,82,0
DECO.US,D,20241011,000000,29.5597,29.5597,29.5597,29.5597,8,0
DECO.US,D,20241014,000000,30.0956,30.0956,30.0956,30.0956,35,0
DECO.US,D,20241015,000000,29.7986,29.7986,29.7986,29.7986,8,0
DECO.US,D,20241016,000000,31.0438,31.0438,31.0438,31.0438,64,0
DECO.US,D,20241017,000000,30.9868,30.9868,30.9868,30.9868,3,0
DECO.US,D,20241018,000000,31.7019,31.7019,31.7019,31.7019,1,0
DECO.US,D,20241021,000000,32.4953,32.4953,32.4953,32.4953,23,0
DECO.US,D,20241022,000000,32.46,32.79,32.46,32.79,1308,0
DECO.US,D,20241023,000000,31.65,31.9761,31.65,31.9761,1246,0
DECO.US,D,20241024,000000,32.5864,32.5864,32.5864,32.5864,14,0
DECO.US,D,20241025,000000,33,33,32.3718,32.3718,146,0
DECO.US,D,20241028,000000,33.49,33.7119,33.49,33.7119,1102,0
DECO.US,D,20241029,000000,33.94,33.99,33.7746,33.7746,4379,0
DECO.US,D,20241030,000000,33.52,33.7028,33.22,33.3816,8955,0
DECO.US,D,20241031,000000,31.73,31.735,31.59,31.6422,1076,0
DECO.US,D,20241101,000000,32.4693,32.4693,31.595,31.62,2743,0
DECO.US,D,20241104,000000,30.8821,30.8821,30.8821,30.8821,2,0
DECO.US,D,20241105,000000,32.0124,32.0124,32.0124,32.0124,8,0
DECO.US,D,20241106,000000,34.6,36.2419,34.6,36.2419,1773,0
DECO.US,D,20241107,000000,36.25,36.9558,35.9045,36.9558,3063,0
DECO.US,D,20241108,000000,37.7,41.47,37.03,37.4016,3012,0
DECO.US,D,20241111,000000,39.27,40.69,38.91,40.3039,11355,0
DECO.US,D,20241112,000000,39.49,40.41,38.84,40.0319,2588,0
DECO.US,D,20241113,000000,40.77,40.81,37.72,37.72,14211,0
DECO.US,D,20241114,000000,36.87,36.87,36.511,36.63,2712,0
DECO.US,D,20241115,000000,36.63,37.39,36.63,37.39,6795,0
DECO.US,D,20241118,000000,37.45,38.27,37.45,37.6,691,0
DECO.US,D,20241120,000000,39.63,39.63,38.4953,38.4953,1648,0
DECO.US,D,20241121,000000,40,40,37.09,37.6424,2355,0
DECO.US,D,20241122,000000,39.57,39.57,39.14,39.2218,3077,0
DECO.US,D,20241125,000000,39.96,39.96,37.89,38.3562,2499,0
DECO.US,D,20241126,000000,37.5,37.5,36.4044,36.4044,1766,0
DECO.US,D,20241127,000000,36.93,38.47,36.93,38.47,592,0
DECO.US,D,20241129,000000,39.12,40.1,39.038,39.038,2007,0
DECO.US,D,20241202,000000,38.2704,38.2704,38.245,38.255,5883,0
DECO.US,D,20241203,000000,38.25,38.281,37.8869,38.0659,1065,0
DECO.US,D,20241204,000000,38.96,40.0194,38.94,40.0194,808,0
DECO.US,D,20241205,000000,41.048,41.048,39.4441,39.4441,847,0
DECO.US,D,20241206,000000,40.08,41.36,40.08,40.79,1539,0
DECO.US,D,20241209,000000,40.37,40.37,38.0491,38.0491,1032,0
DECO.US,D,20241210,000000,37.6904,37.6904,36.9,37.15,18736,0
DECO.US,D,20241211,000000,38.51,38.6,37.869,38.5594,648,0
DECO.US,D,20241213,000000,39.02,39.02,38.6251,38.6251,938,0
DECO.US,D,20241216,000000,39.28,41.2465,39.28,40.9,1145,0
DECO.US,D,20241217,000000,40,40.6057,40,40.24,995,0
DECO.US,D,20241218,000000,39.8,40.2814,36.32,36.32,339,0
DECO.US,D,20241219,000000,36.589,36.589,35.15,35.15,893,0
DECO.US,D,20241223,000000,34.72,34.72,34.56,34.7,1786,0
DECO.US,D,20241224,000000,34.98,36.09,34.98,36.09,685,0
DECO.US,D,20241226,000000,35.7271,35.7386,35.48,35.48,516,0
DECO.US,D,20241230,000000,32.3205,32.65,32.3205,32.61,1523,0
DECO.US,D,20241231,000000,31.9323,32.25,31.9323,32.25,1035,0
DECO.US,D,20250102,000000,32.96,33.73,32.53,33.01,3646,0
