<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGNX.US,D,20250122,000000,4.26,7.5,3.6,7.5,3468702,0
DGNX.US,D,20250123,000000,15.36,22.95,10.11,12.75,9759843,0
DGNX.US,D,20250124,000000,10,10.26,6.64,8.55,582521,0
DGNX.US,D,20250127,000000,7.6,10.285,6.95,9.42,397428,0
DGNX.US,D,20250128,000000,8.68,17.8,8.4,14.99,1738241,0
DGNX.US,D,20250129,000000,15.69,50.15,13.7238,50.15,3341918,0
DGNX.US,D,20250130,000000,43.49,49.5,32.51,35.01,479300,0
DGNX.US,D,20250131,000000,50.655,50.655,25.0001,29.25,712571,0
DGNX.US,D,20250203,000000,33.28,34.73,24.0001,31.42,166918,0
DGNX.US,D,20250204,000000,33.22,40.545,31.7349,36.55,305825,0
DGNX.US,D,20250205,000000,37.08,41,32.31,36.55,98799,0
DGNX.US,D,20250206,000000,39.49,40.8499,34.4201,39.3,152813,0
DGNX.US,D,20250207,000000,39.83,53,39.83,45.25,350208,0
DGNX.US,D,20250210,000000,49.6,51.45,43,44.48,187054,0
DGNX.US,D,20250211,000000,39.1,43.99,38.5,41.34,59290,0
DGNX.US,D,20250212,000000,40.75,49.535,40.75,47.6,124776,0
DGNX.US,D,20250213,000000,49.99,55,49.99,51.91,95419,0
