<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXST.US,D,20250122,000000,4,4.41,3.7,4.06,836553,0
DXST.US,D,20250123,000000,5.25,5.74,2.22,2.5,11609807,0
DXST.US,D,20250124,000000,2.15,2.3,1.9001,2.04,1123114,0
DXST.US,D,20250127,000000,1.72,2.18,1.72,2.13,581805,0
DXST.US,D,20250128,000000,1.94,2.0499,1.64,1.72,408923,0
DXST.US,D,20250129,000000,1.7,2.34,1.6305,2.1579,2241023,0
DXST.US,D,20250130,000000,1.9,2.0145,1.65,1.7,935264,0
DXST.US,D,20250131,000000,1.7,1.74,1.61,1.65,258300,0
DXST.US,D,20250203,000000,1.6,1.71,1.58,1.71,233097,0
DXST.US,D,20250204,000000,1.62,1.9,1.6001,1.9,325187,0
DXST.US,D,20250205,000000,1.8,1.84,1.7,1.78,173764,0
DXST.US,D,20250206,000000,1.72,1.8,1.66,1.74,94299,0
DXST.US,D,20250207,000000,1.69,1.7758,1.59,1.595,109723,0
DXST.US,D,20250210,000000,1.56,1.6999,1.36,1.4,127850,0
DXST.US,D,20250211,000000,1.42,1.4899,1.211,1.34,90963,0
DXST.US,D,20250212,000000,1.31,1.35,1.2131,1.32,114929,0
DXST.US,D,20250213,000000,1.3203,1.34,1.2473,1.34,60025,0
