<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DYNXW.US,D,20241210,000000,0.2,0.25,0.2,0.25,31841,0
DYNXW.US,D,20241211,000000,0.2535,0.2535,0.25,0.25,1057,0
DYNXW.US,D,20241216,000000,0.3187,0.32,0.25,0.3,2608,0
DYNXW.US,D,20241218,000000,0.268,0.268,0.25,0.25,271875,0
DYNXW.US,D,20241223,000000,0.264,0.264,0.26,0.26,893,0
DYNXW.US,D,20241224,000000,0.252,0.252,0.25,0.25,1844,0
DYNXW.US,D,20241226,000000,0.250001,0.250001,0.250001,0.250001,105,0
DYNXW.US,D,20241231,000000,0.264,0.264,0.26,0.26,10030,0
DYNXW.US,D,20250102,000000,0.32,0.32,0.28,0.28,398,0
DYNXW.US,D,20250106,000000,0.270001,0.270001,0.270001,0.270001,156,0
DYNXW.US,D,20250110,000000,0.28,0.28,0.28,0.28,503,0
DYNXW.US,D,20250122,000000,0.276,0.3,0.276,0.29,151828,0
DYNXW.US,D,20250127,000000,0.29,0.29,0.29,0.29,9959,0
DYNXW.US,D,20250128,000000,0.29,0.3,0.29,0.29,12858,0
DYNXW.US,D,20250129,000000,0.29,0.29,0.29,0.29,3535,0
DYNXW.US,D,20250131,000000,0.28,0.29,0.28,0.29,10384,0
DYNXW.US,D,20250203,000000,0.29,0.29,0.29,0.29,3916,0
DYNXW.US,D,20250205,000000,0.29,0.29,0.29,0.29,1601,0
DYNXW.US,D,20250207,000000,0.29,0.29,0.28,0.29,34023,0
DYNXW.US,D,20250210,000000,0.2801,0.2812,0.2801,0.2811,301,0
DYNXW.US,D,20250211,000000,0.28,0.28,0.28,0.28,29060,0
DYNXW.US,D,20250213,000000,0.3,0.3,0.3,0.3,5145,0
