<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDBL.US,D,20220506,000000,1542,1707.54,1524,1698,2933.1516373352,0
EDBL.US,D,20220509,000000,1674,1782,1512,1560,2756.3933057694,0
EDBL.US,D,20220510,000000,1560,1716,1488,1560,1869.9799813002,0
EDBL.US,D,20220511,000000,1428,1512,1260,1284,1314.5749868543,0
EDBL.US,D,20220512,000000,1230,1284,1086,1122,1325.2983200804,0
EDBL.US,D,20220513,000000,1110,1247.94,1002,1098,2606.3766406029,0
EDBL.US,D,20220516,000000,1128,1278,1116,1212,1801.9966486467,0
EDBL.US,D,20220517,000000,1218,1248,1068,1128,462.66832870665,0
EDBL.US,D,20220518,000000,1182,1199.64,972,1056,721.2499927875,0
EDBL.US,D,20220519,000000,1032,1099.98,972,1056.66,263.0933307024,0
EDBL.US,D,20220520,000000,1044,1062,960,972,279.3766638729,0
EDBL.US,D,20220523,000000,954,1074,912,1062,423.01832910315,0
EDBL.US,D,20220524,000000,984,1050,972,1026,222.1199977788,0
EDBL.US,D,20220525,000000,1020,1134,948,1122,720.8899927911,0
EDBL.US,D,20220526,000000,1092,1182,1080,1164,396.5599960344,0
EDBL.US,D,20220527,000000,1104,1206,1104,1164,199.55499800445,0
EDBL.US,D,20220531,000000,1164,1236,1056,1122,268.3633306497,0
EDBL.US,D,20220601,000000,1092,1098,1020,1074,75.66499924335,0
EDBL.US,D,20220602,000000,1080,1086,960,1068,171.8699982813,0
EDBL.US,D,20220603,000000,996,1074,996,1044,102.1899989781,0
EDBL.US,D,20220606,000000,1038,1110,1002,1050,276.99166389675,0
EDBL.US,D,20220607,000000,1010.76,1050,978,996,94.80499905195,0
EDBL.US,D,20220608,000000,1044,1104,978,1026,195.43166471235,0
EDBL.US,D,20220609,000000,1038.72,1038.72,960,1002,155.0366651163,0
EDBL.US,D,20220610,000000,1008,1014,965.28,978,83.3933324994,0
EDBL.US,D,20220613,000000,960,1020,858,918,359.34499640655,0
EDBL.US,D,20220614,000000,918,996,876,900,221.76166444905,0
EDBL.US,D,20220615,000000,948,963,870.9,912,77.72499922275,0
EDBL.US,D,20220616,000000,948,996,912.12,948,137.3799986262,0
EDBL.US,D,20220617,000000,972,1040.1,852,870,234.3566643231,0
EDBL.US,D,20220621,000000,930,1092,912,1038,950.8166571585,0
EDBL.US,D,20220622,000000,1044,1044,936,948,437.899995621,0
EDBL.US,D,20220623,000000,954,960,828.06,870,407.23832926095,0
EDBL.US,D,20220624,000000,870,900,840,870,199.44166467225,0
EDBL.US,D,20220627,000000,870,870,774.06,798,188.81499811185,0
EDBL.US,D,20220628,000000,768,888,762,828,145.6699985433,0
EDBL.US,D,20220629,000000,820.5,822,762,762,75.7366659093,0
EDBL.US,D,20220630,000000,762,882,750,774,893.7399910626,0
EDBL.US,D,20220701,000000,840,840,708,708,180.7766648589,0
EDBL.US,D,20220705,000000,708,708,636,654,173.9699982603,0
EDBL.US,D,20220706,000000,618,714,618,702,112.93166553735,0
EDBL.US,D,20220707,000000,714,719.94,684,708,32.2266663444,0
EDBL.US,D,20220708,000000,690,744,684,708,106.60499893395,0
EDBL.US,D,20220711,000000,708,750,696,719.28,102.6533323068,0
EDBL.US,D,20220712,000000,720,786,720,780,337.86832995465,0
EDBL.US,D,20220713,000000,756,803.7,756,790.32,46.6366662003,0
EDBL.US,D,20220714,000000,798,798,744,768,94.44499905555,0
EDBL.US,D,20220715,000000,762,786,750,756,78.1266658854,0
EDBL.US,D,20220718,000000,750.06,768,720,738,55.3066661136,0
EDBL.US,D,20220719,000000,786,796.86,720.06,744,38.32499961675,0
EDBL.US,D,20220720,000000,762,780,708,720,46.5133328682,0
EDBL.US,D,20220721,000000,714,720,693,714,30.4066663626,0
EDBL.US,D,20220722,000000,713.88,714,666,690,21.2833331205,0
EDBL.US,D,20220725,000000,672,708,654,685.74,145.3766652129,0
EDBL.US,D,20220726,000000,648.06,683.94,630,639,120.833332125,0
EDBL.US,D,20220727,000000,630,665.94,624,651,150.6033318273,0
EDBL.US,D,20220728,000000,654.12,758.22,654.12,750,264.9599973504,0
EDBL.US,D,20220729,000000,774,828,726,798,829.7099917029,0
EDBL.US,D,20220801,000000,816,816,728.52,750,172.1766649449,0
EDBL.US,D,20220802,000000,726,882,708.72,822,947.40165719265,0
EDBL.US,D,20220803,000000,840,954,762,810,1257.3499874265,0
EDBL.US,D,20220804,000000,822,846,690,726,597.1366606953,0
EDBL.US,D,20220805,000000,708,749.94,672,702,262.3533307098,0
EDBL.US,D,20220808,000000,690,738,690,696.6,199.74499800255,0
EDBL.US,D,20220809,000000,726,726,684,684,84.72833248605,0
EDBL.US,D,20220810,000000,696,738,684,720,168.2366649843,0
EDBL.US,D,20220811,000000,708,750,690,696,97.13166569535,0
EDBL.US,D,20220812,000000,726,726,684,702,68.01833265315,0
EDBL.US,D,20220815,000000,708,744,690,708,53.68833279645,0
EDBL.US,D,20220816,000000,756,756,624,654,264.50166402165,0
EDBL.US,D,20220817,000000,672,672,630,648,63.7133326962,0
EDBL.US,D,20220818,000000,656.28,1290,642,804,20609.484793905,0
EDBL.US,D,20220819,000000,744,756,672,732,1043.866656228,0
EDBL.US,D,20220822,000000,696,792,678,708,1268.6183206472,0
EDBL.US,D,20220823,000000,690,761.04,642,660,453.6166621305,0
EDBL.US,D,20220824,000000,672,714,630.06,642,260.43499739565,0
EDBL.US,D,20220825,000000,660,676.8,630,645,232.8199976718,0
EDBL.US,D,20220826,000000,642.06,654,606,612,188.2833314505,0
EDBL.US,D,20220829,000000,600,605.94,516.96,537.06,600.3233273301,0
EDBL.US,D,20220830,000000,537.06,537.06,480.66,504,261.32833072005,0
EDBL.US,D,20220831,000000,502.2,515.94,486,493.26,194.59499805405,0
EDBL.US,D,20220901,000000,516,518.7,471.78,480,71.88499928115,0
EDBL.US,D,20220902,000000,510,535.5,457.38,478.92,163.3433316999,0
EDBL.US,D,20220906,000000,500.58,500.58,468,486,76.58166590085,0
EDBL.US,D,20220907,000000,496.08,522.66,468,498,111.6266655504,0
EDBL.US,D,20220908,000000,480,504,480,481.8,48.5433328479,0
EDBL.US,D,20220909,000000,504,526.8,492,509.34,32.066666346,0
EDBL.US,D,20220912,000000,510,587.34,492.06,559.2,197.03166469635,0
EDBL.US,D,20220913,000000,594,594,528.96,536.94,97.78833235545,0
EDBL.US,D,20220914,000000,563.76,594,510,569.04,477.6266618904,0
EDBL.US,D,20220915,000000,546,585.6,522,546,174.9733315836,0
EDBL.US,D,20220916,000000,525.3,564,516,544.32,43.13166623535,0
EDBL.US,D,20220919,000000,498,540,487.14,504,89.46499910535,0
EDBL.US,D,20220920,000000,510,535.5,486,516,203.9399979606,0
EDBL.US,D,20220921,000000,515.07,564,499.26,499.62,339.399996606,0
EDBL.US,D,20220922,000000,498.96,511.86,489.72,497.34,110.71499889285,0
EDBL.US,D,20220923,000000,494.1,498,438,439.32,84.7066658196,0
EDBL.US,D,20220926,000000,439.32,472.5,438.18,438.36,101.14166565525,0
EDBL.US,D,20220927,000000,450,462,426,426,21.5799997842,0
EDBL.US,D,20220928,000000,437.94,445.5,390,410.58,89.50499910495,0
EDBL.US,D,20220929,000000,408,408,372.06,394.8,54.3499994565,0
EDBL.US,D,20220930,000000,373.32,413.94,373.32,378,24.22499975775,0
EDBL.US,D,20221003,000000,403.26,403.26,360.66,372.06,42.1899995781,0
EDBL.US,D,20221004,000000,399.3,410.94,373.98,400.44,12.69833320635,0
