<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELAB.US,D,20231121,000000,800,800,620,680,3650,0
ELAB.US,D,20231122,000000,700,736,660,694,1005.83,0
ELAB.US,D,20231124,000000,730,786,714.02,740,432.64,0
ELAB.US,D,20231127,000000,744,848.84,694,796,3169.33,0
ELAB.US,D,20231128,000000,802,830,750,808,1718.865,0
ELAB.US,D,20231129,000000,840,840,660,709,5726.925,0
ELAB.US,D,20231130,000000,662,726,482.02,562,1666.415,0
ELAB.US,D,20231201,000000,560,618,510,572,791.765,0
ELAB.US,D,20231204,000000,544,549.98,470,484,866.605,0
ELAB.US,D,20231205,000000,498,550,408,440,890.055,0
ELAB.US,D,20231206,000000,442,530,403.52,472,1962.72,0
ELAB.US,D,20231207,000000,472,574,412,426,1287.73,0
ELAB.US,D,20231208,000000,426,490,308,412,1747.6,0
ELAB.US,D,20231211,000000,400,414,350,370,515.615,0
ELAB.US,D,20231212,000000,324,384,324,346,95.225,0
ELAB.US,D,20231213,000000,346,368,320,359,174.36,0
ELAB.US,D,20231214,000000,348,388.48,320.66,364,188.99,0
ELAB.US,D,20231215,000000,390,484,360,362,1355.675,0
ELAB.US,D,20231218,000000,374,432,364,386.98,607.8,0
ELAB.US,D,20231219,000000,408,423.36,382.84,402.16,153.47,0
ELAB.US,D,20231220,000000,386,408,382,388,126.85,0
ELAB.US,D,20231221,000000,400,400,362,366.04,176.16,0
ELAB.US,D,20231222,000000,366,390,316,366,206.255,0
ELAB.US,D,20231226,000000,360,366,324.02,348,148.09,0
ELAB.US,D,20231227,000000,400,400,350,359.6,127.68,0
ELAB.US,D,20231228,000000,366,370,354,360,43.11,0
ELAB.US,D,20231229,000000,356,370,356,365.64,49.09,0
ELAB.US,D,20240102,000000,364,398,364,378,60.44,0
ELAB.US,D,20240103,000000,372,378,354,367,63.31,0
ELAB.US,D,20240104,000000,360,360,301,320,113.77,0
ELAB.US,D,20240105,000000,312,348,312,332.2,79.735,0
ELAB.US,D,20240108,000000,354,390,346,346,84.175,0
ELAB.US,D,20240109,000000,360,360.02,352,352,11.78,0
ELAB.US,D,20240110,000000,352,352,334.02,352,9.7,0
ELAB.US,D,20240111,000000,354,378,352,356,60.2,0
ELAB.US,D,20240112,000000,361.6,361.6,332.02,342,88.425,0
ELAB.US,D,20240116,000000,676,778,272,278,243828.84,0
ELAB.US,D,20240117,000000,270,270,206,218,9901.14,0
ELAB.US,D,20240118,000000,210,240,188.16,214,3879.395,0
ELAB.US,D,20240119,000000,216,216,194,204,1688.315,0
ELAB.US,D,20240122,000000,206,218,206,206,1654.54,0
ELAB.US,D,20240123,000000,210,210,172.82,176,2612.865,0
ELAB.US,D,20240124,000000,190.2,190.2,154.02,158.4,2072.695,0
ELAB.US,D,20240125,000000,165.2,165.2,140.04,150,1572.99,0
ELAB.US,D,20240126,000000,146.56,157.78,142.18,149,778.195,0
ELAB.US,D,20240129,000000,148,150,135.56,137.02,1063.585,0
ELAB.US,D,20240130,000000,139.54,144,126.02,128,1090.195,0
ELAB.US,D,20240131,000000,130,148,124.02,138.2,2007.09,0
ELAB.US,D,20240201,000000,208,208.02,147.14,168,107535.02,0
ELAB.US,D,20240202,000000,157.2,171.8,157,166.2,5375.225,0
ELAB.US,D,20240205,000000,166,168,150.2,151.5,2111.78,0
ELAB.US,D,20240206,000000,145.84,147.12,136.9,138,1187.76,0
ELAB.US,D,20240207,000000,142,142,126.12,128,1122.605,0
ELAB.US,D,20240208,000000,136,136,122.2,128,1496.66,0
ELAB.US,D,20240209,000000,134.4,137,126,132.5,1153.25,0
ELAB.US,D,20240212,000000,135.8,140,128,130.44,988.795,0
ELAB.US,D,20240213,000000,128.52,134,122.2,128,976.12,0
ELAB.US,D,20240214,000000,124,154,124,149.5,3328.105,0
ELAB.US,D,20240215,000000,150,160,140,145.62,1451.2,0
ELAB.US,D,20240216,000000,150,150,136,136.32,1020.22,0
ELAB.US,D,20240220,000000,140,150,138,148,999.6,0
ELAB.US,D,20240221,000000,146,158.8,136.2,153.8,3643.995,0
ELAB.US,D,20240222,000000,167.98,176,138,141,52292.135,0
ELAB.US,D,20240223,000000,138,143.6,129.72,143,2331.965,0
ELAB.US,D,20240226,000000,137.94,153.6,136,146.6,1112.66,0
ELAB.US,D,20240227,000000,149.72,149.72,136.3,138.02,839.51,0
ELAB.US,D,20240228,000000,141.54,141.96,136,139.98,592.985,0
ELAB.US,D,20240229,000000,136.02,145.1,136.02,139.4,541.675,0
ELAB.US,D,20240301,000000,138.62,154.4,138,148,909.835,0
ELAB.US,D,20240304,000000,141,160,141,150.6,849.41,0
ELAB.US,D,20240305,000000,160,160,146,146.02,799.905,0
ELAB.US,D,20240306,000000,151.7,158.723,146,146.06,292.1,0
ELAB.US,D,20240307,000000,150.4,155.98,142.04,148,675.605,0
ELAB.US,D,20240308,000000,151.2,158,145,154,779.27,0
ELAB.US,D,20240311,000000,151.52,165.96,150,153.2,907.79,0
ELAB.US,D,20240312,000000,161.92,161.92,150,154,513.07,0
ELAB.US,D,20240313,000000,157.8,159,150.4,154.4,328.515,0
ELAB.US,D,20240314,000000,158.6,159,151.2,155.78,269.58,0
ELAB.US,D,20240315,000000,153,158.92,144,146.2,222.215,0
ELAB.US,D,20240318,000000,156,162,148.1,159.4,635.57,0
ELAB.US,D,20240319,000000,156,159.98,151,151,166.24,0
ELAB.US,D,20240320,000000,152.3,152.3,145.18,148,194.52,0
ELAB.US,D,20240321,000000,151.54,154,146.04,152.98,241.14,0
ELAB.US,D,20240322,000000,154,154,146.2,152,121.105,0
ELAB.US,D,20240325,000000,149.06,149.76,138,140.4,634.76,0
ELAB.US,D,20240326,000000,143.8,144,137.02,139.96,285.585,0
ELAB.US,D,20240327,000000,141.98,142,138,138,141.83,0
ELAB.US,D,20240328,000000,140,141.9,136,139,441.425,0
ELAB.US,D,20240401,000000,140,141.9,134,137.94,304.55,0
ELAB.US,D,20240402,000000,137.94,141.8,132.3,137.6,378.795,0
ELAB.US,D,20240403,000000,134,140,132.22,137,318.005,0
ELAB.US,D,20240404,000000,136.2,142,132,136,305.58,0
