<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESN.US,D,20241022,000000,15.55,15.55,15.325,15.3775,116381,0
ESN.US,D,20241023,000000,15.49,15.49,15.2,15.2607,22681,0
ESN.US,D,20241024,000000,15.229,15.234,15.1698,15.225,26854,0
ESN.US,D,20241025,000000,15.26,15.3,15.16,15.16,27375,0
ESN.US,D,20241028,000000,15.37,15.37,15.22,15.23,37957,0
ESN.US,D,20241029,000000,15.21,15.22,15.18,15.18,50600,0
ESN.US,D,20241030,000000,15.04,15.22,15.04,15.14,13371,0
ESN.US,D,20241031,000000,15.04,15.1118,15.0254,15.0254,56008,0
ESN.US,D,20241101,000000,15.25,15.25,15.068,15.068,7589,0
ESN.US,D,20241104,000000,15.2,15.2,14.94,14.99,3571,0
ESN.US,D,20241105,000000,15.12,15.12,14.99,15.11,7460,0
ESN.US,D,20241106,000000,15.38,15.47,15.3199,15.4436,21343,0
ESN.US,D,20241107,000000,15.44,15.495,15.43,15.48,28351,0
ESN.US,D,20241108,000000,15.35,15.6108,15.35,15.58,37113,0
ESN.US,D,20241111,000000,15.68,15.68,15.5982,15.61,4611,0
ESN.US,D,20241112,000000,15.5101,15.5694,15.49,15.52,18489,0
ESN.US,D,20241113,000000,15.55,15.6,15.5,15.59,5185,0
ESN.US,D,20241114,000000,15.5301,15.5301,15.4396,15.4396,12577,0
ESN.US,D,20241115,000000,15.3577,15.3577,15.3,15.32,4056,0
ESN.US,D,20241118,000000,15.26,15.4,15.26,15.4,3135,0
ESN.US,D,20241119,000000,15.33,15.38,15.33,15.38,17185,0
ESN.US,D,20241120,000000,15.34,15.3997,15.3071,15.3997,6232,0
ESN.US,D,20241121,000000,15.395,15.5303,15.38,15.51,11726,0
ESN.US,D,20241122,000000,15.5697,15.5697,15.5303,15.5697,4201,0
ESN.US,D,20241125,000000,15.83,15.83,15.62,15.655,32207,0
ESN.US,D,20241126,000000,15.79,15.79,15.6502,15.7494,7666,0
ESN.US,D,20241127,000000,15.69,15.79,15.69,15.715,18693,0
ESN.US,D,20241129,000000,15.73,15.815,15.73,15.7997,3845,0
ESN.US,D,20241202,000000,15.74,15.76,15.7294,15.76,4458,0
ESN.US,D,20241203,000000,15.81,15.81,15.73,15.7352,10064,0
ESN.US,D,20241204,000000,15.7243,15.75,15.71,15.735,3912,0
ESN.US,D,20241205,000000,15.78,15.78,15.73,15.73,19785,0
ESN.US,D,20241206,000000,15.75,15.77,15.726,15.735,2403,0
ESN.US,D,20241209,000000,15.74,15.74,15.605,15.605,5128,0
ESN.US,D,20241210,000000,15.55,15.61,15.55,15.5703,11251,0
ESN.US,D,20241211,000000,15.63,15.63,15.4648,15.4648,4943,0
ESN.US,D,20241212,000000,15.45,15.4511,15.3838,15.3838,1444,0
ESN.US,D,20241213,000000,15.3487,15.3487,15.32,15.3358,2739,0
