<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURKU.US,D,20240702,000000,10.05,10.07,10.05,10.05,4361427,0
EURKU.US,D,20240703,000000,10.06,10.08,10.06,10.07,204519,0
EURKU.US,D,20240705,000000,10.07,10.1,10.05,10.0777,53442,0
EURKU.US,D,20240708,000000,10.08,10.08,10.07,10.08,55729,0
EURKU.US,D,20240709,000000,10.075,10.08,10.07,10.07,56611,0
EURKU.US,D,20240710,000000,10.08,10.08,10.05,10.06,30227,0
EURKU.US,D,20240711,000000,10.07,10.08,10.07,10.07,10660,0
EURKU.US,D,20240712,000000,10.08,10.08,10.07,10.08,92580,0
EURKU.US,D,20240715,000000,10.08,10.08,10.07,10.08,3900,0
EURKU.US,D,20240716,000000,10.08,10.105,10.08,10.09,101560,0
EURKU.US,D,20240717,000000,10.09,10.1,10.08,10.08,12722,0
EURKU.US,D,20240718,000000,10.1,10.105,10.09,10.1,3038,0
EURKU.US,D,20240719,000000,10.1,10.1,10.1,10.1,1548,0
EURKU.US,D,20240722,000000,10.12,10.12,10.11,10.11,2252,0
EURKU.US,D,20240723,000000,10.14,10.15,10.12,10.13,109970,0
EURKU.US,D,20240724,000000,10.13,10.15,10.13,10.14,7263,0
EURKU.US,D,20240725,000000,10.14,10.145,10.14,10.14,1835,0
EURKU.US,D,20240726,000000,10.13,10.14,10.13,10.14,482,0
EURKU.US,D,20240729,000000,10.13,10.13,10.13,10.13,295,0
EURKU.US,D,20240730,000000,10.13,10.14,10.13,10.13,1494,0
EURKU.US,D,20240731,000000,10.13,10.14,10.12,10.12,47821,0
EURKU.US,D,20240802,000000,10.12,10.13,10.12,10.13,6225,0
EURKU.US,D,20240805,000000,10.15,10.16,10.14,10.15,136007,0
EURKU.US,D,20240806,000000,10.15,10.15,10.13,10.13,173932,0
EURKU.US,D,20240807,000000,10.15,10.16,10.15,10.16,954,0
EURKU.US,D,20240808,000000,10.17,10.17,10.16,10.16,350,0
EURKU.US,D,20240809,000000,10.17,10.17,10.16,10.16,4414,0
EURKU.US,D,20240812,000000,10.16,10.17,10.15,10.17,4632,0
EURKU.US,D,20240813,000000,10.17,10.18,10.17,10.18,3985,0
EURKU.US,D,20240814,000000,10.17,10.17,10.17,10.17,1529,0
EURKU.US,D,20240815,000000,10.17,10.18,10.17,10.18,2060,0
EURKU.US,D,20240816,000000,10.18,10.18,10.18,10.18,735,0
EURKU.US,D,20240819,000000,10.18,10.18,10.18,10.18,167,0
EURKU.US,D,20240820,000000,10.21,10.21,10.2,10.2,27034,0
EURKU.US,D,20240821,000000,10.2,10.2,10.2,10.2,48074,0
EURKU.US,D,20240822,000000,10.21,10.21,10.21,10.21,5223,0
EURKU.US,D,20240823,000000,10.17,10.19,10.17,10.19,9901,0
EURKU.US,D,20240826,000000,10.2,10.2,10.2,10.2,1482,0
EURKU.US,D,20240827,000000,10.1934,10.2011,10.1934,10.2,1609,0
EURKU.US,D,20240829,000000,10.2,10.2,10.19,10.2,17017,0
EURKU.US,D,20240830,000000,10.2,10.2,10.19,10.19,6503,0
EURKU.US,D,20240903,000000,10.2,10.225,10.19,10.22,10921,0
EURKU.US,D,20240904,000000,10.22,10.22,10.22,10.22,102,0
EURKU.US,D,20240905,000000,10.23,10.23,10.23,10.23,336,0
EURKU.US,D,20240909,000000,10.23,10.235,10.2,10.23,7827,0
EURKU.US,D,20240910,000000,10.24,10.24,10.22,10.23,52362,0
EURKU.US,D,20240911,000000,10.24,10.24,10.2,10.24,26638,0
EURKU.US,D,20240912,000000,10.23,10.24,10.23,10.23,139588,0
EURKU.US,D,20240913,000000,10.24,10.24,10.23,10.23,37283,0
EURKU.US,D,20240917,000000,10.22,10.22,10.22,10.22,103,0
EURKU.US,D,20240918,000000,10.22,10.22,10.22,10.22,356,0
EURKU.US,D,20240923,000000,10.24,10.6539,10.24,10.6539,44448,0
EURKU.US,D,20240927,000000,10.31,10.31,10.22,10.22,2734,0
EURKU.US,D,20240930,000000,10.22,10.22,10.215,10.22,13732,0
EURKU.US,D,20241003,000000,10.18,10.18,10.18,10.18,257,0
EURKU.US,D,20241008,000000,10.25,10.25,10.25,10.25,100,0
EURKU.US,D,20241023,000000,10.4,10.4,10.4,10.4,207,0
EURKU.US,D,20241113,000000,10.4,10.4,10.26,10.26,2101,0
EURKU.US,D,20241115,000000,10.4,10.4,10.29,10.29,301,0
EURKU.US,D,20250106,000000,10.32,10.32,10.31,10.32,1000,0
EURKU.US,D,20250203,000000,10.31,10.36,10.31,10.33,1001,0
