<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXEEW.US,D,20241115,000000,89.02,89.48,89.02,89.48,200,0
EXEEW.US,D,20241121,000000,94.65,94.65,94.65,94.65,100,0
EXEEW.US,D,20241122,000000,94.22,94.22,94.22,94.22,100,0
EXEEW.US,D,20241127,000000,93.38,93.38,93.38,93.38,102,0
EXEEW.US,D,20241205,000000,92.66,92.69,92.65,92.65,508,0
EXEEW.US,D,20241209,000000,93.08,93.08,93.08,93.08,100,0
EXEEW.US,D,20241218,000000,88.45,88.45,88.45,88.45,500,0
EXEEW.US,D,20241223,000000,90.07,90.07,89.63,89.63,623,0
EXEEW.US,D,20250106,000000,96.21,96.21,96.21,96.21,333,0
EXEEW.US,D,20250108,000000,98.58,98.58,98.58,98.58,100,0
EXEEW.US,D,20250115,000000,101.32,101.32,101.32,101.32,104,0
EXEEW.US,D,20250131,000000,99,99,99,99,101,0
EXEEW.US,D,20250204,000000,99.34,99.34,99.1,99.1,39038,0
