<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FACT.US,D,20250102,000000,9.88,9.89,9.88,9.89,250135,0
FACT.US,D,20250110,000000,9.89,9.89,9.89,9.89,130025,0
FACT.US,D,20250113,000000,9.89,9.89,9.89,9.89,50000,0
FACT.US,D,20250114,000000,9.9,9.91,9.9,9.9,162810,0
FACT.US,D,20250115,000000,9.91,9.91,9.91,9.91,20002,0
FACT.US,D,20250116,000000,9.9,9.903,9.9,9.903,378,0
FACT.US,D,20250117,000000,9.91,9.92,9.91,9.9171,15282,0
FACT.US,D,20250122,000000,9.92,9.9257,9.915,9.92,39000,0
FACT.US,D,20250124,000000,9.9257,9.9299,9.9249,9.925,1920,0
FACT.US,D,20250127,000000,9.93,9.93,9.93,9.93,101,0
FACT.US,D,20250128,000000,9.93,9.93,9.93,9.93,110,0
FACT.US,D,20250129,000000,9.93,9.94,9.915,9.94,78336,0
FACT.US,D,20250130,000000,9.93,9.93,9.92,9.9249,8359,0
FACT.US,D,20250131,000000,9.925,9.94,9.925,9.94,102114,0
FACT.US,D,20250203,000000,9.935,9.9501,9.935,9.9441,13503,0
FACT.US,D,20250204,000000,9.94,9.9501,9.94,9.94,3339,0
FACT.US,D,20250205,000000,9.95,9.95,9.95,9.95,8894,0
FACT.US,D,20250207,000000,10.0434,10.0507,9.96,9.975,105613,0
FACT.US,D,20250210,000000,9.95,9.95,9.95,9.95,1337,0
FACT.US,D,20250211,000000,9.95,9.95,9.945,9.95,30359,0
FACT.US,D,20250212,000000,9.95,9.95,9.95,9.95,501643,0
FACT.US,D,20250213,000000,9.9581,9.97,9.9549,9.97,19347,0
