<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FACTW.US,D,20241227,000000,0.17,0.17,0.1401,0.1401,205025,0
FACTW.US,D,20241230,000000,0.145,0.15,0.145,0.15,204745,0
FACTW.US,D,20250102,000000,0.15,0.15,0.15,0.15,20200,0
FACTW.US,D,20250103,000000,0.148,0.16,0.148,0.16,37145,0
FACTW.US,D,20250110,000000,0.16,0.16,0.16,0.16,21771,0
FACTW.US,D,20250117,000000,0.184,0.2,0.18,0.18,4042,0
FACTW.US,D,20250122,000000,0.181,0.181,0.181,0.181,600,0
FACTW.US,D,20250123,000000,0.18,0.18,0.176,0.18,1000,0
FACTW.US,D,20250130,000000,0.165,0.165,0.165,0.165,50000,0
FACTW.US,D,20250207,000000,0.18,0.18,0.18,0.18,26000,0
FACTW.US,D,20250210,000000,0.18,0.18,0.18,0.18,25100,0
FACTW.US,D,20250211,000000,0.18,0.18,0.18,0.18,3000,0
FACTW.US,D,20250212,000000,0.18,0.18,0.18,0.18,286000,0
FACTW.US,D,20250213,000000,0.18,0.18,0.18,0.18,26010,0
