<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAMI.US,D,20180216,000000,880,1330,846,1256,517.015,0
FAMI.US,D,20180220,000000,1250,1400,1131.6,1210.2,519.545,0
FAMI.US,D,20180221,000000,1210,1231.06,1127.44,1196,340.64,0
FAMI.US,D,20180222,000000,1220.2,1283,1152,1240,357.375,0
FAMI.US,D,20180223,000000,1190,1286.86,1172,1182,361.805,0
FAMI.US,D,20180226,000000,1200,1339.8,1200,1333.98,962.275,0
FAMI.US,D,20180227,000000,1380,1380,1285.12,1292,529.64,0
FAMI.US,D,20180228,000000,1300,1305,1220,1240,268.535,0
FAMI.US,D,20180301,000000,1204,1292,1150,1264,283.25,0
FAMI.US,D,20180302,000000,1240,1300,1200.2,1280,322.825,0
FAMI.US,D,20180305,000000,1293.6,1316,1250.2,1290,1017.935,0
FAMI.US,D,20180306,000000,1284,1304,1284,1304,893.87,0
FAMI.US,D,20180307,000000,1310,1310,1294,1301.7,580.81,0
FAMI.US,D,20180308,000000,1310,1326.2,1304,1314,834.975,0
FAMI.US,D,20180309,000000,1314,1324,1302,1316,1140.675,0
FAMI.US,D,20180312,000000,1296,1342,1294,1342,868.63,0
FAMI.US,D,20180313,000000,1348,1348,1302,1309.2,1372.37,0
FAMI.US,D,20180314,000000,1290,1314,1286.2,1314,757.325,0
FAMI.US,D,20180315,000000,1310,1326,1300,1320,1064.835,0
FAMI.US,D,20180316,000000,1314,1352,1310,1310,1670.11,0
FAMI.US,D,20180319,000000,1300,1326.66,1290,1302,635.945,0
FAMI.US,D,20180320,000000,1310,1310,1284,1308,697.24,0
FAMI.US,D,20180321,000000,1300,1328.42,1228,1310,419.785,0
FAMI.US,D,20180322,000000,1298,1323,1290,1300,86.8,0
FAMI.US,D,20180323,000000,1320,1320.54,1270,1288,179.54,0
FAMI.US,D,20180326,000000,1304,1304,1264.36,1278,357.505,0
FAMI.US,D,20180327,000000,1298,1300,1270,1270,549.26,0
FAMI.US,D,20180328,000000,1272,1278,1260,1264,266.855,0
FAMI.US,D,20180329,000000,1276,1302,1260,1260,174.96,0
FAMI.US,D,20180402,000000,1288.62,1289.8,1261.56,1280,444.725,0
FAMI.US,D,20180403,000000,1284,1328,1250,1320,808.91,0
FAMI.US,D,20180404,000000,1302,1350,1284,1344,357.785,0
FAMI.US,D,20180405,000000,1352,1352,1300,1335,344.85,0
FAMI.US,D,20180406,000000,1340,1357.32,1318,1354,206.2,0
FAMI.US,D,20180409,000000,1356,1400,1336.44,1399.98,752.545,0
FAMI.US,D,20180410,000000,1400,1518,1400,1516,1064.79,0
FAMI.US,D,20180411,000000,1516,1568,1479.7,1516,770.135,0
FAMI.US,D,20180412,000000,1520,1566,1512.2,1528,471.81,0
FAMI.US,D,20180413,000000,1534,1624,1524,1600,814.765,0
FAMI.US,D,20180416,000000,1619.78,1619.78,1568,1579.48,642.18,0
FAMI.US,D,20180417,000000,1594,1595,1560,1574.08,559.17,0
FAMI.US,D,20180418,000000,1578,1648,1544,1576,664.175,0
FAMI.US,D,20180419,000000,1578,1596,1506,1536,714.905,0
FAMI.US,D,20180420,000000,1546,1558,1526,1544.92,328.125,0
FAMI.US,D,20180423,000000,1550,1599.98,1543,1596,434.63,0
FAMI.US,D,20180424,000000,1590,1598,1488,1540,964.515,0
FAMI.US,D,20180425,000000,1516,1551,1514,1538,381.935,0
FAMI.US,D,20180426,000000,1522,1554,1520,1550,329.715,0
FAMI.US,D,20180427,000000,1562,1566,1530,1537.08,306.945,0
FAMI.US,D,20180430,000000,1564,1636,1520,1594,579.295,0
FAMI.US,D,20180501,000000,1580,1580,1510,1536,332.58,0
FAMI.US,D,20180502,000000,1580,1580,1536,1540,428.455,0
FAMI.US,D,20180503,000000,1540,1570,1540,1554,481.765,0
FAMI.US,D,20180504,000000,1560,1573.1,1544,1568,283.345,0
FAMI.US,D,20180507,000000,1580,1587,1554,1580,486.1,0
FAMI.US,D,20180508,000000,1590,1612,1572,1590,380.635,0
FAMI.US,D,20180509,000000,1592,1604,1570,1590,496.33,0
FAMI.US,D,20180510,000000,1600,1766,1466,1622,1421.005,0
FAMI.US,D,20180511,000000,1582.74,1664,1560,1658,485.41,0
FAMI.US,D,20180514,000000,1666.4,1680,1650.84,1678,634.475,0
FAMI.US,D,20180515,000000,1680,1704,1680,1704,915.61,0
FAMI.US,D,20180516,000000,1712,1715,1682,1706,800.095,0
FAMI.US,D,20180517,000000,1705.8,1802,1670,1776,688.765,0
FAMI.US,D,20180518,000000,1786,1820,1732,1820,1266.005,0
FAMI.US,D,20180521,000000,1846,1870,1810,1848,995.62,0
FAMI.US,D,20180522,000000,1846,1864,1818.02,1858,1146.95,0
FAMI.US,D,20180523,000000,1848,1870,1836,1866,1184.795,0
FAMI.US,D,20180524,000000,1836,1864,1836,1860,1252.67,0
FAMI.US,D,20180525,000000,1824,2064.68,1822,2014,2116.74,0
FAMI.US,D,20180529,000000,1998,2040,1902,1991.98,2145.85,0
FAMI.US,D,20180530,000000,1992,2024,1924,1964,1253.455,0
FAMI.US,D,20180531,000000,1952.54,2000,1938,1976,1949.025,0
FAMI.US,D,20180601,000000,1975,2026,1890,1904,1465.41,0
FAMI.US,D,20180604,000000,1936,1964,1860,1880,1474.305,0
FAMI.US,D,20180605,000000,1868,1868,1800,1840,1588.4,0
FAMI.US,D,20180606,000000,1830,1860,1730,1752,1379.975,0
FAMI.US,D,20180607,000000,1738,1748,1570,1590,925.505,0
FAMI.US,D,20180608,000000,1602,1712,1502,1504,1356.1,0
FAMI.US,D,20180611,000000,1500,1611.48,1500,1556,687.395,0
FAMI.US,D,20180612,000000,1568,1638,1568,1624,512.765,0
FAMI.US,D,20180613,000000,1624,1662,1624,1640,688.705,0
FAMI.US,D,20180614,000000,1646,1688,1634,1642,792.75,0
FAMI.US,D,20180615,000000,1640,1640,1486,1488,1549.77,0
FAMI.US,D,20180618,000000,1480,1482,1284,1292,1056.975,0
FAMI.US,D,20180619,000000,1342,1570,1342,1390,1170.11,0
FAMI.US,D,20180620,000000,1386,1422,1312,1314,524.42,0
FAMI.US,D,20180621,000000,1326,1479.9,1324.8,1418,1311.605,0
FAMI.US,D,20180622,000000,1384,1469.8,1384,1446,692.925,0
FAMI.US,D,20180625,000000,1520,1675,1520,1644,1119.95,0
FAMI.US,D,20180626,000000,1628,1740,1620,1646,975.125,0
FAMI.US,D,20180627,000000,1640,1704,1640,1666,547.5,0
FAMI.US,D,20180628,000000,1660,1732,1646,1680,443.82,0
FAMI.US,D,20180629,000000,1691.8,1724,1630,1700,867.35,0
FAMI.US,D,20180702,000000,1688,1726,1670,1686,512.34,0
FAMI.US,D,20180703,000000,1694,1718,1632,1638,382.65,0
FAMI.US,D,20180705,000000,1642,1642,1494.2,1504.84,296.755,0
FAMI.US,D,20180706,000000,1524,1550,1356.4,1386,201.965,0
FAMI.US,D,20180709,000000,1370,1424,1130,1164,995.735,0
FAMI.US,D,20180710,000000,1176,1176,1050,1078,460.09,0
FAMI.US,D,20180711,000000,1002,1090.48,1000,1016.5,479.535,0
FAMI.US,D,20180712,000000,1026,1060,900,914,652.98,0
FAMI.US,D,20180713,000000,944,1004.98,900,960,502.545,0
FAMI.US,D,20180716,000000,986,1041.8,952,960,882.46,0
FAMI.US,D,20180717,000000,964,1000,832,878,1121.56,0
FAMI.US,D,20180718,000000,886,1096,784,798,7636.02,0
FAMI.US,D,20180719,000000,812,862,806,840,1086.6,0
FAMI.US,D,20180720,000000,844,844,774.2,802,673.715,0
FAMI.US,D,20180723,000000,810,938,742,800,4379.745,0
FAMI.US,D,20180724,000000,856,871.936,816,846,1061.71,0
FAMI.US,D,20180725,000000,840,897.976,830,867.984,1364.1,0
FAMI.US,D,20180726,000000,912,912,832,846,433.785,0
FAMI.US,D,20180727,000000,790,894,790,846,1659.295,0
FAMI.US,D,20180730,000000,868,868,812,828,509.695,0
FAMI.US,D,20180731,000000,828,886,828,868,1199.66,0
FAMI.US,D,20180801,000000,920,928,850,852,255.81,0
FAMI.US,D,20180802,000000,878,878,760,766,874.625,0
FAMI.US,D,20180803,000000,760,771.04,692,700,607.045,0
FAMI.US,D,20180806,000000,706,756,624,624,574.01,0
FAMI.US,D,20180807,000000,620,624,536,540,667.33,0
FAMI.US,D,20180808,000000,540,658,540,558,1747.21,0
FAMI.US,D,20180809,000000,572,660,570,590.4,4338.255,0
FAMI.US,D,20180810,000000,606.84,628,542,570.08,1493.62,0
FAMI.US,D,20180813,000000,570,616,550,604,1343.525,0
FAMI.US,D,20180814,000000,616,732,616,708,4728.295,0
FAMI.US,D,20180815,000000,700,769.98,684.02,736,1754.27,0
FAMI.US,D,20180816,000000,726,782,726,740,462.095,0
FAMI.US,D,20180817,000000,742,768,720,744,1446.945,0
FAMI.US,D,20180820,000000,738,784,738,764,922.325,0
FAMI.US,D,20180821,000000,756,800,756,788,681.405,0
FAMI.US,D,20180822,000000,798,800,780,782,2700.15,0
FAMI.US,D,20180823,000000,790,820,786,808,2000.73,0
FAMI.US,D,20180824,000000,798,860,798,834,1540.215,0
FAMI.US,D,20180827,000000,822,858,810,822,1556.78,0
FAMI.US,D,20180828,000000,830,860,826,844,1219.845,0
FAMI.US,D,20180829,000000,852,860,826,844,1253.92,0
FAMI.US,D,20180830,000000,856,870,780,826,1771.505,0
FAMI.US,D,20180831,000000,818,876,812,850,1855.86,0
FAMI.US,D,20180904,000000,846,880,846,858,1339.92,0
FAMI.US,D,20180905,000000,890,890,852.024,854,1282.435,0
FAMI.US,D,20180906,000000,854,916.176,806,898,1582.16,0
