<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBLA.US,D,20241024,000000,11.99,11.99,11.7,11.7,597394,0
FBLA.US,D,20241025,000000,11.7,11.74,11.61,11.66,367291,0
FBLA.US,D,20241028,000000,11.61,11.98,11.6,11.91,384802,0
FBLA.US,D,20241029,000000,11.97,11.97,11.79,11.84,353672,0
FBLA.US,D,20241030,000000,11.77,11.85,11.77,11.82,300388,0
FBLA.US,D,20241031,000000,11.76,11.82,11.72,11.77,149957,0
FBLA.US,D,20241101,000000,11.82,11.88,11.71,11.72,204673,0
FBLA.US,D,20241104,000000,11.71,11.8,11.7,11.75,159353,0
FBLA.US,D,20241105,000000,11.75,11.98,11.75,11.95,389280,0
FBLA.US,D,20241106,000000,12.03,12.19,11.835,11.93,465972,0
FBLA.US,D,20241107,000000,12.05,12.19,11.95,12.12,425769,0
FBLA.US,D,20241108,000000,12.15,12.2,12.08,12.19,235767,0
FBLA.US,D,20241111,000000,12.19,12.33,12.19,12.27,446278,0
FBLA.US,D,20241112,000000,12.27,12.43,12.25,12.43,243719,0
FBLA.US,D,20241113,000000,12.44,12.71,12.31,12.37,273867,0
FBLA.US,D,20241114,000000,12.39,12.457,12.23,12.31,189377,0
FBLA.US,D,20241115,000000,12.26,12.5,12.26,12.4,103437,0
FBLA.US,D,20241118,000000,12.33,12.4,12.3,12.33,93317,0
FBLA.US,D,20241119,000000,12.28,12.36,12.23,12.26,208993,0
FBLA.US,D,20241120,000000,12.18,12.28,12.15,12.19,240869,0
FBLA.US,D,20241121,000000,12.24,12.5,12.09,12.11,224817,0
FBLA.US,D,20241122,000000,12.09,12.35,12.071,12.2,149820,0
FBLA.US,D,20241125,000000,12.2,12.26,11.89,11.95,199521,0
FBLA.US,D,20241126,000000,11.88,12.1112,11.86,11.87,123831,0
FBLA.US,D,20241127,000000,11.92,12.14,11.92,11.99,64153,0
FBLA.US,D,20241129,000000,12.05,12.12,11.9,12.04,37147,0
FBLA.US,D,20241202,000000,12.05,12.23,12.03,12.21,84899,0
FBLA.US,D,20241203,000000,12.2,12.545,12.17,12.51,255202,0
FBLA.US,D,20241204,000000,12.54,12.54,12.3,12.41,83387,0
FBLA.US,D,20241205,000000,12.38,12.5,12.24,12.39,86764,0
FBLA.US,D,20241206,000000,12.39,12.4,12.29,12.37,74790,0
FBLA.US,D,20241209,000000,12.4,12.53,12.33,12.36,272583,0
FBLA.US,D,20241210,000000,12.46,12.49,12.32,12.42,111056,0
FBLA.US,D,20241211,000000,12.46,12.49,12.385,12.47,107134,0
FBLA.US,D,20241212,000000,12.49,12.65,12.445,12.58,139108,0
FBLA.US,D,20241213,000000,12.55,12.65,12.461,12.48,134545,0
FBLA.US,D,20241216,000000,12.6,12.6,12.2,12.4,250231,0
FBLA.US,D,20241217,000000,12.27,12.61,12.21,12.61,267702,0
FBLA.US,D,20241218,000000,12.65,12.74,12.11,12.38,374991,0
FBLA.US,D,20241219,000000,12.48,12.49,12.08,12.12,297770,0
FBLA.US,D,20241220,000000,12.04,12.61,11.901,12.2,1239978,0
FBLA.US,D,20241223,000000,12.13,12.234,12,12.03,91371,0
FBLA.US,D,20241224,000000,11.98,12.39,11.98,12.3,120406,0
FBLA.US,D,20241226,000000,12.25,12.5,12.215,12.24,58574,0
FBLA.US,D,20241227,000000,12.17,12.35,12.02,12.03,30897,0
FBLA.US,D,20241230,000000,12.13,12.13,11.85,11.86,74255,0
FBLA.US,D,20241231,000000,11.97,11.98,11.85,11.92,42329,0
FBLA.US,D,20250102,000000,11.9897,12.12,11.85,11.87,67201,0
FBLA.US,D,20250103,000000,11.86,11.99,11.8,11.85,68124,0
FBLA.US,D,20250106,000000,11.83,12.21,11.83,11.86,54809,0
FBLA.US,D,20250107,000000,12,12.045,11.73,11.73,88845,0
FBLA.US,D,20250108,000000,11.71,11.83,11.36,11.46,178390,0
FBLA.US,D,20250110,000000,11.41,11.41,10.9,11.04,202826,0
FBLA.US,D,20250113,000000,11.04,11.14,10.74,11.08,119504,0
FBLA.US,D,20250114,000000,11.09,11.28,11.09,11.25,68621,0
FBLA.US,D,20250115,000000,11.29,11.59,11.255,11.58,94587,0
FBLA.US,D,20250116,000000,11.58,11.77,11.58,11.76,25828,0
FBLA.US,D,20250117,000000,11.8,11.81,11.59,11.63,37662,0
FBLA.US,D,20250121,000000,11.68,11.99,11.68,11.98,57363,0
FBLA.US,D,20250122,000000,11.91,12.1,11.83,11.86,150809,0
FBLA.US,D,20250123,000000,11.88,11.99,11.86,11.91,29204,0
FBLA.US,D,20250124,000000,11.97,12.14,11.85,11.85,47440,0
FBLA.US,D,20250127,000000,11.74,12,11.74,11.84,47554,0
FBLA.US,D,20250128,000000,11.8,11.9274,11.765,11.78,35874,0
FBLA.US,D,20250129,000000,11.73,11.8925,11.71,11.75,29374,0
FBLA.US,D,20250130,000000,11.94,11.94,11.7,11.74,94116,0
FBLA.US,D,20250131,000000,11.7,11.77,11.65,11.69,40093,0
FBLA.US,D,20250203,000000,11.55,11.65,11.45,11.49,30095,0
FBLA.US,D,20250204,000000,11.51,11.58,11.46,11.55,69318,0
FBLA.US,D,20250205,000000,11.625,11.625,11.37,11.43,70649,0
FBLA.US,D,20250206,000000,11.43,11.4922,11.42,11.46,61758,0
FBLA.US,D,20250207,000000,11.45,11.52,11.23,11.45,121698,0
FBLA.US,D,20250210,000000,11.49,11.585,11.46,11.51,97184,0
FBLA.US,D,20250211,000000,11.5,11.57,11.3,11.32,71830,0
FBLA.US,D,20250212,000000,11.37,11.48,11.29,11.35,40371,0
FBLA.US,D,20250213,000000,11.345,11.5,11.24,11.42,244021,0
