<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGMCU.US,D,20250129,000000,9.89,9.9,9.82,9.83,5369946,0
FGMCU.US,D,20250130,000000,9.85,9.86,9.83,9.86,218624,0
FGMCU.US,D,20250131,000000,9.8395,9.86,9.82,9.85,242261,0
FGMCU.US,D,20250203,000000,9.85,9.86,9.83,9.83,148822,0
FGMCU.US,D,20250204,000000,9.84,9.86,9.83,9.83,167768,0
FGMCU.US,D,20250205,000000,9.84,9.85,9.83,9.83,13313,0
FGMCU.US,D,20250206,000000,9.8465,9.85,9.83,9.83,67690,0
FGMCU.US,D,20250207,000000,9.8394,9.85,9.8348,9.84,31273,0
FGMCU.US,D,20250210,000000,9.85,9.85,9.84,9.85,5050,0
FGMCU.US,D,20250211,000000,9.85,9.87,9.83,9.85,304889,0
FGMCU.US,D,20250212,000000,9.84,9.85,9.83,9.84,13267,0
FGMCU.US,D,20250213,000000,9.84,9.84,9.831,9.8347,3100,0
