<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIACU.US,D,20240812,000000,11.49,11.49,11.45,11.45,552,0
FIACU.US,D,20240813,000000,11.39,11.39,11.25,11.25,202,0
FIACU.US,D,20240814,000000,11.27,11.27,11.27,11.27,112,0
FIACU.US,D,20240816,000000,11.4,11.4,11.25,11.25,204,0
FIACU.US,D,20240826,000000,11.3,11.3,11.3,11.3,102,0
FIACU.US,D,20240827,000000,11.5,11.5,11.21,11.21,302,0
FIACU.US,D,20240904,000000,10.9,10.9,10.9,10.9,317,0
FIACU.US,D,20240909,000000,10.8,12.5,10.8,12.1,6632,0
FIACU.US,D,20240910,000000,12.9,14,12.49,13,7220,0
FIACU.US,D,20240911,000000,12.68,12.69,12,12,716,0
FIACU.US,D,20240912,000000,11.81,13.95,11.8,12.02,12132,0
FIACU.US,D,20240913,000000,12.1,12.1,12.1,12.1,205,0
FIACU.US,D,20240916,000000,12.1,15.8,12.1,12.57,10952,0
FIACU.US,D,20240917,000000,13.5,14.43,12.3,12.9,12450,0
FIACU.US,D,20240918,000000,14.2,14.2,12.71,12.71,6569,0
FIACU.US,D,20240919,000000,12.97,13.64,11.14,11.55,6519,0
FIACU.US,D,20240926,000000,10.12,12.2,10.12,11.87,982,0
FIACU.US,D,20240930,000000,11.89,11.89,10.15,10.15,4654,0
FIACU.US,D,20241001,000000,11.2,11.2,10.56,10.97,1000,0
FIACU.US,D,20241002,000000,11.5,11.5,9.62,10.01,1461,0
FIACU.US,D,20241016,000000,9.4,9.8,9.4,9.53,957,0
FIACU.US,D,20241017,000000,10.39,14.84,9.41,9.41,3855,0
FIACU.US,D,20241018,000000,9.56,9.56,8.61,9.11,673,0
FIACU.US,D,20241022,000000,9.9,9.9,9.9,9.9,252,0
FIACU.US,D,20241023,000000,10.34,10.34,10.34,10.34,135,0
